HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457290.98655,2015-09-25.4849951,bb,1.81,16.406,16.100,0.165,1.393,0.210,V
2457303.11782,2015-10-07.6151697,bb,1.85,16.911,15.014,0.038,3.788,0.132,V
2457303.11907,2015-10-07.6164292,bb,1.98,16.757,15.011,0.044,3.798,0.152,V
2457303.12033,2015-10-07.6176817,bb,1.71,16.835,14.981,0.040,3.903,0.142,V
2457307.96756,2015-10-12.4645091,bb,1.61,16.867,15.015,0.040,3.784,0.138,V
2457307.96881,2015-10-12.4657555,bb,1.70,16.847,14.934,0.037,4.079,0.140,V
2457307.97007,2015-10-12.4670199,bb,1.66,16.788,15.055,0.044,3.646,0.148,V
2457311.01554,2015-10-15.5122474,bb,1.58,16.856,15.106,0.044,3.481,0.139,V
2457311.01680,2015-10-15.5135033,bb,1.70,16.797,14.934,0.039,4.076,0.147,V
2457311.01806,2015-10-15.5147650,bb,1.60,16.823,14.963,0.039,3.968,0.143,V
2457315.07008,2015-10-19.5664673,bb,1.62,16.590,15.022,0.051,3.762,0.178,V
2457315.07099,2015-10-19.5673810,bb,2.21,16.520,15.059,0.057,3.634,0.190,V
2457315.07190,2015-10-19.5682859,bb,1.74,16.575,15.038,0.053,3.704,0.180,V
2457317.91351,2015-10-22.4096895,bb,1.65,16.134,14.995,0.077,3.852,0.270,V
2457317.91441,2015-10-22.4105914,bb,1.69,16.244,14.999,0.070,3.840,0.244,V
2457317.91531,2015-10-22.4114965,bb,1.77,16.199,14.876,0.065,4.298,0.255,V
2457319.05761,2015-10-23.5537106,bb,1.74,16.903,14.979,0.037,3.911,0.133,V
2457319.05886,2015-10-23.5549627,bb,1.87,16.836,15.081,0.043,3.560,0.142,V
2457319.06010,2015-10-23.5562075,bb,2.01,16.811,15.049,0.043,3.668,0.145,V
2457319.91370,2015-10-24.4097406,bb,1.74,16.381,15.000,0.061,3.837,0.215,V
2457319.91495,2015-10-24.4109930,bb,1.65,16.407,15.053,0.063,3.653,0.210,V
2457319.91620,2015-10-24.4122427,bb,1.78,16.321,15.028,0.067,3.739,0.227,V
2457322.90119,2015-10-27.3970354,bb,1.72,15.680,>15.680,99.990,0.386,0.410,V
2457322.90245,2015-10-27.3982918,bb,1.77,15.609,>15.609,99.990,0.608,0.438,V
2457322.90370,2015-10-27.3995399,bb,1.96,15.639,>15.639,99.990,0.662,0.426,V
2457323.93472,2015-10-28.4304954,bb,1.76,15.885,15.296,0.127,2.920,0.340,V
2457323.93597,2015-10-28.4317478,bb,1.74,15.994,14.979,0.086,3.911,0.307,V
2457323.93721,2015-10-28.4329905,bb,1.77,15.907,15.150,0.109,3.340,0.333,V
2457328.07375,2015-11-01.5692748,bb,1.80,16.422,15.148,0.068,3.347,0.207,V
2457328.07501,2015-11-01.5705317,bb,1.80,16.375,15.042,0.064,3.689,0.217,V
2457328.07626,2015-11-01.5717802,bb,1.85,16.341,15.198,0.076,3.196,0.223,V
2457328.88796,2015-11-02.3834274,bb,1.84,16.634,15.031,0.050,3.726,0.171,V
2457328.88921,2015-11-02.3846865,bb,1.89,16.601,15.019,0.051,3.770,0.176,V
2457328.89046,2015-11-02.3859378,bb,1.87,16.670,15.003,0.047,3.825,0.165,V
2457332.97017,2015-11-06.4654188,bb,1.83,16.875,15.016,0.039,3.781,0.137,V
2457332.97143,2015-11-06.4666837,bb,1.74,16.809,15.013,0.042,3.791,0.145,V
2457332.97269,2015-11-06.4679461,bb,1.70,16.733,15.017,0.045,3.774,0.156,V
2457341.94607,2015-11-15.4409229,bb,2.14,16.488,14.981,0.055,3.907,0.195,V
