###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57364.211583  11.580  0.002 84735  136 o  0 200.03 293.81896  29.77539  3129.09   226.98 5.31 3.65 -18.2 -0.581 18.77 20.15 02a57364o0065o
57365.209123  11.579  0.002 84808  136 o  0 181.01 293.81896  29.77539  3129.93   227.29 5.13 3.70 -20.7 -0.577 18.61 19.89 02a57365o0062o
57487.615302  11.854  0.001 65801   86 c  0 377.87 293.81896  29.77539  8511.03 10370.88 4.17 3.89  66.6 -0.441 19.43 21.39 02a57487o0755c
57487.623187  11.790  0.001 69807   92 c  0 371.19 293.81896  29.77539  3009.41   671.37 4.87 3.59 -11.7 -0.523 19.39 21.25 02a57487o0767c
57487.644891  11.798  0.002 69321  132 c  0  33.98 293.81896  29.77539  3299.77  1272.06 4.48 3.49 -13.7 -0.536 17.91 18.27 02a57487o0800c
57513.554407  11.848  0.001 66167   88 c  0 294.39 293.81896  29.77539  2899.22  1817.59 4.39 3.56 -14.4 -0.509 19.47 21.44 02a57513o0650c
57513.570608  11.880  0.001 64242   87 c  0 294.96 293.81896  29.77539  2916.35  1856.52 4.39 3.56 -14.3 -0.507 19.48 21.52 02a57513o0678c
57513.579336  11.912  0.001 62411   84 c  0 281.74 293.81896  29.77539  2866.14  1778.97 4.62 3.81 -14.5 -0.487 19.42 21.46 02a57513o0694c
57513.591544  11.936  0.001 61048   85 c  0 161.41 293.81896  29.77539  2848.56  1896.48 4.47 3.62 -14.5 -0.493 19.47 21.46 02a57513o0715c
57513.608171  11.962  0.001 59580   83 c  0 301.92 293.81896  29.77539  2879.59  1837.68 4.35 3.58 -15.8 -0.508 19.48 21.43 02a57513o0741c
57524.532012  11.648  0.001 79571  116 o  0 191.54 293.81896  29.77539  1809.85  1217.96 4.65 3.45 -19.4 -0.559 18.96 20.48 02a57524o0494o
57524.547515  11.639  0.001 80232  117 o  0 127.32 293.81896  29.77539  1827.83  1256.84 4.90 3.65 -19.4 -0.542 18.83 20.36 02a57524o0522o
57524.556359  11.634  0.002 80580  147 o  0 101.78 293.81896  29.77539  1758.93  1176.80 4.88 3.60 -20.3 -0.533 18.32 19.78 02a57524o0538o
57524.569908  11.644  0.003 79844  231 o  0  30.07 293.81896  29.77539  1742.89  1293.87 4.80 3.56 -20.3 -0.524 17.45 18.78 02a57524o0560o
57524.588461  11.633  0.002 80662  137 o  0  84.39 293.81896  29.77539  1791.66  1233.48 4.92 3.66 -18.7 -0.536 18.43 19.94 02a57524o0590o
57528.511870  11.671  0.002 77943  121 o  0 100.16 293.81896  29.77539  9298.53  9198.81 4.42 3.60  83.1 -0.514 18.40 19.42 02a57528o0550o
57528.530047  11.673  0.002 77781  117 o  0 125.59 293.81896  29.77539  9321.61  9237.25 4.35 3.58  84.9 -0.503 18.45 19.47 02a57528o0583o
57528.538290  11.674  0.002 77670  119 o  0 114.17 293.81896  29.77539  9250.05  9160.63 4.22 3.42  84.6 -0.520 18.47 19.49 02a57528o0598o
57528.561290  11.677  0.002 77475  116 o  0 166.86 293.81896  29.77539  9232.37  9279.71 4.17 3.29  83.6 -0.534 18.55 19.58 02a57528o0640o
57528.567777  11.664  0.001 78381  116 o  0 208.10 293.81896  29.77539  9264.69  9219.04 4.18 3.34  82.4 -0.529 18.56 19.60 02a57528o0652o
57532.516106  11.813  0.002 68349  111 o  0 151.02 293.81896  29.77539  7964.28  8770.05 4.01 3.28  87.3 -0.541 18.54 19.63 02a57532o0504o
57532.533614  11.771  0.002 71038  116 o  0 190.29 293.81896  29.77539  7977.78  8807.33 3.90 3.19  84.6 -0.548 18.55 19.64 02a57532o0537o
57532.546176  11.737  0.002 73318  110 o  0 260.80 293.81896  29.77539  7925.41  8729.09 3.92 3.21  86.5 -0.538 18.54 19.64 02a57532o0560o
57532.555406  11.723  0.002 74250  112 o  0 174.34 293.81896  29.77539  7896.94  8843.71 3.87 3.24  85.7 -0.536 18.56 19.65 02a57532o0575o
57532.569768  11.689  0.001 76601  113 o  0 251.67 293.81896  29.77539  7938.56  8784.11 3.78 3.17  84.0 -0.546 18.59 19.67 02a57532o0602o
57542.502430  11.790  0.001 69824   93 c  0 271.44 293.81896  29.77539  2093.61  1647.49 4.65 3.64 -19.1 -0.522 19.42 21.37 02a57542o0526c
57542.514762  11.787  0.002 70037  106 c  0 189.06 293.81896  29.77539  2118.12  1685.58 5.00 3.65 -14.1 -0.516 19.07 21.43 02a57542o0550c
57542.515246  11.786  0.001 70082   95 c  0 217.07 293.81896  29.77539  2118.02  1685.36 4.81 3.64 -17.3 -0.521 19.38 21.55 02a57542o0551c
57542.526379  11.784  0.001 70235   95 c  0 238.67 293.81896  29.77539  2049.40  1607.39 4.80 3.64 -20.3 -0.520 19.40 21.37 02a57542o0570c
57542.549470  11.791  0.001 69754   91 c  0 315.67 293.81896  29.77539  2035.27  1721.97 4.72 3.67 -19.8 -0.513 19.46 21.50 02a57542o0611c
57542.554647  11.809  0.001 68632   86 c  0 587.62 293.81896  29.77539  8503.24  8872.49 4.23 3.61  82.4 -0.476 19.49 21.55 02a57542o0621c
57546.505091  11.810  0.001 68535   89 c  0 545.61 293.81896  29.77539  4195.10  2106.54 4.15 3.57  -9.4 -0.510 19.56 21.64 02a57546o0394c
57546.527221  11.813  0.001 68328   88 c  0 452.47 293.81896  29.77539  4143.27  2025.92 4.29 3.57  -6.8 -0.507 19.57 21.67 02a57546o0435c
57546.538066  11.806  0.001 68826   89 c  0 468.85 293.81896  29.77539  4129.54  2139.92 4.28 3.55  -6.1 -0.504 19.58 21.68 02a57546o0455c
57546.554203  11.844  0.001 66410   84 c  0 299.39 293.81896  29.77539  6404.17  8462.91 4.81 3.98   3.7 -0.431 19.39 21.65 02a57546o0485c
57550.467141  11.780  0.001 70446   95 c  0 245.23 293.81896  29.77539  3027.35  1238.87 4.92 3.65 -11.2 -0.537 19.44 21.48 02a57550o0367c
57550.482020  11.784  0.001 70223   92 c  0 367.95 293.81896  29.77539  3044.21  1275.93 4.72 3.59 -13.0 -0.532 19.48 21.49 02a57550o0394c
57550.485318  11.773  0.001 70919   94 c  0 292.31 293.81896  29.77539  2990.62  1196.50 4.81 3.60 -12.7 -0.533 19.46 21.45 02a57550o0399c
57550.497753  11.789  0.001 69882   93 c  0 285.02 293.81896  29.77539  2979.08  1314.88 4.80 3.64 -10.6 -0.526 19.46 21.46 02a57550o0422c
57550.513986  11.782  0.001 70355   92 c  0 330.37 293.81896  29.77539  3005.90  1258.18 4.79 3.69 -10.9 -0.530 19.47 21.54 02a57550o0451c
57565.470796  11.625  0.002 81286  136 o  0 119.73 293.81896  29.77539  2457.96   894.74 4.66 3.40 -15.2 -0.563 18.39 19.53 02a57565o0422o
57565.479063  11.627  0.002 81104  141 o  0 124.13 293.81896  29.77539  2475.81   934.02 4.53 3.31 -14.8 -0.564 18.22 19.29 02a57565o0436o
57565.499952  11.638  0.002 80327  139 o  0  94.66 293.81896  29.77539  2418.97   855.41 4.71 3.36 -14.4 -0.553 18.35 19.45 02a57565o0476o
57565.506126  11.663  0.004 78471  319 o  0   4.82 293.81896  29.77539  8174.74  9582.72 5.04 4.06   4.0 -0.414 16.45 17.23 02a57565o0488o
57565.525203  11.667  0.007 78164  575 o  0   2.71 293.81896  29.77539  8142.45  9643.55 3.96 3.69  81.5 -0.476 16.07 16.53 02a57565o0525o
57569.464136  11.638  0.002 80346  121 o  0 210.20 293.81896  29.77539  2320.21  1121.31 4.52 3.49 -17.9 -0.557 18.93 20.68 02a57569o0429o
57569.470802  11.677  0.002 77501  132 o  0 188.00 293.81896  29.77539  8242.84  9379.28 3.90 3.49  84.4 -0.499 18.62 20.29 02a57569o0442o
57569.490704  11.640  0.002 80196  137 o  0 128.86 293.81896  29.77539  2284.07  1082.94 4.58 3.49 -16.8 -0.554 18.71 20.39 02a57569o0478o
57569.502932  11.676  0.008 77588  613 o  0   2.51 293.81896  29.77539  8308.85  9345.81 4.22 3.99   8.7 -0.447 15.90 17.52 02a57569o0502o
57569.521161  11.694  0.040 76305 3040 o  0   1.39 293.81896  29.77539  8274.62  9405.91 3.83 3.39 -85.6 -0.493 13.91 15.36 02a57569o0536o
57573.532040  12.023  0.001 56351   79 c  0 558.32 293.81896  29.77539  5909.71  8809.88 3.83 3.68  69.8 -0.463 19.56 21.63 02a57573o0054c
57599.428028  11.662  0.001 78565  112 o  0 236.34 293.81896  29.77539  2494.65   625.79 4.66 3.55 -14.9 -0.566 19.17 20.94 02a57599o0096o
57599.435450  11.669  0.001 78039  111 o  0 257.20 293.81896  29.77539  2530.10   510.10 4.72 3.56 -13.1 -0.558 19.18 20.95 02a57599o0110o
57599.445769  11.688  0.001 76730  102 o  0 244.21 293.81896  29.77539  7995.60 10204.13 4.33 3.95 -89.0 -0.488 19.09 20.90 02a57599o0130o
57599.455551  11.658  0.001 78828  114 o  0 202.94 293.81896  29.77539  2482.19   569.05 4.76 3.54 -13.8 -0.563 19.18 20.94 02a57599o0147o
57599.458772  11.680  0.001 77297  104 o  0 202.46 293.81896  29.77539  7955.67 10261.82 4.14 3.77  82.7 -0.498 19.11 20.84 02a57599o0152o
57606.404361  11.821  0.001 67886   82 c  0 549.19 293.81896  29.77539  7532.27  8453.89 4.17 3.92 -89.8 -0.481 19.56 21.72 02a57606o0180c
57606.442797  11.831  0.001 67248   86 c  0 192.74 293.81896  29.77539  7614.96  8418.94 5.09 4.58 -89.2 -0.474 19.47 21.72 02a57606o0228c
57606.455961  11.828  0.001 67391   84 c  0 308.70 293.81896  29.77539  7565.17  8478.68 4.53 3.99 -89.0 -0.487 19.52 21.71 02a57606o0245c
57610.434046  11.670  0.001 77974  111 o  0 256.95 293.81896  29.77539  7563.30  9543.12 4.28 3.65 -86.1 -0.532 19.01 20.98 02a57610o0304o
57610.437136  11.669  0.001 78076  107 o  0 475.84 293.81896  29.77539  7632.45  9622.84 4.24 3.57 -87.2 -0.546 19.04 21.00 02a57610o0310o
57610.453008  11.667  0.001 78207  106 o  0 491.29 293.81896  29.77539  7649.46  9507.54 4.24 3.59 -87.3 -0.547 18.98 20.92 02a57610o0339o
57610.473178  11.663  0.001 78488  110 o  0 342.62 293.81896  29.77539  7617.74  9564.47 4.25 3.58 -86.5 -0.543 19.02 21.00 02a57610o0376o
57618.394241  11.685  0.002 76904  126 o  0 117.83 293.81896  29.77539  9321.60  9571.74 4.36 3.46 -88.7 -0.533 18.16 19.30 02a57618o0354o
57618.405676  11.665  0.002 78333  133 o  0  80.73 293.81896  29.77539  9303.78  9531.20 4.44 3.49 -87.5 -0.539 18.14 19.28 02a57618o0374o
57618.408866  11.686  0.002 76825  134 o  0  77.71 293.81896  29.77539  9355.47  9611.73 4.42 3.56 -89.7 -0.528 18.16 19.27 02a57618o0380o
57622.359988  11.664  0.001 78395  107 o  0 411.95 293.81896  29.77539  2290.23   218.98 4.46 3.39 -11.2 -0.542 18.93 20.80 02a57622o0151o
57622.371064  11.644  0.001 79871  116 o  0 307.99 293.81896  29.77539  3340.11   169.86 4.19 3.25  -9.8 -0.586 18.91 20.74 02a57622o0170o
57622.380891  11.667  0.001 78232  106 o  0 438.66 293.81896  29.77539  7773.53  9903.45 4.01 3.52 -83.9 -0.534 18.85 20.58 02a57622o0187o
57622.392932  11.627  0.004 81168  363 o  0  13.58 293.81896  29.77539  3410.84   248.20 4.30 3.20  -8.4 -0.568 16.21 17.20 02a57622o0207o
57622.393455  11.671  0.007 77897  534 o  0   3.63 293.81896  29.77539  8774.45  9884.78 4.11 3.42 -87.8 -0.521 16.65 17.68 02a57622o0208o
57622.396703  11.659  0.006 78789  489 o  0   5.43 293.81896  29.77539  8843.39  9965.42 4.27 3.50  87.9 -0.517 15.77 16.89 02a57622o0214o
57626.359475  11.825  0.001 67607   88 c  0 442.66 293.81896  29.77539  2304.78   318.16 4.50 3.66 -12.4 -0.488 19.59 21.75 02a57626o0247c
57626.361549  11.848  0.001 66168   84 c  0 247.05 293.81896  29.77539  7789.02 10003.62 4.61 4.53 -10.0 -0.430 19.41 21.59 02a57626o0251c
57626.371245  11.821  0.001 67829   86 c  0 468.62 293.81896  29.77539   277.90   302.20 4.60 3.74 -21.4 -0.488 19.63 21.75 02a57626o0269c
57626.371760  11.778  0.001 70578   95 c  0 413.80 293.81896  29.77539 10267.12   269.56 4.62 3.73  37.4 -0.551 19.54 21.62 02a57626o0270c
57626.372275  11.813  0.001 68361   86 c  0 495.74 293.81896  29.77539  5879.67  9959.86 4.09 3.91 -65.8 -0.459 19.54 21.61 02a57626o0271c
57626.392448  11.826  0.001 67570   86 c  0 400.30 293.81896  29.77539  5948.31 10041.10 4.03 3.87 -70.9 -0.468 19.54 21.57 02a57626o0305c
57626.394034  11.810  0.001 68551   88 c  0 363.13 293.81896  29.77539   350.20   378.87 4.58 3.76 -20.3 -0.500 19.58 21.68 02a57626o0308c
57626.396126  11.792  0.001 69669   95 c  0 341.09 293.81896  29.77539 10337.61   351.25 4.71 3.80  37.2 -0.540 19.50 21.58 02a57626o0312c
57626.396646  11.817  0.001 68095   89 c  0 157.45 293.81896  29.77539   367.23   259.78 4.84 3.98 -19.4 -0.465 19.53 21.67 02a57626o0313c
57626.414405  11.833  0.001 67102   86 c  0 445.43 293.81896  29.77539  5966.67  9922.41 4.13 3.95 -75.2 -0.459 19.49 21.54 02a57626o0343c
57626.415657  11.805  0.001 68845   86 c  0 389.49 293.81896  29.77539   333.74   318.18 4.70 3.85 -20.2 -0.489 19.54 21.64 02a57626o0345c
57626.416176  11.805  0.001 68888   95 c  0 329.64 293.81896  29.77539 10358.05   232.56 4.83 3.84  37.5 -0.533 19.47 21.54 02a57626o0346c
57626.420331  11.799  0.001 69264   94 c  0 304.14 293.81896  29.77539 10323.31   290.59 4.96 3.95  35.9 -0.520 19.44 21.52 02a57626o0354c
57626.423196  11.836  0.001 66927   87 c  0 164.79 293.81896  29.77539  5931.19  9980.09 4.47 4.30 -66.9 -0.432 19.37 21.49 02a57626o0358c
57633.362053  11.895  0.011 63409  721 c  0   2.05 293.81896  29.77539  6700.24  8546.11 3.65 3.61 -79.1 -0.466 17.16 19.00 02a57633o0173c
57633.373400  11.924  0.001 61730   87 c  0 701.91 293.81896  29.77539  6681.80  8507.04 3.80 3.68  78.6 -0.473 19.37 21.37 02a57633o0193c
57633.377080  11.952  0.002 60156   94 c  0 329.16 293.81896  29.77539  6749.71  8585.65 3.91 3.81  77.0 -0.454 19.13 21.15 02a57633o0200c
