###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57323.240880 -16.365  0.099 -1032  102 o  0   7.19 273.91479   5.57278 10174.80  1634.23 6.63 5.04  28.6 -0.474 17.90 18.87 02a57323o0112o
57323.251267 -15.674  0.057 -1951  112 o  0   6.99 273.91479   5.57278   364.65  1621.51 7.62 4.46 -23.9 -0.443 17.79 18.61 02a57323o0128o
57323.266304 -17.654  0.305  -315   96 o  0   4.94 273.91479   5.57278  8702.18  3096.59 5.19 4.71  21.6 -0.484 17.78 18.59 02a57323o0151o
57326.208997  18.619  0.484   130   63 o  0   8.23 273.91479   5.57278 10218.16  1646.10 5.53 3.92  23.6 -0.502 18.74 20.23 02a57326o0067o
57326.218191 -16.016  0.046 -1425   66 o  0  14.62 273.91479   5.57278   404.13  1636.63 7.17 4.38 -29.2 -0.466 18.68 20.23 02a57326o0081o
57326.229168 -19.184  0.780   -77   60 o  0  12.71 273.91479   5.57278 10213.25  1646.75 5.73 4.25  24.1 -0.505 18.70 20.24 02a57326o0098o
57326.241876 -16.379  0.073 -1019   74 o  0  11.63 273.91479   5.57278   402.41  1635.72 6.88 3.88 -18.6 -0.440 18.66 20.14 02a57326o0118o
57326.256124  18.711  0.526   119   63 o  0   4.91 273.91479   5.57278  8739.32  3109.07 4.51 4.02  19.8 -0.514 18.64 20.10 02a57326o0140o
57330.213119 -16.055  0.106 -1374  145 o  0   4.55 273.91479   5.57278 10215.35  1649.21 6.96 5.07  25.3 -0.437 16.70 18.09 02a57330o0050o
57330.235572 -16.053  0.051 -1376   71 o  0  15.40 273.91479   5.57278 10210.93  1651.51 6.83 5.20  24.2 -0.421 18.35 19.82 02a57330o0066o
57436.615002  18.425  0.218   155   34 c  0  11.38 273.91479   5.57278  1051.56  8948.97 4.20 4.01 -48.9 -0.422 19.13 20.96 02a57436o0672c
57436.625623  18.913  0.337    99   33 c  0  19.02 273.91479   5.57278  1335.83  9537.63 4.68 4.20  -8.6 -0.394 19.10 21.01 02a57436o0690c
57436.627969  17.890  0.136   254   35 c  0   6.63 273.91479   5.57278  9986.91 10133.81 4.36 3.97  66.4 -0.415 19.27 21.12 02a57436o0694c
57436.629217  18.530  0.245   141   34 c  0  11.09 273.91479   5.57278  5640.79   488.10 4.81 3.84   0.2 -0.460 19.17 20.97 02a57436o0696c
57436.632751  19.430  0.598    61   37 c  0  12.56 273.91479   5.57278   152.03 10134.28 4.66 4.24 -14.0 -0.421 19.15 21.02 02a57436o0702c
57436.633931  18.437  0.224   153   34 c  0   8.98 273.91479   5.57278  9728.53  9935.88 4.43 4.06  65.7 -0.405 19.27 21.13 02a57436o0704c
57436.634533  18.250  0.222   182   40 c  0   9.34 273.91479   5.57278  5369.25   292.70 4.99 3.91  -0.7 -0.459 19.16 20.99 02a57436o0705c
57490.612701  17.516  0.094   358   34 c  0   6.52 273.91479   5.57278  1012.56  8891.24 4.00 3.86  -2.0 -0.448 19.47 21.37 02a57490o0790c
57490.632420 -19.997  1.018   -36   37 c  0  14.25 273.91479   5.57278  9326.47  1183.43 6.15 4.18   6.7 -0.378 18.90 20.77 02a57490o0824c
57490.643373  17.641  0.407   319  130 c  0   1.34 273.91479   5.57278   663.80   590.76 5.30 3.84 -18.3 -0.446 17.81 18.27 02a57490o0843c
57493.597991  17.137  0.076   507   38 o  0   8.36 273.91479   5.57278   839.98  8947.43 3.85 3.65 -59.4 -0.474 19.03 20.54 02a57493o0728o
57493.617017  17.258  0.103   454   47 o  0   9.03 273.91479   5.57278  1129.02  9538.84 3.88 3.71 -73.2 -0.472 19.01 20.48 02a57493o0762o
57493.628044  17.019  0.080   566   45 o  0   5.43 273.91479   5.57278  9781.80 10148.73 3.98 3.46  82.5 -0.480 18.99 20.37 02a57493o0781o
57493.630509  17.220  0.108   470   50 o  0   9.29 273.91479   5.57278  5436.70   498.01 4.10 3.21  -1.5 -0.557 18.87 20.16 02a57493o0785o
57500.573870  17.034  0.192   558  107 o  0   1.76 273.91479   5.57278 10290.63  8957.43 4.74 3.05  74.0 -0.460 17.96 19.03 02a57500o0679o
57500.601797  17.046  0.546   552  301 o  0   1.31 273.91479   5.57278   474.43  8946.45 3.21 1.99 -35.7 -0.537 17.58 18.86 02a57500o0719o
57500.603171  19.141  0.961    80   77 o  0   5.02 273.91479   5.57278   253.50  1541.87 5.44 3.78 -29.5 -0.483 18.27 19.14 02a57500o0721o
57500.628441  17.318  0.192   429   83 o  0   2.86 273.91479   5.57278 10061.44  1558.08 4.58 3.71  37.7 -0.547 18.29 19.05 02a57500o0761o
57500.630390  18.847  0.769   105   81 o  0   3.13 273.91479   5.57278   310.33  1637.36 5.19 3.57 -30.1 -0.491 18.19 18.88 02a57500o0764o
57525.487846  16.915  0.075   622   47 o  0   5.97 273.91479   5.57278  9220.39  9767.70 3.99 3.41  82.5 -0.503 18.76 19.96 02a57525o0494o
57525.505824  17.051  0.117   549   64 o  0   6.87 273.91479   5.57278  4884.47   120.66 4.41 3.24  -3.8 -0.558 18.75 19.94 02a57525o0524o
57525.515672  17.322  0.121   428   52 o  0   4.49 273.91479   5.57278  9241.64  9806.82 3.98 3.35  84.6 -0.492 18.80 20.00 02a57525o0541o
57525.520265  17.729  0.226   294   66 o  0   5.89 273.91479   5.57278  4904.67   158.75 4.52 3.39  -5.5 -0.535 18.76 20.00 02a57525o0549o
57525.526406  17.095  0.086   527   45 o  0   5.29 273.91479   5.57278  9183.02  9726.38 3.94 3.31  83.2 -0.498 18.85 20.07 02a57525o0559o
57525.536274  17.300  0.147   436   64 o  0   6.66 273.91479   5.57278  4847.80    76.86 4.34 3.20  -4.4 -0.559 18.84 20.12 02a57525o0574o
57525.542732  17.162  0.103   496   51 o  0   4.56 273.91479   5.57278  9163.57  9841.92 3.92 3.30  79.9 -0.490 18.94 20.23 02a57525o0585o
57525.549797  17.166  0.111   494   55 o  0   8.49 273.91479   5.57278  4830.37   192.84 4.32 3.22  -4.0 -0.550 18.93 20.28 02a57525o0598o
57525.559417  17.684  0.169   306   52 o  0   6.45 273.91479   5.57278  1341.25   757.26 4.68 3.43 -22.0 -0.530 18.99 20.40 02a57525o0616o
57525.570676  17.170  0.079   492   39 o  0   5.61 273.91479   5.57278  5676.44 10406.14 3.74 3.68  41.8 -0.454 18.98 20.43 02a57525o0638o
57537.497181  17.499  0.087   363   32 c  0   6.23 273.91479   5.57278  1688.75  8746.11 4.00 3.71 -52.5 -0.439 19.23 20.89 02a57537o0504c
57537.509481  17.294  0.091   439   40 c  0   4.13 273.91479   5.57278  8835.68  1774.55 4.31 3.67  27.8 -0.491 19.22 20.84 02a57537o0528c
57537.532070  17.340  0.095   421   40 c  0   4.30 273.91479   5.57278  8895.34  1853.17 4.25 3.68  30.1 -0.489 19.19 20.79 02a57537o0569c
57537.541471  17.436  0.090   385   35 c  0   5.82 273.91479   5.57278  8910.06  1733.34 4.28 3.72  32.3 -0.494 19.19 20.79 02a57537o0587c
57537.555892  17.469  0.092   374   34 c  0   5.67 273.91479   5.57278  8873.66  1792.10 4.26 3.70  28.1 -0.494 19.16 20.74 02a57537o0614c
57541.298229  17.517  0.133   358   48 c  0   5.85 273.91479   5.57278  8398.60  8566.92 4.32 3.69  82.3 -0.465 18.70 20.79 02a57541o0169c
57541.298598  18.037  0.254   221   56 c  0   4.88 273.91479   5.57278  8398.33  8566.98 4.43 4.01  76.5 -0.438 18.63 20.78 02a57541o0170c
57541.298965  17.544  0.137   349   48 c  0   4.20 273.91479   5.57278  8398.08  8566.80 4.43 3.87  84.0 -0.449 18.63 20.76 02a57541o0171c
57541.299333  17.666  0.168   312   52 c  0   3.70 273.91479   5.57278  8397.99  8566.80 4.31 3.71  84.9 -0.462 18.62 20.73 02a57541o0172c
57541.299702  17.531  0.137   353   48 c  0   4.71 273.91479   5.57278  8397.89  8566.77 4.35 3.68  85.8 -0.459 18.60 20.71 02a57541o0173c
57541.300070  17.623  0.181   324   59 c  0   3.18 273.91479   5.57278  8398.01  8566.86 4.41 3.73  86.7 -0.459 18.58 20.69 02a57541o0174c
57541.300439  17.456  0.140   378   53 c  0   3.71 273.91479   5.57278  8397.97  8566.84 4.41 3.72  84.8 -0.459 18.58 20.67 02a57541o0175c
57541.300807  17.567  0.150   341   51 c  0   5.17 273.91479   5.57278  8397.80  8566.83 4.38 3.69  84.2 -0.462 18.57 20.65 02a57541o0176c
57541.301175  17.775  0.206   282   58 c  0   3.65 273.91479   5.57278  8397.66  8566.77 4.33 3.67  83.3 -0.462 18.54 20.63 02a57541o0177c
57541.301542  17.851  0.202   263   53 c  0   4.37 273.91479   5.57278  8397.62  8566.92 4.36 3.65  84.9 -0.458 18.51 20.60 02a57541o0178c
57543.479485  18.393  0.207   160   33 c  0   4.08 273.91479   5.57278  3412.29 10084.38 3.96 3.82  -8.5 -0.413 19.12 21.00 02a57543o0500c
57543.487662  18.201  0.216   190   41 c  0   5.32 273.91479   5.57278  1709.12 10106.77 4.14 3.87 -51.0 -0.416 18.70 20.54 02a57543o0516c
57543.489115  18.493  0.404   146   59 c  0   2.88 273.91479   5.57278  7183.46   505.76 4.49 3.59  10.5 -0.507 18.60 20.42 02a57543o0519c
57543.500148  17.787  0.227   279   63 c  0   2.59 273.91479   5.57278  8843.75   403.64 4.72 3.68  17.9 -0.480 19.07 20.98 02a57543o0538c
57543.510058  18.766  0.412   113   47 c  0   4.09 273.91479   5.57278  8898.48   484.03 4.92 3.82  20.7 -0.465 19.29 21.31 02a57543o0556c
57543.510542  17.739  0.116   291   34 c  0   4.01 273.91479   5.57278  3445.71 10129.89 3.93 3.85 -27.3 -0.419 19.35 21.29 02a57543o0557c
57543.523197  17.647  0.129   317   41 c  0   2.75 273.91479   5.57278  3466.71 10012.82 3.87 3.79 -36.8 -0.422 19.08 20.96 02a57543o0576c
57543.535566  17.825  0.246   269   66 c  0   2.26 273.91479   5.57278  8923.68   371.76 4.79 3.76  20.0 -0.474 18.72 20.61 02a57543o0596c
57543.536050  17.338  0.100   422   42 c  0   2.44 273.91479   5.57278  3430.31 10074.40 3.85 3.75 -27.0 -0.425 18.84 20.68 02a57543o0597c
57547.468294  17.518  0.083   357   30 c  0   9.33 273.91479   5.57278  8960.73 10055.13 4.21 3.69  82.7 -0.436 19.60 21.60 02a57547o0432c
57547.468777  17.599  0.115   331   38 c  0   9.07 273.91479   5.57278  4627.01   409.41 4.64 3.59  -2.7 -0.505 19.55 21.52 02a57547o0433c
57547.480355  17.493  0.073   366   27 c  0   6.29 273.91479   5.57278  5919.47 10105.34 4.02 3.94  30.9 -0.425 19.53 21.53 02a57547o0453c
57547.492304  17.896  0.138   252   35 c  0   7.05 273.91479   5.57278  1644.15   542.74 5.00 3.65 -18.1 -0.492 19.60 21.65 02a57547o0475c
57547.502420  17.379  0.074   406   30 c  0   5.81 273.91479   5.57278  5976.14 10188.34 3.99 3.84  73.4 -0.430 19.57 21.58 02a57547o0492c
57547.514471  18.083  0.148   212   31 c  0   9.35 273.91479   5.57278  1663.29   427.50 5.12 3.71 -17.1 -0.467 19.64 21.70 02a57547o0514c
57547.523890  17.484  0.085   369   31 c  0   4.76 273.91479   5.57278  5956.55 10132.63 3.99 3.89  74.8 -0.427 19.56 21.61 02a57547o0529c
57562.442524  17.346  0.142   418   60 o  0   3.85 273.91479   5.57278  1666.47  2899.64 4.36 3.55 -25.8 -0.495 18.56 19.61 02a57562o0369o
57562.446899  17.208  0.111   475   53 o  0   4.75 273.91479   5.57278  1648.81  2862.66 4.29 3.56 -30.3 -0.496 18.57 19.61 02a57562o0378o
57562.466694  17.152  0.115   500   57 o  0   4.06 273.91479   5.57278  1709.53  2937.54 4.37 3.55 -30.1 -0.486 18.57 19.59 02a57562o0413o
57562.482655  17.080  0.117   535   63 o  0   3.26 273.91479   5.57278  1739.96  2817.57 4.26 3.47 -29.5 -0.504 18.56 19.57 02a57562o0440o
57562.498583  17.219  0.115   470   54 o  0   4.49 273.91479   5.57278  1690.92  2881.04 4.28 3.53 -30.0 -0.493 18.60 19.67 02a57562o0466o
57566.480846  17.132  0.254   510  129 o  0   1.82 273.91479   5.57278  1512.56  1479.93 4.70 3.57 -24.4 -0.499 17.57 18.56 02a57566o0340o
57566.496378  16.508  0.356   905  322 o  0   1.39 273.91479   5.57278  1475.44  1535.27 4.57 3.50 -21.7 -0.518 16.37 17.23 02a57566o0365o
57570.428258 -17.236  0.091  -463   42 o  0  26.99 273.91479   5.57278   429.42  1327.99 6.38 4.16 -14.4 -0.444 19.05 21.08 02a57570o0342o
57570.439006 -17.698  0.155  -302   47 o  0  21.58 273.91479   5.57278 10267.50  1334.72 6.26 4.36  15.7 -0.468 19.03 21.03 02a57570o0358o
57574.430882  17.677  0.100   308   31 c  0   8.26 273.91479   5.57278  8317.23  1612.45 4.54 3.89  26.9 -0.482 19.60 21.68 02a57574o0342c
57574.446648  17.450  0.080   380   30 c  0   8.73 273.91479   5.57278  8298.29  1575.79 4.46 3.80  23.5 -0.490 19.62 21.69 02a57574o0366c
57574.462377  17.389  0.078   402   31 c  0   7.33 273.91479   5.57278  8357.05  1657.36 4.46 3.81  22.7 -0.484 19.61 21.68 02a57574o0390c
57574.478200  17.302  0.074   436   32 c  0   6.96 273.91479   5.57278  8379.08  1540.33 4.48 3.77  21.2 -0.490 19.61 21.65 02a57574o0413c
57578.408538  18.086  0.188   212   40 c  0   5.26 273.91479   5.57278  1329.08  1335.51 4.86 3.72 -22.1 -0.485 19.57 21.62 02a57578o0299c
57578.424152  17.440  0.094   384   36 c  0   5.41 273.91479   5.57278  1309.88  1299.66 4.76 3.61 -21.3 -0.491 19.54 21.54 02a57578o0324c
57578.439764  17.516  0.092   358   33 c  0   7.22 273.91479   5.57278  1372.18  1380.11 4.75 3.64 -20.8 -0.485 19.60 21.62 02a57578o0348c
57578.456150  17.774  0.136   282   38 c  0   5.98 273.91479   5.57278  1393.61  1262.64 4.89 3.73 -19.0 -0.475 19.44 21.44 02a57578o0371c
57578.471590  17.418  0.088   391   35 c  0   6.54 273.91479   5.57278  1356.97  1320.79 4.76 3.60 -19.3 -0.485 19.58 21.57 02a57578o0394c
57591.385132 -16.757  0.237  -720  171 o  0  24.20 273.91479   5.57278    94.59  2883.78 4.43 3.50 -36.6 -0.461 18.66 19.74 02a57591o0274o
57591.399295  16.755  0.073   721   52 o  0   4.94 273.91479   5.57278  9890.97  2892.90 4.10 3.45  60.9 -0.535 18.63 19.68 02a57591o0299o
57591.399793  17.275  0.196   447   87 o  0   1.94 273.91479   5.57278    75.13  2846.17 4.43 3.49 -35.6 -0.461 18.66 19.71 02a57591o0300o
57591.411250  16.832  0.080   672   54 o  0   3.67 273.91479   5.57278  9873.32  2858.82 4.10 3.42  61.2 -0.535 18.62 19.65 02a57591o0321o
57591.412740  17.072  0.095   538   51 o  0   5.06 273.91479   5.57278   136.19  2927.24 4.37 3.48 -34.2 -0.464 18.65 19.68 02a57591o0324o
57591.419477  17.069  0.103   540   56 o  0   4.51 273.91479   5.57278   155.84  2807.70 4.41 3.48 -32.1 -0.475 18.63 19.67 02a57591o0338o
57591.421402  16.748  0.089   726   65 o  0   3.06 273.91479   5.57278  9930.82  2934.83 4.15 3.43  58.7 -0.533 18.62 19.64 02a57591o0342o
57591.437446  16.865  0.093   652   60 o  0   3.40 273.91479   5.57278  9954.87  2820.55 4.04 3.37  58.5 -0.538 18.63 19.63 02a57591o0371o
57591.437926  17.128  0.103   512   53 o  0   4.33 273.91479   5.57278   121.47  2867.96 4.37 3.48 -34.9 -0.465 18.62 19.64 02a57591o0372o
57591.450900  16.801  0.079   691   55 o  0   4.41 273.91479   5.57278  9918.86  2878.58 4.06 3.39  58.8 -0.540 18.61 19.62 02a57591o0394o
57600.391961  17.665  0.105   312   33 c  0   7.07 273.91479   5.57278  1585.44  2951.42 4.64 3.64 -25.2 -0.466 19.62 21.74 02a57600o0233c
57600.406548  18.226  0.173   186   32 c  0   7.89 273.91479   5.57278  1606.43  2834.27 4.96 3.98 -22.7 -0.437 19.51 21.70 02a57600o0254c
57600.419651  17.658  0.106   314   33 c  0   7.55 273.91479   5.57278  1569.58  2892.52 4.69 3.67 -22.5 -0.468 19.57 21.67 02a57600o0272c
57607.367221  17.674  0.091   309   28 c  0   7.41 273.91479   5.57278  5614.16  9528.72 4.13 3.87 -67.1 -0.450 19.60 21.66 02a57607o0189c
57607.381775  17.425  0.064   389   25 c  0   8.42 273.91479   5.57278  5672.03  9608.21 3.92 3.70 -69.8 -0.465 19.61 21.57 02a57607o0208c
57607.396180  17.541  0.076   350   27 c  0   7.74 273.91479   5.57278  5693.04  9490.52 4.06 3.81 -75.6 -0.454 19.55 21.53 02a57607o0227c
57607.410676  17.533  0.083   352   29 c  0   6.36 273.91479   5.57278  5657.11  9547.84 4.02 3.78 -62.4 -0.458 19.54 21.50 02a57607o0246c
57611.335116  16.975  0.080   589   47 o  0   4.56 273.91479   5.57278  3151.18  9720.14 4.00 3.55 -50.1 -0.492 18.92 20.75 02a57611o0194o
57611.353856  18.190  0.331   192   64 o  0   8.16 273.91479   5.57278  8607.04    78.74 5.33 3.84  18.7 -0.529 18.95 20.86 02a57611o0230o
57611.357612  17.231  0.098   465   45 o  0   6.09 273.91479   5.57278  3135.14  9682.19 4.03 3.64 -46.9 -0.485 18.92 20.80 02a57611o0237o
57611.358139  16.429  0.669   973  651 o  0   0.32 273.91479   5.57278  8588.87    39.80 5.47 3.91  18.5 -0.514 18.94 20.87 02a57611o0238o
57611.371959  17.189  0.092   484   44 o  0   5.29 273.91479   5.57278  3193.58  9758.55 4.07 3.65 -45.5 -0.483 18.90 20.79 02a57611o0263o
57611.382431  17.971  0.259   235   61 o  0   6.93 273.91479   5.57278  8651.00   118.13 5.42 3.87  18.7 -0.509 18.94 20.85 02a57611o0282o
57611.383462  16.955  0.087   600   52 o  0   3.75 273.91479   5.57278  3214.58  9640.70 3.98 3.60 -45.2 -0.491 18.89 20.75 02a57611o0284o
57611.405799  17.237  0.095   462   44 o  0   6.03 273.91479   5.57278  3175.38  9697.90 4.13 3.69 -44.7 -0.486 18.81 20.64 02a57611o0327o
57611.406836  19.688  1.361    48   66 o  0  11.15 273.91479   5.57278  8631.55    58.38 5.59 4.00  19.3 -0.502 18.87 20.74 02a57611o0329o
57615.330229  17.476  0.164   371   61 o  0   4.29 273.91479   5.57278   577.69  2621.96 4.43 3.79 -37.7 -0.464 18.39 19.81 02a57615o0191o
57615.333634  17.095  0.137   527   72 o  0   2.70 273.91479   5.57278 10397.41  2630.17 4.34 3.42  70.3 -0.561 18.41 19.80 02a57615o0197o
57615.336234  17.135  0.114   508   58 o  0   4.99 273.91479   5.57278   558.56  2583.27 4.50 3.75 -31.9 -0.444 18.36 19.74 02a57615o0202o
57615.350537  17.374  0.196   408   80 o  0   3.38 273.91479   5.57278 10377.65  2590.48 4.68 3.87  66.4 -0.535 18.14 19.41 02a57615o0229o
57615.360211  17.218  0.143   471   68 o  0   2.64 273.91479   5.57278   619.33  2659.82 4.23 3.62 -34.3 -0.458 18.39 19.72 02a57615o0247o
57615.366920  17.356  0.145   414   60 o  0   4.50 273.91479   5.57278   638.59  2541.97 4.38 3.79 -33.5 -0.455 18.32 19.69 02a57615o0260o
57615.369500  18.440  0.615   153   94 o  0   2.21 273.91479   5.57278 10435.18  2669.17 4.70 3.95  63.5 -0.532 18.06 19.29 02a57615o0265o
57615.383272  16.883  0.717   641  459 o  0   0.26 273.91479   5.57278 10458.06  2551.85 4.53 3.68  71.0 -0.556 17.75 18.69 02a57615o0291o
57615.386916  17.521  0.190   356   68 o  0   3.11 273.91479   5.57278   602.11  2597.84 4.48 3.74 -29.5 -0.461 18.36 19.80 02a57615o0298o
57619.362574  17.009  0.143   570   81 o  0   2.63 273.91479   5.57278  8602.99   949.95 3.80 3.43  71.6 -0.573 18.44 19.84 02a57619o0094o
57619.375849  17.309  0.193   433   84 o  0   2.03 273.91479   5.57278  8584.04   910.61 3.75 3.53  60.8 -0.569 18.42 19.80 02a57619o0119o
57619.389878  17.650  0.217   316   69 o  0   4.02 273.91479   5.57278  8645.46   986.79 4.00 3.66  33.9 -0.558 18.38 19.75 02a57619o0144o
57619.397735  18.052  0.539   218  118 o  0   1.19 273.91479   5.57278  3214.32 10506.39 3.99 3.61 -29.0 -0.491 18.32 19.64 02a57619o0159o
57619.402544  17.531  0.221   353   78 o  0   3.37 273.91479   5.57278  8668.15   868.71 4.04 3.69  35.3 -0.558 18.35 19.68 02a57619o0168o
57619.416436  17.316  0.174   430   75 o  0   2.96 273.91479   5.57278  8629.31   927.17 4.16 3.66  30.4 -0.567 18.31 19.60 02a57619o0194o
57630.312799  17.410  0.082   395   32 c  0   4.47 273.91479   5.57278  3907.71  9287.49 3.91 3.83  32.3 -0.438 19.48 21.43 02a57630o0140c
57630.325981  17.381  0.065   405   26 c  0   7.19 273.91479   5.57278  3890.71  9247.09 3.92 3.88  34.0 -0.433 19.47 21.43 02a57630o0164c
57630.342966  17.390  0.083   402   33 c  0   4.82 273.91479   5.57278  3953.07  9324.02 3.89 3.83  17.6 -0.440 19.47 21.43 02a57630o0196c
57630.365850  17.209  0.064   475   30 c  0   4.18 273.91479   5.57278  3931.03  9263.65 3.84 3.60  20.1 -0.442 19.46 21.37 02a57630o0238c
57638.291251  17.355  0.074   415   31 c  0   6.11 273.91479   5.57278   881.19  1054.79 4.03 3.89 -53.7 -0.433 19.36 21.12 02a57638o0123c
