HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457194.05175,2015-06-20.5509121,bb,2.04,17.308,17.299,0.217,0.462,0.092,V
2457196.99844,2015-06-23.4973690,bb,2.10,17.157,17.041,0.197,0.585,0.105,V
2457196.99998,2015-06-23.4989143,bb,2.07,17.287,>17.287,99.990,0.411,0.093,V
2457199.96350,2015-06-26.4621990,bb,1.73,16.727,>16.727,99.990,0.652,0.156,V
2457199.96505,2015-06-26.4637437,bb,1.79,16.844,>16.844,99.990,0.615,0.140,V
2457202.95950,2015-06-29.4579717,bb,2.15,16.392,>16.392,99.990,0.736,0.213,V
2457202.96106,2015-06-29.4595275,bb,2.09,16.379,>16.379,99.990,0.710,0.215,V
2457205.93971,2015-07-02.4379292,bb,1.66,15.812,>15.812,99.990,0.978,0.363,V
2457205.94122,2015-07-02.4394313,bb,1.66,16.195,>16.195,99.990,0.198,0.255,V
2457207.03243,2015-07-03.5305611,bb,1.62,16.187,>16.187,99.990,0.708,0.257,V
2457207.03396,2015-07-03.5320935,bb,1.59,16.203,>16.203,99.990,0.733,0.253,V
2457209.98263,2015-07-06.4805474,bb,1.76,16.473,>16.473,99.990,0.110,0.198,V
2457209.98420,2015-07-06.4821087,bb,1.68,16.507,>16.507,99.990,0.929,0.192,V
2457212.05578,2015-07-08.5535324,bb,1.64,16.811,>16.811,99.990,0.630,0.145,V
2457212.05728,2015-07-08.5550402,bb,1.65,16.826,16.770,0.208,0.751,0.143,V
2457212.94020,2015-07-09.4378885,bb,1.65,17.181,17.099,0.203,0.555,0.103,V
2457212.94170,2015-07-09.4393935,bb,1.64,17.176,>17.176,99.990,0.431,0.103,V
2457217.91991,2015-07-14.4172464,bb,1.68,16.902,>16.902,99.990,0.416,0.133,V
2457217.92140,2015-07-14.4187439,bb,1.73,16.616,>16.616,99.990,0.380,0.173,V
2457221.93958,2015-07-18.4366467,bb,1.62,17.189,16.806,0.154,0.727,0.102,V
2457221.94111,2015-07-18.4381846,bb,1.60,17.131,16.655,0.141,0.836,0.108,V
2457226.95110,2015-07-23.4478574,bb,1.70,16.977,16.688,0.168,0.810,0.124,V
2457226.95262,2015-07-23.4493755,bb,1.59,17.043,>17.043,99.990,0.480,0.117,V
2457229.88958,2015-07-26.3861515,bb,1.64,16.718,>16.718,99.990,0.334,0.158,V
2457229.89101,2015-07-26.3875812,bb,1.65,16.537,>16.537,99.990,0.769,0.186,V
2457230.06489,2015-07-26.5614553,bb,1.67,17.250,17.064,0.185,0.573,0.097,V
2457230.06633,2015-07-26.5628972,bb,1.64,17.147,16.887,0.172,0.674,0.106,V
2457233.04785,2015-07-29.5442480,bb,1.66,15.984,>15.984,99.990,0.881,0.310,V
2457233.04925,2015-07-29.5456509,bb,1.67,16.393,>16.393,99.990,0.462,0.213,V
2457234.03879,2015-07-30.5351303,bb,1.97,16.170,>16.170,99.990,0.068,0.261,V
2457234.04025,2015-07-30.5365905,bb,2.00,16.303,>16.303,99.990,0.664,0.231,V
2457238.07311,2015-08-03.5692447,bb,1.67,16.236,>16.236,99.990,0.775,0.246,V
2457238.07459,2015-08-03.5707174,bb,1.61,16.302,>16.302,99.990,0.773,0.231,V
2457240.99701,2015-08-06.4929936,bb,1.71,16.841,>16.841,99.990,0.649,0.141,V
