###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57307.506827  17.360  0.048   413   20 c  0   1.91  56.57077  63.46190  2206.02  3455.93 4.72 3.87 -29.7 -0.436 19.46 21.48 02a57307o0305c
57307.534131  17.260  0.051   453   23 c  0   1.27  56.57077  63.46190  3639.05  2077.20 4.92 3.90 -14.5 -0.431 19.49 21.53 02a57307o0336c
57307.552819  17.294  0.044   439   19 c  0   1.63  56.57077  63.46190  6999.70  8553.71 4.65 3.89 -88.6 -0.430 19.41 21.49 02a57307o0360c
57320.532048  16.438  0.043   966   42 o  0   1.83  56.57077  63.46190  8437.50  7180.58 4.25 3.21 -89.9 -0.509 18.45 19.60 02a57320o0493o
57320.573966  16.368  0.038  1030   39 o  0   2.73  56.57077  63.46190  8426.29  7180.36 4.26 2.99 -88.9 -0.474 18.45 19.59 02a57320o0558o
57320.604342  16.472  0.040   936   38 o  0   2.50  56.57077  63.46190  6994.78  8563.28 4.21 3.18 -81.6 -0.508 18.67 20.06 02a57320o0605o
57320.634091  16.469  0.036   938   34 o  0   2.47  56.57077  63.46190  6990.28  8564.28 4.21 3.25 -79.9 -0.500 18.84 20.44 02a57320o0651o
57328.460945  16.323  0.043  1074   46 o  0   1.36  56.57077  63.46190  2296.70  3480.88 5.39 3.99 -37.9 -0.495 18.65 20.01 02a57328o0432o
57328.501820  16.369  0.043  1029   44 o  0   1.36  56.57077  63.46190  8500.33  7198.67 4.19 3.08  88.1 -0.485 18.68 20.09 02a57328o0491o
57328.523566  16.420  0.039   982   38 o  0   2.63  56.57077  63.46190  7081.90  8585.69 4.10 3.12 -84.8 -0.500 18.69 20.08 02a57328o0524o
57328.551588  16.407  0.040   994   39 o  0   2.17  56.57077  63.46190  7069.18  8584.14 4.19 3.07 -83.3 -0.495 18.68 20.08 02a57328o0561o
57344.387008  17.472  0.057   373   21 c  0   1.58  56.57077  63.46190  2271.94  3491.89 4.33 3.72 -36.5 -0.424 19.43 21.23 02a57344o0318c
57344.414189  17.211  0.041   474   19 c  0   1.80  56.57077  63.46190  2279.34  3494.94 4.61 4.02 -34.3 -0.394 19.43 21.37 02a57344o0359c
57344.452320  17.348  0.044   418   18 c  0   2.20  56.57077  63.46190  2286.40  3492.04 4.34 3.78 -35.7 -0.416 19.48 21.37 02a57344o0416c
57344.474466  17.282  0.049   444   22 c  0   1.40  56.57077  63.46190  8489.17  7201.56 4.04 3.69  80.1 -0.413 19.39 21.30 02a57344o0450c
57344.497821  17.284  0.046   443   20 c  0   1.25  56.57077  63.46190  8477.59  7201.14 4.15 3.68  81.2 -0.414 19.40 21.31 02a57344o0486c
57344.521263  17.252  0.083   456   38 c  0   1.41  56.57077  63.46190  8466.25  7203.10 4.10 3.65  82.4 -0.416 18.62 20.45 02a57344o0522c
57377.383353  17.233  0.082   464   38 c  0   1.06  56.57077  63.46190  8819.62  6747.43 4.02 3.45  82.2 -0.454 18.57 19.57 02a57377o0322c
57377.393810  17.492  0.102   366   37 c  0   0.99  56.57077  63.46190  9099.66  7350.67 4.23 3.64  81.8 -0.438 18.52 19.56 02a57377o0339c
57386.347618  16.374  0.030  1024   30 o  0   3.26  56.57077  63.46190  8772.89  6938.87 3.83 2.97  85.9 -0.513 19.01 20.52 02a57386o0271o
57386.354380  16.387  0.029  1012   29 o  0   3.48  56.57077  63.46190  9052.98  7542.18 3.82 2.98  85.7 -0.511 18.98 20.43 02a57386o0281o
57386.364581  16.457  0.033   948   32 o  0   2.88  56.57077  63.46190  8205.84  6322.83 3.86 2.97  89.7 -0.495 18.90 20.33 02a57386o0296o
57386.381174  16.481  0.031   928   29 o  0   3.26  56.57077  63.46190  7908.81  8051.91 3.69 3.03 -89.5 -0.494 18.90 20.27 02a57386o0320o
57387.321404  16.462  0.032   944   30 o  0   2.51  56.57077  63.46190  1997.97  3762.15 4.37 3.71 -41.4 -0.495 19.00 20.43 02a57387o0230o
57387.358348  16.456  0.023   950   22 o  0   5.07  56.57077  63.46190  9053.05  7543.35 3.75 3.22  84.1 -0.483 19.33 20.79 02a57387o0286o
57387.380179  16.475  0.026   933   24 o  0   4.12  56.57077  63.46190  7921.42  8054.16 3.62 3.23  85.4 -0.480 19.22 20.57 02a57387o0316o
57396.322477  17.321  0.043   428   18 c  0   2.03  56.57077  63.46190  8549.34  6707.61 3.99 3.47  83.6 -0.462 19.51 21.44 02a57396o0216c
57396.344570  17.238  0.041   462   19 c  0   1.70  56.57077  63.46190  8882.42  7328.46 4.04 3.49  82.7 -0.455 19.53 21.50 02a57396o0252c
57396.349643  17.155  0.033   499   17 c  0   2.35  56.57077  63.46190  8045.63  6118.09 4.04 3.62  81.5 -0.442 19.52 21.54 02a57396o0260c
57396.382698  17.306  0.041   434   18 c  0   2.21  56.57077  63.46190  7841.41  7882.34 3.91 3.51  86.7 -0.445 19.59 21.60 02a57396o0311c
