HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459942.51263,2022-12-29.0070788,bp,2.12,15.694,12.849,0.016,26.322,0.393,g
2459942.51387,2022-12-29.0083216,bp,2.12,15.682,12.840,0.017,26.528,0.400,g
2459943.37480,2022-12-29.8692638,bp,2.39,15.595,12.834,0.017,26.703,0.430,g
2459943.37604,2022-12-29.8705019,bp,2.34,15.667,12.858,0.016,26.111,0.402,g
2459943.37729,2022-12-29.8717473,bp,2.38,15.687,12.822,0.017,26.993,0.404,g
2459943.40337,2022-12-29.8978320,bp,2.45,15.611,12.832,0.017,26.728,0.424,g
2459943.40475,2022-12-29.8992204,bp,2.50,15.640,12.860,0.017,26.056,0.412,g
2459943.40601,2022-12-29.9004730,bp,2.47,15.606,12.827,0.018,26.880,0.429,g
2459944.41819,2022-12-30.9126723,bp,1.51,15.703,12.825,0.016,26.914,0.398,g
2459944.41944,2022-12-30.9139222,bp,1.54,15.746,12.820,0.016,27.035,0.382,g
2459944.42068,2022-12-30.9151665,bp,1.52,15.696,12.842,0.017,26.505,0.395,g
2459945.45542,2022-12-31.9499319,bp,1.52,15.657,12.838,0.017,26.575,0.413,g
2459945.45669,2022-12-31.9511923,bp,1.57,15.704,12.893,0.017,25.291,0.392,g
2459945.45793,2022-12-31.9524284,bp,1.58,15.680,12.836,0.017,26.637,0.411,g
2459945.47841,2022-12-31.9729152,bp,1.50,15.754,12.830,0.016,26.802,0.376,g
2459945.47964,2022-12-31.9741488,bp,1.52,15.786,12.848,0.015,26.336,0.364,g
2459945.48088,2022-12-31.9753899,bp,1.55,15.788,12.910,0.016,24.898,0.367,g
2459946.41020,2023-01-01.9047274,bp,1.66,15.491,12.837,0.020,26.639,0.477,g
2459946.41144,2023-01-01.9059682,bp,1.63,15.498,12.840,0.020,26.536,0.477,g
2459946.41267,2023-01-01.9072040,bp,1.64,15.497,12.881,0.021,25.543,0.475,g
2459946.71536,2023-01-02.2098945,bl,1.49,15.635,12.868,0.018,25.876,0.432,g
2459946.71660,2023-01-02.2111293,bl,1.49,15.634,12.835,0.018,26.655,0.428,g
2459946.71783,2023-01-02.2123689,bl,1.53,15.673,12.865,0.017,25.958,0.416,g
2459947.34068,2023-01-02.8352363,bp,1.99,15.333,12.858,0.023,26.113,0.555,g
2459947.34193,2023-01-02.8364814,bp,1.64,15.263,12.847,0.025,26.379,0.583,g
2459947.34318,2023-01-02.8377231,bp,1.61,15.337,12.779,0.021,28.077,0.544,g
2459947.43500,2023-01-02.9295490,bp,1.51,15.299,12.859,0.024,26.078,0.564,g
2459947.43623,2023-01-02.9307857,bp,1.48,15.353,12.844,0.023,26.448,0.540,g
2459947.51953,2023-01-03.0140759,bp,1.57,15.230,12.797,0.029,27.616,0.730,g
2459947.52076,2023-01-03.0153072,bp,1.53,15.013,12.851,0.035,26.295,0.845,g
2459947.52200,2023-01-03.0165525,bp,1.41,15.103,12.911,0.034,24.882,0.782,g
2459952.32429,2023-01-07.8189835,bp,2.01,15.055,12.812,0.029,27.256,0.706,g
2459952.32553,2023-01-07.8202267,bp,1.99,15.103,12.839,0.028,26.578,0.680,g
2459952.32678,2023-01-07.8214671,bp,1.98,15.231,12.915,0.027,24.784,0.601,g
2459953.32683,2023-01-08.8215692,bp,1.66,15.423,12.860,0.021,26.062,0.504,g
2459953.32808,2023-01-08.8228113,bp,1.70,15.339,12.871,0.024,25.799,0.552,g
2459953.32933,2023-01-08.8240568,bp,1.68,15.326,12.846,0.022,26.392,0.548,g
2459953.58544,2023-01-09.0801725,bH,1.48,15.653,12.834,0.017,26.679,0.412,g
2459953.58675,2023-01-09.0814982,bH,1.50,15.621,12.819,0.018,27.062,0.435,g
2459953.58805,2023-01-09.0827932,bH,1.43,15.747,12.831,0.015,26.771,0.372,g
2459953.69373,2023-01-09.1884760,bH,1.49,15.423,12.886,0.022,25.436,0.515,g
2459953.69503,2023-01-09.1897760,bH,1.46,15.324,12.871,0.024,25.813,0.552,g
2459953.69633,2023-01-09.1910679,bH,1.38,15.249,12.897,0.026,25.189,0.590,g
2459954.34173,2023-01-09.8364957,bp,1.49,15.684,12.858,0.017,26.126,0.407,g
2459954.34296,2023-01-09.8377247,bp,1.49,15.645,12.867,0.018,25.901,0.422,g
2459954.34420,2023-01-09.8389653,bp,1.53,15.709,12.850,0.017,26.295,0.393,g
2459954.44837,2023-01-09.9431400,bp,1.60,15.247,12.840,0.025,26.538,0.592,g
2459954.44961,2023-01-09.9443815,bp,1.52,15.370,12.840,0.022,26.568,0.534,g
2459954.45085,2023-01-09.9456208,bp,1.53,15.292,12.846,0.023,26.401,0.563,g
2459954.67301,2023-01-10.1677864,bl,1.54,15.586,12.845,0.019,26.412,0.445,g
2459954.67426,2023-01-10.1690400,bl,1.43,15.594,12.866,0.019,25.910,0.443,g
2459954.67549,2023-01-10.1702701,bl,1.50,15.650,12.858,0.018,26.107,0.428,g
2459955.31541,2023-01-10.8102125,bp,1.62,15.745,12.811,0.015,27.277,0.378,g
2459955.31665,2023-01-10.8114545,bp,1.69,15.774,12.852,0.016,26.257,0.368,g
2459955.31789,2023-01-10.8126987,bp,1.54,15.731,12.855,0.016,26.200,0.386,g
2459957.48563,2023-01-12.9805164,bp,1.54,15.564,12.840,0.020,26.544,0.472,g
2459957.48688,2023-01-12.9817696,bp,1.50,15.427,12.876,0.022,25.677,0.520,g
2459957.48813,2023-01-12.9830222,bp,1.58,15.398,12.870,0.022,25.816,0.537,g
2459958.72527,2023-01-14.2202200,bH,1.45,15.926,12.840,0.014,26.551,0.327,g
2459958.72655,2023-01-14.2214989,bH,1.42,15.867,12.844,0.014,26.468,0.356,g
2459958.72786,2023-01-14.2227976,bH,1.47,15.911,12.835,0.014,26.685,0.339,g
2459959.54391,2023-01-15.0388883,bH,1.47,15.883,12.853,0.014,26.226,0.341,g
2459959.54519,2023-01-15.0401781,bH,1.46,15.983,12.866,0.013,25.940,0.309,g
2459959.54649,2023-01-15.0414680,bH,1.50,15.948,12.825,0.013,26.922,0.317,g
2459960.35669,2023-01-15.8517048,bp,1.70,15.989,12.859,0.013,26.102,0.318,g
2459960.35793,2023-01-15.8529502,bp,1.67,15.978,12.813,0.013,27.212,0.323,g
2459960.55480,2023-01-16.0498297,bl,1.53,15.918,12.865,0.014,25.932,0.339,g
2459960.55605,2023-01-16.0510761,bl,1.52,15.885,12.822,0.014,27.002,0.358,g
2459960.55731,2023-01-16.0523296,bl,1.53,15.872,12.801,0.014,27.529,0.344,g
2459961.31400,2023-01-16.8090513,bp,2.19,14.381,12.780,0.051,28.068,1.309,g
2459961.31532,2023-01-16.8103833,bp,2.16,14.815,12.806,0.037,27.407,0.927,g
2459961.31660,2023-01-16.8116694,bp,2.12,14.463,12.936,0.058,24.292,1.283,g
2459961.54405,2023-01-17.0391167,bH,1.46,15.934,12.844,0.014,26.448,0.326,g
2459961.54533,2023-01-17.0404001,bH,1.45,15.975,12.850,0.013,26.301,0.311,g
2459961.54662,2023-01-17.0416891,bH,1.51,15.961,12.849,0.013,26.324,0.312,g
2459962.53877,2023-01-18.0338958,bl,1.59,15.509,12.861,0.020,26.046,0.480,g
2459962.54003,2023-01-18.0351469,bl,1.56,15.624,12.806,0.017,27.393,0.433,g
2459962.54127,2023-01-18.0363862,bl,1.61,15.756,12.875,0.016,25.694,0.390,g
2459963.70227,2023-01-19.1974587,bl,1.49,15.925,12.857,0.014,26.141,0.344,g
2459963.70352,2023-01-19.1986931,bl,1.49,15.912,12.887,0.014,25.432,0.346,g
2459963.70474,2023-01-19.1999314,bl,1.47,15.878,12.874,0.015,25.738,0.351,g
2459964.70219,2023-01-20.1974153,bl,1.49,15.885,12.874,0.015,25.715,0.336,g
2459964.70343,2023-01-20.1986630,bl,1.48,15.901,12.867,0.014,25.892,0.342,g
2459964.70468,2023-01-20.1999157,bl,1.45,15.881,12.870,0.015,25.826,0.350,g
2459965.69743,2023-01-21.1927222,bl,1.52,15.898,12.857,0.014,26.123,0.348,g
2459965.69869,2023-01-21.1939773,bl,1.44,15.887,12.859,0.014,26.068,0.353,g
2459965.69992,2023-01-21.1952134,bl,1.49,15.926,12.859,0.014,26.093,0.332,g
2459966.68980,2023-01-22.1851394,bl,1.44,15.948,12.959,0.015,23.786,0.331,g
2459966.69106,2023-01-22.1863922,bl,1.45,15.912,12.930,0.015,24.448,0.340,g
2459966.69230,2023-01-22.1876420,bl,1.41,15.927,12.924,0.015,24.576,0.334,g
2459967.80196,2023-01-23.2973542,bt,1.51,16.138,12.880,0.012,25.586,0.278,g
2459967.80318,2023-01-23.2985905,bt,1.45,16.123,12.850,0.012,26.320,0.274,g
2459967.80441,2023-01-23.2998194,bt,1.46,16.124,12.862,0.012,26.005,0.271,g
2459968.59490,2023-01-24.0903476,bl,1.48,15.941,12.870,0.014,25.829,0.334,g
2459968.59616,2023-01-24.0916133,bl,1.52,15.927,12.852,0.014,26.250,0.339,g
2459968.68881,2023-01-24.1842672,bl,1.40,15.881,12.848,0.014,26.348,0.353,g
2459968.69006,2023-01-24.1855162,bl,1.46,15.834,12.838,0.015,26.616,0.369,g
2459968.69130,2023-01-24.1867613,bl,1.50,15.914,12.893,0.014,25.287,0.342,g
2459969.67695,2023-01-25.1724628,bl,1.49,15.875,12.855,0.014,26.173,0.353,g
2459969.67819,2023-01-25.1737011,bl,1.48,15.906,12.843,0.014,26.486,0.347,g
2459969.67943,2023-01-25.1749440,bl,1.49,15.929,12.861,0.014,26.048,0.342,g
2459970.66578,2023-01-26.1613512,bl,1.46,15.916,12.874,0.014,25.727,0.342,g
2459970.66702,2023-01-26.1625918,bl,1.45,15.944,12.877,0.014,25.672,0.337,g
2459970.66826,2023-01-26.1638314,bl,1.51,15.912,12.856,0.014,26.142,0.341,g
2459971.84334,2023-01-27.3389859,bt,2.25,16.024,12.858,0.013,26.109,0.315,g
2459971.84458,2023-01-27.3402276,bt,2.27,16.041,12.850,0.014,26.300,0.317,g
2459971.84581,2023-01-27.3414553,bt,2.27,16.019,12.840,0.013,26.539,0.320,g
2459972.69030,2023-01-28.1859938,bl,1.50,15.903,12.860,0.014,26.087,0.351,g
2459972.69155,2023-01-28.1872484,bl,1.46,15.895,12.870,0.014,25.823,0.346,g
2459972.69279,2023-01-28.1884905,bl,1.49,15.899,12.880,0.014,25.592,0.350,g
2459973.69101,2023-01-29.1867723,bl,1.46,16.067,13.493,0.021,14.558,0.285,g
2459973.69226,2023-01-29.1880210,bl,1.41,16.054,13.481,0.021,14.710,0.284,g
2459973.69350,2023-01-29.1892660,bl,1.50,16.007,13.415,0.020,15.639,0.293,g
2459974.65484,2023-01-30.1506722,bl,1.47,15.722,12.858,0.017,26.109,0.409,g
2459974.65610,2023-01-30.151925,bl,1.53,15.649,12.838,0.017,26.594,0.426,g
2459974.65733,2023-01-30.1531562,bl,1.54,15.765,12.924,0.017,24.571,0.384,g
2459984.39633,2023-02-08.8928716,bp,1.55,15.646,12.903,0.018,25.048,0.419,g
2459984.39757,2023-02-08.8941069,bp,1.53,15.631,12.831,0.018,26.775,0.420,g
2459984.39881,2023-02-08.8953487,bp,1.64,15.587,12.827,0.018,26.875,0.444,g
2459987.79369,2023-02-12.2905021,bt,1.65,15.941,12.885,0.014,25.479,0.325,g
2459987.79492,2023-02-12.2917311,bt,1.50,15.915,12.835,0.014,26.661,0.335,g
2459987.79617,2023-02-12.2929868,bt,1.65,15.929,12.850,0.014,26.294,0.332,g
2459988.66079,2023-02-13.1576694,bH,1.45,15.869,12.846,0.014,26.399,0.348,g
2459988.66208,2023-02-13.1589587,bH,1.38,15.851,12.849,0.015,26.320,0.351,g
2459988.66336,2023-02-13.1602480,bH,1.43,15.792,12.790,0.015,27.816,0.380,g
2459989.64496,2023-02-14.1419232,bl,1.45,15.780,12.835,0.015,26.666,0.382,g
2459989.64618,2023-02-14.1431505,bl,1.52,15.801,12.836,0.015,26.644,0.381,g
2459989.64742,2023-02-14.1443900,bl,1.45,15.810,12.860,0.015,26.065,0.370,g
2459990.59141,2023-02-15.0884465,bl,1.58,15.943,12.881,0.014,25.578,0.334,g
2459990.59264,2023-02-15.0896822,bl,1.54,15.955,12.871,0.014,25.808,0.328,g
2459990.59388,2023-02-15.0909232,bl,1.51,15.907,12.875,0.014,25.698,0.340,g
2459997.35361,2023-02-21.8512435,bp,1.53,16.006,12.842,0.013,26.483,0.316,g
2459997.35486,2023-02-21.8524878,bp,1.55,16.025,12.871,0.013,25.795,0.298,g
2459997.35611,2023-02-21.8537401,bp,1.60,16.004,12.852,0.013,26.268,0.307,g
2459998.75079,2023-02-23.2485496,bt,1.55,16.023,12.989,0.014,23.147,0.293,g
2459998.75202,2023-02-23.2497870,bt,1.55,16.041,12.994,0.014,23.018,0.292,g
2459998.75327,2023-02-23.2510322,bt,1.61,16.034,12.996,0.014,22.984,0.291,g
2460001.63615,2023-02-26.1341768,bt,2.29,15.937,12.809,0.013,27.325,0.321,g
2460001.63739,2023-02-26.1354142,bt,2.25,15.935,12.830,0.013,26.792,0.326,g
2460001.63863,2023-02-26.1366468,bt,2.26,15.889,12.835,0.014,26.662,0.336,g
2460011.52433,2023-03-08.0232953,bH,1.53,15.518,12.905,0.021,25.005,0.469,g
2460011.52563,2023-03-08.0245929,bH,1.50,15.499,12.862,0.020,26.030,0.482,g
2460011.52692,2023-03-08.0258898,bH,1.53,15.465,12.866,0.021,25.926,0.486,g
2460012.57619,2023-03-09.0752600,bH,1.50,15.186,12.950,0.029,23.995,0.629,g
2460012.57747,2023-03-09.0765451,bH,1.41,15.160,12.771,0.025,28.286,0.664,g
