MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1135054019982,14.239,0.055,180.22355,34.81394,53712.46178,0
1135054019982,14.247,0.055,180.22362,34.81392,53712.47124,0
1135054019982,14.182,0.054,180.22356,34.81398,53712.48072,0
1135054019982,14.202,0.055,180.22363,34.81386,53527.20471,0
1135054019982,14.227,0.055,180.22358,34.81394,53527.21300,0
1135054019982,14.253,0.055,180.22350,34.81386,53527.22142,0
1135054019982,14.236,0.055,180.22365,34.81391,53527.22984,0
1135054019982,14.221,0.055,180.22355,34.81383,53534.18721,0
1135054019982,14.160,0.055,180.22342,34.81378,53852.25488,0
1135054019982,14.169,0.055,180.22352,34.81379,53852.27669,0
1135054019982,14.263,0.058,180.22343,34.81390,53789.33139,0
1135054019982,14.205,0.058,180.22356,34.81389,53789.33791,0
1135054019982,14.194,0.057,180.22366,34.81390,53789.34453,0
1135054019982,14.167,0.054,180.22341,34.81387,53742.45685,0
1135054019982,14.145,0.054,180.22346,34.81380,53742.46239,0
1135054019982,14.202,0.055,180.22351,34.81388,53757.52433,0
1135054019982,14.099,0.070,180.22344,34.81379,53902.25787,0
1135054019982,14.148,0.071,180.22352,34.81377,53902.25886,0
1135054019982,14.150,0.071,180.22357,34.81388,53902.25984,0
1135054019982,14.509,0.056,180.22358,34.81384,53797.37145,0
1135054019982,14.569,0.056,180.22354,34.81385,53797.37855,0
1135054019982,14.590,0.058,180.22370,34.81390,53797.38515,0
1135054019982,14.701,0.058,180.22365,34.81395,53797.39179,0
1135054019982,14.178,0.055,180.22367,34.81390,53817.38893,0
1135054019982,14.287,0.055,180.22363,34.81388,53817.39844,0
1135054019982,14.191,0.055,180.22353,34.81386,53817.40798,0
1135054019982,14.138,0.054,180.22359,34.81384,53861.19924,0
1135054019982,14.274,0.055,180.22352,34.81377,53861.21441,0
1135054019982,14.200,0.071,180.22345,34.81383,53866.29964,0
1135054019982,14.224,0.054,180.22356,34.81399,53885.22776,0
1135054019982,14.228,0.054,180.22342,34.81385,53885.25157,0
1135054019982,14.199,0.054,180.22361,34.81389,54209.29782,0
1135054019982,14.236,0.055,180.22364,34.81383,54209.30589,0
1135054019982,14.188,0.054,180.22361,34.81394,54209.31397,0
1135054019982,14.209,0.054,180.22360,34.81389,54209.32204,0
1135054019982,14.232,0.055,180.22348,34.81392,54156.27430,0
1135054019982,14.226,0.055,180.22369,34.81394,54156.28301,0
1135054019982,14.216,0.054,180.22359,34.81401,54272.16144,0
1135054019982,14.250,0.054,180.22351,34.81390,54272.16931,0
1135054019982,14.218,0.054,180.22350,34.81391,54272.17721,0
1135054019982,14.211,0.054,180.22360,34.81386,54272.18509,0
1135054019982,14.136,0.054,180.22343,34.81368,54169.25970,0
1135054019982,14.133,0.054,180.22349,34.81377,54169.27289,0
1135054019982,14.135,0.054,180.22343,34.81386,54169.27944,0
1135054019982,14.213,0.054,180.22370,34.81387,54176.24567,0
1135054019982,14.137,0.054,180.22353,34.81379,54176.25329,0
1135054019982,14.133,0.054,180.22359,34.81387,54176.26085,0
1135054019982,14.204,0.054,180.22352,34.81393,54176.26841,0
1135054019982,14.138,0.054,180.22358,34.81381,54232.30657,0
1135054019982,14.139,0.054,180.22341,34.81384,54232.31309,0
1135054019982,14.174,0.055,180.22348,34.81380,54232.31961,0
1135054019982,14.212,0.055,180.22354,34.81382,54232.32613,0
1135054019982,14.175,0.054,180.22370,34.81379,54245.18591,0
1135054019982,14.569,0.054,180.22342,34.81403,54411.49370,0
1135054019982,14.643,0.055,180.22343,34.81386,54411.49947,0
1135054019982,14.770,0.056,180.22348,34.81396,54411.50522,0
1135054019982,14.771,0.055,180.22350,34.81392,54411.51099,0
1135054019982,14.291,0.055,180.22358,34.81403,54559.31303,0
1135054019982,14.192,0.054,180.22358,34.81395,54559.31696,0
1135054019982,14.162,0.054,180.22360,34.81395,54559.32086,0
1135054019982,14.208,0.054,180.22356,34.81401,54559.32481,0
1135054019982,14.276,0.055,180.22365,34.81392,54566.34318,0
1135054019982,14.262,0.055,180.22365,34.81383,54566.35138,0
1135054019982,14.184,0.054,180.22368,34.81391,54566.35975,0
1135054019982,14.298,0.055,180.22352,34.81403,54566.36813,0
1135054019982,14.243,0.054,180.22358,34.81393,54571.19794,0
1135054019982,14.282,0.054,180.22353,34.81389,54571.20480,0
1135054019982,14.229,0.054,180.22366,34.81401,54571.21164,0
1135054019982,14.244,0.054,180.22366,34.81403,54571.21852,0
1135054019982,14.214,0.054,180.22351,34.81394,54584.23745,0
1135054019982,14.218,0.054,180.22354,34.81400,54584.24839,0
1135054019982,14.147,0.054,180.22353,34.81393,54584.25381,0
