Gaia16ams
#Date,JD(TCB),averagemag
2021-02-03 21:33:43,2459249.39841,16.35
2021-02-04 03:33:56,2459249.64856,16.36
2021-04-15 15:45:29,2459320.15659,16.84
2021-04-15 19:59:10,2459320.33275,17.10
2021-04-15 21:45:44,2459320.40676,17.14
2021-04-16 01:59:25,2459320.58293,17.25
2021-05-02 14:10:04,2459337.09032,16.64
2021-05-02 15:56:38,2459337.16433,16.69
2021-06-08 19:48:43,2459374.32550,17.18
2021-06-08 21:35:18,2459374.39951,17.03
2021-07-17 13:06:58,2459413.04650,16.32
2021-07-17 14:53:33,2459413.12052,16.31
2021-07-30 21:01:22,2459426.37595,16.41
2021-07-31 01:15:03,2459426.55212,16.39
2021-11-05 05:42:15,2459523.73767,16.42
2021-11-24 21:53:18,2459543.41201,16.32
2021-12-26 15:19:54,2459575.13882,16.32
2022-04-25 21:09:15,2459695.38142,16.64
2022-04-25 22:55:49,2459695.45543,16.64
2022-05-19 09:14:51,2459718.88531,16.31
2022-06-20 04:45:41,2459750.69839,null
2022-08-02 08:05:43,2459793.83730,16.33
2022-08-02 09:52:17,2459793.91131,16.31
2022-08-02 14:05:58,2459794.08748,16.33
2022-08-02 15:52:33,2459794.16149,16.33
2022-08-08 02:11:03,2459799.59101,16.36
2022-08-08 03:57:37,2459799.66501,16.36
2022-08-08 08:11:18,2459799.84118,16.36
2022-08-08 09:57:53,2459799.91520,16.75
2022-12-08 22:48:11,2459922.45013,16.31
2022-12-09 00:34:45,2459922.52413,16.29
2023-01-06 10:28:31,2459950.93647,16.31
2023-05-06 22:20:39,2460071.43101,untrusted
2023-05-07 00:07:13,2460071.50501,16.32
2023-06-03 18:02:40,2460099.25185,16.45
2023-07-01 05:54:23,2460126.74610,16.35
2023-07-01 10:08:04,2460126.92227,16.34
2023-11-25 18:04:08,2460274.25287,16.39
2023-12-23 05:44:13,2460301.73904,16.37
2023-12-23 07:30:46,2460301.81303,16.33
2024-01-16 23:37:18,2460326.48424,16.34
2024-01-17 01:23:51,2460326.55823,16.33

