HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457260.93824,2015-08-26.4373202,bc,1.45,15.463,14.122,0.064,8.614,0.502,V
2457263.04010,2015-08-28.5390513,bc,1.43,15.919,14.060,0.040,9.113,0.331,V
2457263.04136,2015-08-28.5403024,bc,1.49,15.799,13.995,0.042,9.686,0.371,V
2457263.04261,2015-08-28.5415589,bc,1.48,15.971,14.090,0.039,8.868,0.317,V
2457270.88999,2015-09-05.3884447,bc,1.55,15.920,14.062,0.040,9.098,0.331,V
2457270.89091,2015-09-05.3893608,bc,1.56,15.986,14.083,0.038,8.927,0.311,V
2457270.89182,2015-09-05.3902689,bc,1.67,15.898,14.022,0.039,9.446,0.338,V
2457276.06739,2015-09-10.5655334,bc,1.50,16.007,14.109,0.038,8.714,0.306,V
2457276.06830,2015-09-10.5664425,bc,1.47,15.993,14.090,0.038,8.872,0.311,V
2457276.06921,2015-09-10.5673568,bc,1.51,15.950,14.076,0.039,8.989,0.323,V
2457288.01298,2015-09-22.5104666,bc,1.51,16.009,14.089,0.037,8.874,0.305,V
2457288.01391,2015-09-22.5113888,bc,1.49,15.991,14.090,0.038,8.873,0.311,V
2457288.01484,2015-09-22.5123299,bc,1.47,15.942,14.064,0.039,9.079,0.326,V
2457291.05001,2015-09-25.5473412,bc,1.72,15.890,14.060,0.041,9.125,0.341,V
2457291.05126,2015-09-25.5485903,bc,1.65,16.008,14.133,0.039,8.528,0.306,V
2457291.05251,2015-09-25.5498475,bc,1.66,15.927,14.022,0.038,9.440,0.330,V
2457297.85792,2015-10-02.3549381,bc,1.78,15.920,14.012,0.038,9.527,0.331,V
2457297.85917,2015-10-02.3561942,bc,1.82,15.985,14.038,0.036,9.304,0.313,V
2457297.86042,2015-10-02.3574467,bc,1.83,15.876,13.997,0.039,9.665,0.345,V
2457300.85447,2015-10-05.3513682,bc,1.39,16.202,14.152,0.033,8.374,0.257,V
