MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1135022009722,13.742,0.058,72.34073,34.06659,53480.13854,0
1135022009722,13.737,0.058,72.34072,34.06658,53480.14106,0
1135022009722,13.729,0.058,72.34074,34.06656,53480.14358,0
1135022009722,13.774,0.058,72.34074,34.06658,53480.14610,0
1135022009722,13.495,0.054,72.34069,34.06657,53706.36494,0
1135022009722,13.512,0.054,72.34069,34.06657,53706.37127,0
1135022009722,13.507,0.054,72.34068,34.06656,53706.37786,0
1135022009722,13.498,0.055,72.34067,34.06657,53706.38430,0
1135022009722,13.465,0.055,72.34069,34.06656,53712.19542,0
1135022009722,13.497,0.054,72.34069,34.06655,53712.20251,0
1135022009722,13.487,0.055,72.34068,34.06656,53712.20961,0
1135022009722,13.496,0.055,72.34069,34.06657,53712.21672,0
1135022009722,13.476,0.054,72.34070,34.06657,53725.20902,0
1135022009722,13.486,0.054,72.34066,34.06656,53725.21553,0
1135022009722,13.482,0.054,72.34066,34.06655,53725.22204,0
1135022009722,13.483,0.054,72.34069,34.06657,53725.22858,0
1135022009722,13.473,0.054,72.34066,34.06655,53735.22296,0
1135022009722,13.482,0.054,72.34070,34.06657,53735.22998,0
1135022009722,13.492,0.054,72.34069,34.06656,53735.23705,0
1135022009722,13.493,0.055,72.34070,34.06657,53735.24404,0
1135022009722,13.630,0.055,72.34070,34.06658,53768.24443,0
1135022009722,13.591,0.055,72.34070,34.06658,53768.25091,0
1135022009722,13.576,0.055,72.34069,34.06656,53768.25737,0
1135022009722,13.547,0.055,72.34070,34.06657,53768.26385,0
1135022009722,13.507,0.054,72.34067,34.06658,53742.19286,0
1135022009722,13.498,0.054,72.34069,34.06656,53742.20121,0
1135022009722,13.503,0.054,72.34069,34.06657,53742.20952,0
1135022009722,13.514,0.054,72.34068,34.06657,53742.21782,0
1135022009722,13.517,0.054,72.34071,34.06657,53760.18181,0
1135022009722,13.516,0.054,72.34069,34.06655,53760.18815,0
1135022009722,13.519,0.054,72.34069,34.06656,53760.20077,0
1135022009722,13.452,0.054,72.34071,34.06656,54041.44636,0
1135022009722,13.480,0.054,72.34071,34.06656,54041.45021,0
1135022009722,13.467,0.054,72.34071,34.06656,54041.45408,0
1135022009722,13.470,0.054,72.34070,34.06656,54041.45794,0
1135022009722,13.482,0.054,72.34070,34.06657,54010.44200,0
