###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57233.554614  13.903  0.006  9976   63 o  0  17.67  22.24737  61.37814   695.48  7612.01 3.52 3.36 -57.1 -0.490 18.42 19.30 02a57233o0219o
57307.409525  14.120  0.005  8169   38 c  0  24.67  22.24737  61.37814   702.00  7616.43 4.69 3.90 -61.4 -0.425 19.34 21.34 02a57307o0190c
57307.440529  14.121  0.005  8160   38 c  0  28.85  22.24737  61.37814   702.25  7618.83 4.54 3.75 -56.9 -0.434 19.40 21.37 02a57307o0228c
57307.453799  14.122  0.005  8152   37 c  0  35.56  22.24737  61.37814  2237.41  6262.26 4.33 3.67 -52.4 -0.451 19.41 21.39 02a57307o0246c
57307.490379  14.119  0.005  8177   38 c  0  30.05  22.24737  61.37814  8370.14  4361.09 4.28 3.89  63.1 -0.462 19.40 21.41 02a57307o0287c
57320.464484  13.855  0.007 10421   71 o  0   7.01  22.24737  61.37814  9925.55  3013.81 5.20 4.23  48.1 -0.489 18.33 19.45 02a57320o0388o
57320.493460  13.845  0.006 10521   65 o  0   9.69  22.24737  61.37814  9919.48  3014.87 5.07 4.21  45.2 -0.489 18.31 19.41 02a57320o0433o
57320.522371  13.879  0.006 10194   61 o  0  17.69  22.24737  61.37814  8379.17  4372.31 4.11 3.83  68.2 -0.505 18.28 19.36 02a57320o0478o
57320.552627  13.887  0.007 10119   69 o  0  11.57  22.24737  61.37814  8375.89  4373.39 4.04 3.81  78.7 -0.504 18.22 19.25 02a57320o0525o
57328.392303  13.854  0.006 10431   58 o  0  12.27  22.24737  61.37814 10014.52  3034.59 5.06 4.16  40.4 -0.477 18.67 20.14 02a57328o0335o
57328.421430  13.858  0.005 10390   52 o  0  21.59  22.24737  61.37814  9992.53  3032.54 4.98 4.08  40.3 -0.489 18.68 20.15 02a57328o0375o
57328.453951  13.877  0.006 10211   58 o  0  23.46  22.24737  61.37814  8453.41  4390.93 3.98 3.64  77.4 -0.531 18.62 20.05 02a57328o0422o
57328.486339  13.875  0.005 10234   55 o  0  29.52  22.24737  61.37814  8448.32  4392.50 4.10 3.66  80.1 -0.511 18.60 20.04 02a57328o0468o
57344.313537  14.160  0.011  7870   84 c  0   4.13  22.24737  61.37814   782.64  7652.43 4.15 3.74 -66.1 -0.421 18.07 19.44 02a57344o0210c
57344.335457  14.123  0.006  8141   47 c  0  15.13  22.24737  61.37814   787.10  7656.61 4.17 3.74 -64.9 -0.425 18.78 20.34 02a57344o0243c
57344.372579  14.138  0.004  8029   36 c  0  29.62  22.24737  61.37814  9988.90  3038.60 4.17 3.81  57.3 -0.429 19.26 21.01 02a57344o0297c
57344.407740  14.132  0.004  8074   36 c  0  28.92  22.24737  61.37814  9977.09  3039.75 4.40 4.06  51.6 -0.403 19.36 21.31 02a57344o0349c
57344.434870  14.139  0.005  8026   36 c  0  32.15  22.24737  61.37814  9972.98  3038.64 3.98 3.68  60.5 -0.439 19.42 21.28 02a57344o0389c
57344.462875  14.137  0.004  8041   35 c  0  42.32  22.24737  61.37814  9964.86  3042.39 4.01 3.73  58.3 -0.435 19.37 21.23 02a57344o0432c
57377.296255  14.116  0.006  8200   50 c  0   6.00  22.24737  61.37814   191.62  2649.41 5.51 4.01 -39.1 -0.396 18.47 19.49 02a57377o0181c
57377.320947  14.133  0.006  8066   50 c  0   6.20  22.24737  61.37814   486.41  3220.47 5.58 4.28 -38.9 -0.374 18.37 19.46 02a57377o0221c
