###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57364.373696  15.409  0.013  2490   31 o  0 1059.34  59.95587  43.24319  8005.54  3609.77 3.60 3.38  49.9 -0.453 19.13 20.71 02a57364o0313o
57364.386778  15.420  0.013  2466   31 o  0 765.34  59.95587  43.24319  2094.18  5748.91 3.78 3.35 -64.2 -0.463 19.21 20.76 02a57364o0334o
57364.404610  15.410  0.013  2489   33 o  0 834.84  59.95587  43.24319  1789.59  7503.30 3.81 3.36 -71.7 -0.469 19.23 20.81 02a57364o0355o
57365.383788  13.809  0.004 10870   43 o  0 1786.29  59.95587  43.24319  8300.27  4186.84 3.57 3.39  69.8 -0.457 19.18 20.81 02a57365o0343o
57365.398106  13.814  0.004 10827   46 o  0 761.20  59.95587  43.24319  2945.87  6893.82 3.83 3.39 -74.7 -0.450 19.20 20.84 02a57365o0363o
57365.421715  13.796  0.004 11002   46 o  0 986.44  59.95587  43.24319  2072.74  5754.72 4.12 3.48 -62.2 -0.456 19.18 20.85 02a57365o0394o
57365.440769  13.786  0.004 11105   47 o  0 970.43  59.95587  43.24319  1770.37  7513.70 4.04 3.46 -65.9 -0.459 19.19 20.81 02a57365o0421o
57377.367232  14.083  0.006  8446   47 c  0 224.94  59.95587  43.24319  2650.90  6317.87 4.30 3.69 -60.5 -0.429 18.55 19.55 02a57377o0296c
57377.385793  14.093  0.006  8370   48 c  0 185.58  59.95587  43.24319  2925.00  6898.34 4.10 3.54 -68.8 -0.444 18.58 19.54 02a57377o0326c
57377.404896  14.073  0.006  8524   52 c  0 177.70  59.95587  43.24319  2060.04  5758.59 4.43 3.74 -57.7 -0.457 18.52 19.54 02a57377o0357c
57384.332881  13.829  0.005 10672   50 o  0 418.64  59.95587  43.24319  2552.40  6525.96 3.85 3.51 -75.6 -0.434 18.73 19.91 02a57384o0205o
57384.349780  13.840  0.005 10572   49 o  0 561.54  59.95587  43.24319  2827.59  7105.32 3.77 3.45 -81.1 -0.437 18.74 19.91 02a57384o0230o
57384.359520  13.843  0.005 10537   50 o  0 506.98  59.95587  43.24319  1963.79  5961.41 4.00 3.58 -68.7 -0.434 18.70 19.88 02a57384o0245o
57384.388523  13.827  0.005 10692   50 o  0 621.83  59.95587  43.24319  1658.57  7718.66 3.87 3.51 -75.7 -0.441 18.69 19.84 02a57384o0289o
57385.331673  13.806  0.004 10903   49 o  0 673.93  59.95587  43.24319  2553.48  6529.53 3.99 3.41 -67.4 -0.458 18.87 20.19 02a57385o0246o
57385.345745  13.837  0.005 10594   50 o  0 645.27  59.95587  43.24319  2821.96  7107.30 3.86 3.33 -71.0 -0.459 18.85 20.11 02a57385o0264o
57385.360760  13.836  0.005 10608   50 o  0 578.14  59.95587  43.24319  1964.21  5964.40 3.95 3.38 -63.9 -0.482 18.84 20.10 02a57385o0287o
57385.406107  13.812  0.005 10845   49 o  0 462.68  59.95587  43.24319  1655.29  7719.80 3.94 3.36 -67.0 -0.474 18.84 20.09 02a57385o0330o
57395.332846  13.994  0.004  9174   36 c  0 1033.05  59.95587  43.24319  2397.09  6353.70 4.00 3.69 -73.4 -0.409 19.56 21.53 02a57395o0228c
57395.349653  13.986  0.004  9236   36 c  0 1163.34  59.95587  43.24319  2710.95  6940.62 3.79 3.55 -75.3 -0.412 19.61 21.54 02a57395o0253c
57395.368850  13.997  0.004  9141   37 c  0 681.35  59.95587  43.24319  1893.90  5812.00 3.86 3.60 -66.0 -0.417 19.59 21.51 02a57395o0282c
57395.387703  14.007  0.004  9064   37 c  0 921.66  59.95587  43.24319  1634.93  7580.33 3.78 3.59 -74.1 -0.427 19.59 21.50 02a57395o0310c
57409.312596  13.900  0.007  9998   68 o  0 102.75  59.95587  43.24319  1940.44  7118.66 3.79 3.37 -69.1 -0.474 18.42 19.23 02a57409o0203o
57409.331578  13.874  0.006 10241   61 o  0 264.45  59.95587  43.24319  1653.47  6545.68 3.84 3.41 -65.3 -0.481 18.37 19.16 02a57409o0234o
57409.345650  13.911  0.007  9895   65 o  0 150.42  59.95587  43.24319  2508.58  7688.85 3.67 3.34 -76.2 -0.475 18.36 19.12 02a57409o0257o
57409.363016  13.894  0.006 10052   59 o  0 226.77  59.95587  43.24319  2803.07  5941.96 3.67 3.32 -69.8 -0.469 18.34 19.09 02a57409o0285o
57413.225176  13.819  0.005 10777   50 o  0 837.28  59.95587  43.24319  9278.76  3952.52 3.88 3.21  86.3 -0.503 19.03 20.56 02a57413o0025o
57413.239285  13.795  0.004 11019   47 o  0 1364.82  59.95587  43.24319  8113.05  4566.27 3.77 3.10  85.3 -0.527 19.05 20.59 02a57413o0047o
57413.254386  13.803  0.005 10933   52 o  0 403.57  59.95587  43.24319  2831.61  5935.61 3.76 3.34 -66.6 -0.498 18.88 20.18 02a57413o0071o
57414.282919  13.886  0.005 10130   49 o  0 531.37  59.95587  43.24319  2019.17  6869.12 3.95 3.47 -67.3 -0.475 19.04 20.57 02a57414o0157o
57414.309007  13.897  0.005 10028   49 o  0 739.37  59.95587  43.24319  1724.67  6294.87 3.97 3.45 -64.2 -0.474 18.82 20.10 02a57414o0199o
57414.328035  13.910  0.005  9908   51 o  0 552.10  59.95587  43.24319  2886.15  5688.59 3.81 3.43 -69.3 -0.477 18.75 19.97 02a57414o0230o
57414.333550  13.907  0.005  9935   52 o  0 431.70  59.95587  43.24319  2801.42  5944.08 3.72 3.32 -67.8 -0.481 18.76 19.95 02a57414o0239o
57418.284340  13.841  0.005 10558   48 o  0 608.76  59.95587  43.24319  1844.74  6850.04 3.88 3.47 -65.3 -0.461 19.08 20.59 02a57418o0156o
57418.306983  13.815  0.004 10815   46 o  0 711.86  59.95587  43.24319  1538.28  6278.87 3.91 3.45 -62.1 -0.476 19.04 20.50 02a57418o0193o
57418.316767  13.843  0.004 10538   47 o  0 851.82  59.95587  43.24319  2702.07  5670.40 3.77 3.40 -67.9 -0.468 19.01 20.48 02a57418o0209o
57418.331480  13.846  0.004 10507   45 o  0 939.82  59.95587  43.24319  2795.66  5940.31 3.84 3.48 -67.4 -0.456 19.01 20.51 02a57418o0233o
57419.283708  13.841  0.005 10555   49 o  0 799.67  59.95587  43.24319  2164.52  7385.99 4.13 3.62 -67.1 -0.472 19.02 20.60 02a57419o0126o
57419.307564  13.827  0.004 10692   47 o  0 915.59  59.95587  43.24319  1860.50  6831.54 4.06 3.57 -65.8 -0.470 19.07 20.70 02a57419o0165o
57419.316741  13.834  0.004 10631   46 o  0 1193.49  59.95587  43.24319  3022.61  6225.58 3.87 3.44 -69.3 -0.480 19.09 20.70 02a57419o0180o
57419.332060  13.845  0.004 10522   45 o  0 1131.76  59.95587  43.24319  2794.34  5939.49 3.95 3.50 -63.7 -0.463 19.07 20.66 02a57419o0205o
57424.265967  14.027  0.004  8896   40 c  0 521.09  59.95587  43.24319  1761.28  7048.81 4.29 4.00 -65.5 -0.439 19.42 21.43 02a57424o0122c
57424.291228  13.999  0.004  9127   40 c  0 638.41  59.95587  43.24319  1511.36  6491.15 4.22 3.75 -60.9 -0.459 19.49 21.47 02a57424o0163c
57424.308463  14.011  0.004  9025   39 c  0 660.79  59.95587  43.24319  2699.11  5890.91 4.38 3.99 -60.9 -0.425 19.40 21.42 02a57424o0191c
57424.315877  14.017  0.004  8976   38 c  0 719.14  59.95587  43.24319  2772.04  5801.72 4.13 3.76 -58.8 -0.441 19.46 21.42 02a57424o0203c
57431.263340  14.028  0.004  8889   40 c  0 464.15  59.95587  43.24319  1989.09  6687.32 4.89 4.46 -54.2 -0.418 19.05 20.97 02a57431o0136c
57431.274330  14.027  0.004  8896   40 c  0 520.22  59.95587  43.24319  1729.06  6119.95 4.62 4.13 -51.6 -0.426 19.13 20.98 02a57431o0154c
57431.290829  14.042  0.005  8778   40 c  0 473.75  59.95587  43.24319  2916.50  5524.85 4.53 4.21 -50.0 -0.400 19.11 20.96 02a57431o0181c
57431.310382  14.047  0.004  8732   38 c  0 622.39  59.95587  43.24319  2764.28  5794.80 4.50 4.11 -52.2 -0.403 19.10 20.91 02a57431o0213c
57440.220436  13.961  0.009  9454   81 o  0 120.99  59.95587  43.24319  1692.10  7384.87 3.96 3.56 -62.4 -0.491 18.12 18.83 02a57440o0021o
57440.228572  13.936  0.007  9671   63 o  0 193.75  59.95587  43.24319  1395.98  6809.23 4.04 3.50 -60.1 -0.512 18.36 19.25 02a57440o0036o
57440.240079  13.915  0.006  9866   63 o  0 249.56  59.95587  43.24319  2560.30  6200.48 3.84 3.39 -62.8 -0.511 18.35 19.24 02a57440o0056o
57440.257254  13.916  0.006  9855   61 o  0 268.64  59.95587  43.24319  2765.29  5923.88 4.05 3.63 -60.0 -0.496 18.27 19.20 02a57440o0088o
57441.221674  13.855  0.006 10426   63 o  0 190.38  59.95587  43.24319  1915.81  6993.01 3.60 3.46 -75.9 -0.473 18.31 19.06 02a57441o0029o
57441.232458  13.864  0.006 10337   59 o  0 195.55  59.95587  43.24319  1630.56  6418.77 3.74 3.43 -61.8 -0.483 18.49 19.40 02a57441o0048o
57441.239786  13.857  0.005 10406   56 o  0 401.69  59.95587  43.24319  2795.79  5811.31 3.58 3.31 -71.5 -0.496 18.46 19.36 02a57441o0062o
57441.258656  13.846  0.006 10505   59 o  0 309.50  59.95587  43.24319  2774.76  5926.15 3.58 3.24 -66.2 -0.503 18.41 19.25 02a57441o0098o
57448.279610  14.006  0.004  9068   40 c  0 624.91  59.95587  43.24319  3000.63  5820.23 3.97 3.61 -55.2 -0.470 19.40 21.23 02a57448o0016c
57448.301444  13.962  0.004  9445   38 c  0 854.62  59.95587  43.24319  2755.34  5923.20 4.08 3.61 -56.1 -0.467 19.35 21.19 02a57448o0060c
57449.242371  14.053  0.004  8688   38 c  0 756.05  59.95587  43.24319  1880.82  7040.38 4.09 3.62 -63.0 -0.473 19.39 21.21 02a57449o0092c
57449.257790  14.088  0.005  8406   39 c  0 696.49  59.95587  43.24319  1595.30  6467.04 4.22 3.63 -56.1 -0.479 19.38 21.23 02a57449o0123c
57449.274241  14.188  0.005  7671   36 c  0 852.83  59.95587  43.24319  2743.38  5859.98 4.18 3.71 -53.1 -0.476 19.39 21.30 02a57449o0156c
57449.291204  14.323  0.005  6772   36 c  0 746.88  59.95587  43.24319  2753.80  5919.59 4.05 3.64 -55.0 -0.471 19.41 21.32 02a57449o0190c
57454.237777  13.977  0.004  9318   39 c  0 676.36  59.95587  43.24319  2072.27  6963.01 4.41 4.02 -66.7 -0.459 19.28 21.19 02a57454o0066c
57454.251482  13.968  0.004  9393   38 c  0 783.29  59.95587  43.24319  1774.62  6389.16 4.44 3.99 -54.8 -0.474 19.31 21.24 02a57454o0093c
57454.268479  13.973  0.004  9350   39 c  0 833.96  59.95587  43.24319  2935.11  5783.09 4.08 3.72 -56.5 -0.469 19.36 21.23 02a57454o0126c
57454.285965  13.997  0.005  9142   41 c  0 457.09  59.95587  43.24319  2749.57  5923.71 4.33 3.88 -57.0 -0.460 19.26 21.14 02a57454o0160c
57458.233438  13.979  0.005  9297   43 c  0 497.63  59.95587  43.24319  1784.86  7203.58 4.38 3.87 -60.9 -0.480 19.11 20.80 02a57458o0073c
57458.248266  13.982  0.005  9275   43 c  0 405.91  59.95587  43.24319  1487.63  6628.14 4.57 4.01 -56.5 -0.461 19.16 21.00 02a57458o0101c
57458.264996  13.993  0.005  9177   43 c  0 413.11  59.95587  43.24319  2649.94  6020.67 4.57 4.13 -56.6 -0.443 19.12 20.99 02a57458o0134c
57458.282421  14.011  0.005  9029   42 c  0 444.79  59.95587  43.24319  2748.78  5924.29 4.61 4.21 -55.2 -0.421 19.09 21.04 02a57458o0168c
57466.221575  14.016  0.020  8983  180 o  0  14.67  59.95587  43.24319  1787.75  7298.21 3.98 3.60 -74.0 -0.500 17.44 17.61 02a57466o0032o
57466.227218  13.934  0.008  9693   80 o  0  98.98  59.95587  43.24319  1513.89  6718.20 3.84 3.50 -68.2 -0.511 18.15 18.90 02a57466o0043o
57466.236589  13.896  0.006 10035   62 o  0 298.80  59.95587  43.24319  2662.50  6109.37 3.70 3.31 -71.1 -0.544 18.48 19.52 02a57466o0062o
57466.250152  13.871  0.006 10271   58 o  0 327.94  59.95587  43.24319  2745.64  5914.06 3.71 3.28 -67.8 -0.565 18.47 19.54 02a57466o0089o
57470.222440  13.908  0.017  9927  164 o  0  17.32  59.95587  43.24319  2087.68  7291.05 3.86 3.58 -81.7 -0.497 17.55 17.81 02a57470o0033o
57470.225844  13.902  0.011  9977  105 o  0  61.87  59.95587  43.24319  1815.77  6712.84 3.99 3.66 -69.4 -0.494 17.84 18.42 02a57470o0040o
57470.232789  13.878  0.007 10208   74 o  0 164.07  59.95587  43.24319  2978.16  6106.61 3.87 3.46 -78.5 -0.515 18.07 18.85 02a57470o0054o
57470.245408  13.889  0.008 10102   84 o  0 110.73  59.95587  43.24319  2748.83  5918.27 3.74 3.33 -79.1 -0.538 18.00 18.57 02a57470o0078o
57482.227913  14.107  0.019  8265  156 c  0  10.60  59.95587  43.24319  1620.18  7168.55 4.13 3.83 -65.2 -0.497 17.74 18.37 02a57482o0034c
57482.233221  14.093  0.008  8368   64 c  0  93.25  59.95587  43.24319  1344.37  6590.20 4.30 3.97 -55.6 -0.483 18.36 19.44 02a57482o0045c
57482.244825  14.073  0.006  8528   48 c  0 261.18  59.95587  43.24319  2500.93  5978.76 4.00 3.73 -62.7 -0.491 18.89 20.36 02a57482o0067c
57482.258203  14.037  0.005  8813   46 c  0 363.85  59.95587  43.24319  2743.08  5917.66 3.99 3.69 -65.5 -0.491 18.86 20.35 02a57482o0094c
57597.611970  13.894  0.005 10052   51 o  0 729.89  59.95587  43.24319 10185.63  3998.22 4.09 3.40  72.7 -0.504 18.88 20.28 02a57597o0663o
57597.619892  13.887  0.005 10124   51 o  0 570.60  59.95587  43.24319   534.43  3948.10 4.08 3.56 -42.6 -0.439 18.65 19.84 02a57597o0679o
57597.624600  13.910  0.006  9911   59 o  0 352.74  59.95587  43.24319 10200.07  4037.99 3.96 3.19  74.7 -0.518 18.42 19.33 02a57597o0688o
57597.630945  13.946  0.014  9586  131 o  0  39.89  59.95587  43.24319   548.67  3988.20 4.07 3.58 -41.4 -0.445 17.53 17.62 02a57597o0701o
57597.634612  13.929  0.032  9741  311 o  0   6.43  59.95587  43.24319 10142.81  3963.12 4.25 3.58  66.9 -0.552 17.15 16.85 02a57597o0708o
57598.604863  13.793  0.004 11036   49 o  0 437.64  59.95587  43.24319  7163.47  3592.06 5.65 4.69   5.0 -0.355 18.62 20.51 02a57598o0749o
57598.617354  13.832  0.005 10650   50 o  0 512.88  59.95587  43.24319  7178.24  3632.77 4.60 4.49  15.0 -0.393 18.67 20.29 02a57598o0774o
57598.628218  13.861  0.008 10367   85 o  0  72.94  59.95587  43.24319  7122.45  3556.83 5.26 4.33   1.3 -0.370 17.77 18.69 02a57598o0796o
57598.636477  13.354  0.036 16532  594 o  0   1.93  59.95587  43.24319  7107.19  3673.71 10.85 7.52 -90.0 -0.181 16.23 16.67 02a57598o0813o
57605.611809  14.013  0.004  9015   38 c  0 729.00  59.95587  43.24319  7094.48  5435.26 4.45 4.10   3.6 -0.408 19.34 21.43 02a57605o0728c
57605.624221  14.039  0.005  8798   40 c  0 570.39  59.95587  43.24319  7107.92  5476.82 3.87 3.71  76.3 -0.412 19.09 20.72 02a57605o0752c
57605.636710  14.055  0.023  8668  197 c  0   9.43  59.95587  43.24319  7050.66  5401.40 3.81 3.59  75.7 -0.437 17.61 17.78 02a57605o0776c
57609.616587  13.999  0.005  9128   43 c  0 527.35  59.95587  43.24319  9878.05  2313.49 4.56 3.78  48.4 -0.493 19.52 21.47 02a57609o0730c
57609.624203  13.976  0.004  9321   41 c  0 636.44  59.95587  43.24319   208.11  2233.07 4.68 3.60 -28.2 -0.441 19.20 20.90 02a57609o0745c
57609.629141  14.043  0.006  8766   53 c  0 193.09  59.95587  43.24319  9906.92  2353.52 4.55 3.73  49.6 -0.500 18.84 20.13 02a57609o0754c
57609.636982  14.071  0.016  8545  139 c  0  15.30  59.95587  43.24319   237.34  2275.07 4.65 3.58 -28.1 -0.468 17.70 17.97 02a57609o0769c
57617.602200  13.878  0.007 10205   69 o  0 202.23  59.95587  43.24319 10099.17  3944.66 4.37 3.32  75.2 -0.527 18.57 20.05 02a57617o0719o
57617.613018  13.872  0.005 10265   56 o  0 460.34  59.95587  43.24319   444.68  3885.47 4.10 3.34 -42.9 -0.473 18.58 20.03 02a57617o0739o
57617.615180  13.905  0.006  9954   60 o  0 336.32  59.95587  43.24319 10112.16  3983.85 4.29 3.27  75.9 -0.528 18.65 20.16 02a57617o0743o
57617.626184  13.866  0.005 10321   51 o  0 659.97  59.95587  43.24319   458.51  3925.68 4.02 3.39 -43.2 -0.472 18.60 20.06 02a57617o0763o
57617.628404  13.871  0.006 10269   60 o  0 330.20  59.95587  43.24319 10053.66  3909.15 4.31 3.42  75.3 -0.516 18.56 20.07 02a57617o0767o
57617.639433  13.958  0.016  9481  148 o  0  28.81  59.95587  43.24319   401.13  3846.03 4.19 3.36 -43.4 -0.472 17.45 17.76 02a57617o0787o
57617.641657  13.979  0.027  9294  253 o  0  10.06  59.95587  43.24319 10038.52  4029.81 4.34 3.43  74.2 -0.573 17.18 17.28 02a57617o0791o
57621.645254  13.962  0.050  9444  476 o  0   3.80  59.95587  43.24319  9232.86  4388.88 3.99 3.05  82.9 -0.451 16.54 16.33 02a57621o0718o
57625.632404  14.047  0.005  8734   47 c  0 321.99  59.95587  43.24319  6528.07  2635.55 3.78 3.56   7.1 -0.472 18.88 20.07 02a57625o0646c
57636.562537   0.000  0.000     0    0 c  0    nan  59.95587  43.24319  8383.70  4249.72  nan 1.15  90.0 -0.459 17.88 20.09 02a57636o0613c
57636.575380  18.019  1.765   225  397 c  0   1.01  59.95587  43.24319  9076.42  4394.08 2.51 1.60 -74.5 -0.467 18.01 20.30 02a57636o0637c
57636.588289  -2.364  0.317 32044039821 10160305309 c  0   1.33  59.95587  43.24319  9020.94  4316.78 4.09 2.53  83.1 -0.797 -1.86  0.33 02a57636o0661c
57636.601222  -1.083  0.712 9841994518 7006165589 c  0   1.13  59.95587  43.24319  8990.33  4434.42 3.40 2.58  70.2 -0.492 -1.81  0.37 02a57636o0685c
57640.611381  13.992  0.004  9183   37 c  0 824.98  59.95587  43.24319  1366.31  5245.82 4.07 3.86  64.2 -0.416 19.55 21.57 02a57640o0019c
57640.624046  14.028  0.006  8885   49 c  0 321.00  59.95587  43.24319  1345.26  5206.92 4.01 3.86  54.8 -0.401 18.95 20.87 02a57640o0043c
57652.527016  13.908  0.005  9925   53 o  0 409.14  59.95587  43.24319  8752.14  3112.34 3.69 3.28  84.0 -0.462 18.66 19.73 02a57652o0591o
57652.539335  13.922  0.005  9798   51 o  0 558.20  59.95587  43.24319  8782.12  3152.55 3.60 3.15  84.7 -0.470 18.71 19.75 02a57652o0613o
57652.552052  13.915  0.005  9865   53 o  0 527.35  59.95587  43.24319  8724.19  3078.35 3.64 3.16  86.0 -0.469 18.70 19.76 02a57652o0637o
57652.564671  13.903  0.005  9973   52 o  0 506.89  59.95587  43.24319  8694.83  3196.16 3.59 3.11  85.6 -0.471 18.72 19.77 02a57652o0661o
57652.577532  13.904  0.005  9961   50 o  0 507.19  59.95587  43.24319  8736.21  3140.49 3.56 3.08  84.2 -0.474 18.73 19.76 02a57652o0685o
57660.549650  14.040  0.004  8788   36 c  0 985.45  59.95587  43.24319  9936.38  2437.74 4.05 3.59  86.1 -0.426 19.57 21.55 02a57660o0389c
57660.556034  14.059  0.004  8638   35 c  0 1315.52  59.95587  43.24319   267.18  2362.17 4.14 3.78  70.4 -0.382 19.57 21.49 02a57660o0401c
57660.559629  14.042  0.004  8775   37 c  0 979.52  59.95587  43.24319   559.02  7972.63 3.82 3.50  30.3 -0.444 19.60 21.54 02a57660o0408c
57660.568937  14.048  0.004  8726   37 c  0 892.76  59.95587  43.24319   611.93  8050.00 3.91 3.63  29.1 -0.437 19.57 21.53 02a57660o0423c
57660.569610  14.057  0.004  8657   35 c  0 1291.14  59.95587  43.24319   296.43  2402.01 4.17 3.85  68.5 -0.378 19.55 21.50 02a57660o0424c
57660.582973  14.057  0.004  8656   36 c  0 1014.86  59.95587  43.24319   638.96  7931.59 3.92 3.64  33.0 -0.432 19.58 21.54 02a57660o0447c
57660.583475  14.040  0.004  8791   36 c  0 1183.03  59.95587  43.24319 10278.21  8126.07 4.08 3.56  85.7 -0.418 19.56 21.51 02a57660o0448c
57660.597032  14.032  0.004  8855   37 c  0 1082.71  59.95587  43.24319   593.40  7987.53 3.87 3.54  30.7 -0.445 19.57 21.51 02a57660o0471c
57660.597533  14.047  0.004  8736   36 c  0 1169.16  59.95587  43.24319 10305.19  8007.04 4.11 3.83  79.8 -0.411 19.53 21.49 02a57660o0472c
57660.611341  14.038  0.004  8806   37 c  0 941.43  59.95587  43.24319 10260.51  8064.72 4.11 3.75  86.8 -0.409 19.50 21.45 02a57660o0495c
57664.574370  14.046  0.032  8742  276 c  0   5.56  59.95587  43.24319  1979.74  8569.33 3.84 3.52   8.3 -0.443 16.51 18.16 02a57664o0009c
57664.587721  14.050  0.016  8708  144 c  0  17.73  59.95587  43.24319  2029.02  8646.73 3.83 3.60  22.0 -0.446 18.52 20.28 02a57664o0034c
