###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57307.441814  12.634  0.002 32101   62 c  0 149.42  42.79829  57.41935  6564.32  5683.35 4.00 3.62 -79.8 -0.450 19.44 21.40 02a57307o0230c
57307.475453  12.622  0.002 32445   62 c  0 264.03  42.79829  57.41935  6570.51  5690.43 3.90 3.61 -86.0 -0.447 19.47 21.43 02a57307o0271c
57307.504812  12.622  0.002 32451   62 c  0 164.22  42.79829  57.41935  2580.08  6420.70 4.35 3.71 -57.8 -0.458 19.43 21.49 02a57307o0302c
57320.495387  12.262  0.002 45209   91 o  0 165.38  42.79829  57.41935  4065.02  4944.95 3.93 3.41 -62.1 -0.535 18.39 19.54 02a57320o0436o
57320.530754  12.261  0.002 45239   88 o  0 263.91  42.79829  57.41935  4055.30  4945.54 3.87 3.32 -58.7 -0.537 18.40 19.56 02a57320o0491o
57320.562983  12.247  0.002 45836   97 o  0 109.12  42.79829  57.41935  2575.85  6429.97 4.08 3.20 -64.1 -0.495 18.36 19.41 02a57320o0541o
57320.589436  12.245  0.002 45900   96 o  0 140.87  42.79829  57.41935  2572.88  6428.76 4.15 3.17 -65.1 -0.474 18.40 19.56 02a57320o0582o
57328.407460  12.241  0.002 46106   88 o  0 418.56  42.79829  57.41935  6654.51  5717.23 3.83 3.38 -74.8 -0.530 18.71 20.20 02a57328o0355o
57328.449302  12.250  0.002 45700   89 o  0 225.46  42.79829  57.41935  4133.90  4961.90 4.27 3.52 -63.4 -0.528 18.68 20.10 02a57328o0415o
57328.481857  12.219  0.002 47020   91 o  0 223.99  42.79829  57.41935  2653.99  6453.95 4.66 3.18 -71.3 -0.451 18.69 20.09 02a57328o0461o
57328.512172  12.234  0.002 46369   90 o  0 205.76  42.79829  57.41935  2650.59  6452.73 4.70 3.35 -69.1 -0.466 18.69 20.14 02a57328o0506o
57344.338032  12.649  0.002 31638   70 c  0  83.26  42.79829  57.41935  6641.37  5721.42 3.67 3.41  87.5 -0.423 18.88 20.43 02a57344o0247c
57344.361753  12.647  0.002 31705   60 c  0 125.93  42.79829  57.41935  6643.51  5726.25 3.73 3.46  86.1 -0.411 19.27 20.93 02a57344o0282c
57344.400346  12.643  0.002 31816   59 c  0 225.70  42.79829  57.41935  4128.16  4970.35 3.78 3.56 -70.0 -0.412 19.52 21.39 02a57344o0338c
57344.421884  12.657  0.002 31414   58 c  0 210.37  42.79829  57.41935  4119.19  4966.23 3.79 3.54 -68.1 -0.405 19.51 21.39 02a57344o0370c
57344.462232  12.654  0.002 31512   58 c  0 140.68  42.79829  57.41935  4105.08  4970.38 3.84 3.64 -66.2 -0.390 19.47 21.34 02a57344o0431c
57344.488823  12.651  0.002 31592   60 c  0 102.94  42.79829  57.41935  4099.43  4967.43 3.91 3.67 -61.7 -0.392 19.43 21.29 02a57344o0472c
57377.335751  12.651  0.002 31593   71 c  0  32.97  42.79829  57.41935  4480.38  4485.25 4.01 3.79 -60.8 -0.417 18.54 19.56 02a57377o0245c
57377.347462  12.655  0.002 31486   68 c  0  19.16  42.79829  57.41935  4763.58  5065.09 4.39 4.13 -69.8 -0.397 18.43 19.55 02a57377o0264c
57377.372781  12.658  0.002 31388   70 c  0  20.10  42.79829  57.41935  3888.52  3921.97 4.52 4.13 -41.5 -0.395 18.42 19.49 02a57377o0305c
57377.388875  12.653  0.002 31522   71 c  0  27.12  42.79829  57.41935  3582.97  5674.29 4.13 3.58 -68.3 -0.436 18.49 19.45 02a57377o0331c
57386.296564  12.207  0.002 47575   87 o  0 758.33  42.79829  57.41935  4423.09  4681.88 3.85 3.18 -69.0 -0.506 19.13 20.82 02a57386o0193o
57386.308984  12.203  0.002 47721   87 o  0 1034.30  42.79829  57.41935  4707.96  5260.08 3.68 3.06 -73.7 -0.485 19.18 20.88 02a57386o0213o
57386.332490  12.248  0.002 45797   86 o  0 297.99  42.79829  57.41935  3828.85  4110.29 4.02 3.39 -57.4 -0.493 19.12 20.78 02a57386o0249o
57386.350362  12.248  0.002 45797   82 o  0 147.74  42.79829  57.41935  3524.28  5854.60 4.74 3.31 -75.4 -0.454 18.85 20.44 02a57386o0275o
57387.296744  12.251  0.002 45676   69 o  0 582.56  42.79829  57.41935  4421.37  4682.01 3.57 3.35 -66.9 -0.512 19.28 20.70 02a57387o0190o
57387.309031  12.245  0.001 45915   66 o  0 795.41  42.79829  57.41935  4706.90  5261.42 3.61 3.30 -77.3 -0.497 19.30 20.74 02a57387o0210o
57387.329453  12.268  0.001 44957   67 o  0 505.84  42.79829  57.41935  3828.37  4110.08 3.67 3.40 -53.7 -0.481 19.29 20.75 02a57387o0243o
57387.352053  12.265  0.002 45076   68 o  0 376.66  42.79829  57.41935  3527.06  5858.32 3.66 3.40 -65.2 -0.473 19.28 20.76 02a57387o0276o
57396.309614  12.620  0.002 32519   62 c  0 217.70  42.79829  57.41935  4281.43  4496.33 3.95 3.72 -53.2 -0.461 19.50 21.46 02a57396o0195c
57396.321257  12.625  0.002 32353   62 c  0 212.27  42.79829  57.41935  4592.17  5083.71 3.91 3.67 -68.7 -0.460 19.48 21.41 02a57396o0214c
57396.326761  12.631  0.002 32182   62 c  0 222.35  42.79829  57.41935  3736.32  3938.61 4.03 3.72 -44.1 -0.442 19.47 21.38 02a57396o0223c
