HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2460029.99097,2023-03-26.4897400,bs,1.73,16.847,14.433,0.024,6.119,0.134,g
2460029.99219,2023-03-26.4909593,bs,1.77,16.783,14.395,0.024,6.344,0.142,g
2460032.01713,2023-03-28.5158093,bC,1.46,16.859,14.445,0.024,6.051,0.132,g
2460032.01839,2023-03-28.5170628,bC,1.46,16.843,14.427,0.024,6.157,0.134,g
2460032.01967,2023-03-28.5183528,bC,1.42,16.865,14.441,0.023,6.074,0.131,g
2460035.02736,2023-03-31.5259064,bC,1.48,16.767,14.442,0.026,6.069,0.144,g
2460035.02863,2023-03-31.5271798,bC,1.48,16.841,14.451,0.024,6.022,0.134,g
2460035.02991,2023-03-31.5284601,bC,1.45,16.802,14.469,0.025,5.920,0.139,g
2460035.05038,2023-03-31.5489187,bC,1.48,16.931,14.489,0.023,5.809,0.123,g
2460035.05164,2023-03-31.5501822,bC,1.47,16.914,14.463,0.023,5.950,0.125,g
2460035.05291,2023-03-31.5514450,bC,1.50,16.947,14.462,0.022,5.958,0.122,g
2460039.93460,2023-04-05.4329346,bC,1.41,15.856,14.419,0.058,6.200,0.330,g
2460039.93585,2023-04-05.4341961,bC,1.45,15.955,14.551,0.060,5.489,0.302,g
2460039.93711,2023-04-05.4354496,bC,1.41,15.869,14.522,0.063,5.637,0.327,g
2460040.95067,2023-04-06.4489667,bs,1.56,15.464,14.640,0.104,5.059,0.476,g
2460040.95190,2023-04-06.4502032,bs,1.61,15.624,14.937,0.117,3.847,0.410,g
2460040.95314,2023-04-06.4514398,bs,1.56,15.215,14.455,0.109,5.999,0.597,g
2460048.89143,2023-04-14.3894206,bC,1.42,16.815,14.468,0.025,5.929,0.137,g
2460048.89269,2023-04-14.3906846,bC,1.40,16.858,14.485,0.024,5.836,0.132,g
2460048.89396,2023-04-14.3919523,bC,1.43,16.813,14.426,0.024,6.160,0.138,g
2460049.82206,2023-04-15.3200288,bs,1.57,16.900,14.557,0.025,5.464,0.128,g
2460049.82455,2023-04-15.3225062,bs,1.57,16.894,14.529,0.025,5.603,0.128,g
2460049.85971,2023-04-15.3576729,bs,1.59,16.923,14.525,0.024,5.624,0.125,g
2460049.86096,2023-04-15.3589157,bs,1.57,16.881,14.512,0.025,5.695,0.129,g
2460049.86220,2023-04-15.3601506,bs,1.60,16.882,14.492,0.024,5.796,0.130,g
2460050.85034,2023-04-16.3482707,bs,1.47,16.849,14.439,0.024,6.088,0.134,g
2460050.85157,2023-04-16.3494984,bs,1.49,16.864,14.465,0.024,5.941,0.131,g
2460050.85286,2023-04-16.3507865,bs,1.58,16.892,14.478,0.024,5.873,0.128,g
2460051.85955,2023-04-17.3574473,bs,1.47,16.891,14.521,0.025,5.641,0.129,g
2460051.86078,2023-04-17.3586751,bs,1.41,16.851,14.500,0.025,5.758,0.133,g
2460051.86200,2023-04-17.3598960,bs,1.43,16.850,14.432,0.023,6.128,0.134,g
2460051.87481,2023-04-17.3727002,bs,1.47,16.852,14.440,0.024,6.079,0.133,g
2460051.87604,2023-04-17.3739328,bs,1.45,16.880,14.531,0.025,5.593,0.130,g
2460051.87727,2023-04-17.3751570,bs,1.45,16.902,14.545,0.025,5.525,0.127,g
2460055.96695,2023-04-21.4646997,bC,1.45,16.908,14.435,0.022,6.113,0.126,g
2460055.96821,2023-04-21.4659672,bC,1.49,16.840,14.439,0.024,6.085,0.134,g
2460055.96947,2023-04-21.4672252,bC,1.51,16.877,14.448,0.023,6.037,0.129,g
2460058.86253,2023-04-24.3601902,bC,1.50,16.723,14.453,0.027,6.008,0.150,g
