HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459533.70659,2021-11-15.2023685,br,1.39,15.975,13.031,0.015,22.283,0.308,g
2459533.72329,2021-11-15.2190644,br,1.40,15.931,13.024,0.015,22.424,0.317,g
2459533.72453,2021-11-15.2203052,br,1.42,15.870,13.013,0.017,22.649,0.337,g
2459533.72576,2021-11-15.2215311,br,1.40,15.855,13.025,0.016,22.388,0.340,g
2459534.91176,2021-11-16.4075221,bA,2.21,15.584,13.082,0.022,21.242,0.432,g
2459534.91302,2021-11-16.4087814,bA,2.14,15.531,13.042,0.022,22.058,0.453,g
2459534.91428,2021-11-16.4100396,bA,2.25,15.671,12.997,0.019,22.973,0.399,g
2459534.93182,2021-11-16.4275857,br,1.69,15.797,13.036,0.017,22.176,0.358,g
2459534.93308,2021-11-16.4288451,br,1.63,15.799,13.017,0.018,22.554,0.359,g
2459534.93432,2021-11-16.4300858,br,1.59,15.895,13.029,0.016,22.314,0.328,g
2459534.95226,2021-11-16.4480164,bA,2.26,15.459,13.006,0.024,22.772,0.488,g
2459534.95352,2021-11-16.4492840,bA,2.21,15.553,12.938,0.021,24.271,0.449,g
2459537.80013,2021-11-19.2958969,bq,1.58,15.147,13.056,0.032,21.767,0.641,g
2459537.80137,2021-11-19.2971365,bq,1.60,15.250,12.940,0.026,24.203,0.587,g
2459537.80261,2021-11-19.2983785,bq,1.48,15.122,13.163,0.036,19.719,0.656,g
2459538.91646,2021-11-20.4122172,bA,2.15,15.644,13.017,0.019,22.561,0.405,g
2459538.91772,2021-11-20.4134717,bA,2.13,15.546,13.003,0.021,22.854,0.447,g
2459538.91898,2021-11-20.4147311,bA,2.14,15.620,13.012,0.020,22.646,0.419,g
2459538.95105,2021-11-20.4467997,bA,2.20,15.508,13.016,0.022,22.570,0.462,g
2459538.95231,2021-11-20.4480613,bA,2.18,15.516,12.990,0.021,23.134,0.458,g
2459538.95358,2021-11-20.4493322,bA,2.20,15.593,12.982,0.020,23.283,0.426,g
2459539.82847,2021-11-21.3242383,bB,2.10,15.968,12.965,0.015,23.652,0.310,g
2459539.82974,2021-11-21.3255034,bB,2.11,16.051,13.023,0.014,22.422,0.290,g
2459539.83100,2021-11-21.3267673,bB,2.11,15.877,13.053,0.017,21.823,0.335,g
2459539.83622,2021-11-21.3319885,bA,2.13,15.845,13.081,0.017,21.262,0.338,g
