HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459585.59990,2022-01-06.1009913,br,1.40,16.996,>16.996,99.990,0.018,0.116,g
2459585.60114,2022-01-06.1022260,br,1.41,17.073,>17.073,99.990,0.169,0.108,g
2459586.60680,2022-01-07.1079623,bq,1.54,16.377,>16.377,99.990,0.154,0.204,g
2459586.60805,2022-01-07.1092055,bq,1.54,16.567,>16.567,99.990,0.369,0.172,g
2459586.60929,2022-01-07.1104473,bq,1.60,16.392,>16.392,99.990,-0.093,0.201,g
2459586.64823,2022-01-07.1494035,br,1.43,16.531,>16.531,99.990,-0.134,0.177,g
2459587.60754,2022-01-08.1087609,br,1.51,16.788,>16.788,99.990,-0.033,0.140,g
2459587.60876,2022-01-08.1100003,br,1.44,16.743,>16.743,99.990,0.131,0.146,g
2459587.61001,2022-01-08.1112406,br,1.51,16.733,>16.733,99.990,-0.334,0.147,g
2459587.61535,2022-01-08.1165839,bq,1.52,16.338,>16.338,99.990,0.274,0.212,g
2459587.61658,2022-01-08.1178103,bq,1.44,16.373,>16.373,99.990,0.011,0.205,g
2459591.59890,2022-01-12.1003905,bq,1.71,14.800,>14.800,99.990,-2.125,0.873,g
2459591.60013,2022-01-12.1016255,bq,1.56,14.811,>14.811,99.990,0.284,0.865,g
2459591.60138,2022-01-12.1028741,bq,1.55,14.805,>14.805,99.990,-2.540,0.870,g
2459591.63303,2022-01-12.1345325,br,1.40,15.393,>15.393,99.990,0.348,0.506,g
2459591.63427,2022-01-12.1357741,br,1.37,15.369,>15.369,99.990,-0.523,0.517,g
2459593.62202,2022-01-14.1236505,br,1.48,15.949,>15.949,99.990,0.148,0.303,g
2459593.62326,2022-01-14.1248916,br,1.44,16.014,>16.014,99.990,-0.568,0.285,g
2459593.62451,2022-01-14.1261391,br,1.44,16.003,>16.003,99.990,-0.390,0.288,g
2459596.61682,2022-01-17.1186446,br,1.47,15.515,>15.515,99.990,0.303,0.452,g
2459596.61806,2022-01-17.1198856,br,1.47,15.628,>15.628,99.990,0.094,0.407,g
2459596.61929,2022-01-17.1211112,br,1.44,15.442,>15.442,99.990,-0.298,0.483,g
2459597.58185,2022-01-18.0837262,bq,1.53,15.243,>15.243,99.990,-0.829,0.581,g
2459597.58309,2022-01-18.0849679,bq,1.50,15.593,>15.593,99.990,-0.131,0.421,g
2459597.58434,2022-01-18.0862238,bq,1.46,15.501,>15.501,99.990,0.478,0.458,g
2459598.61041,2022-01-19.1123579,br,1.41,15.782,>15.782,99.990,-0.198,0.353,g
2459598.61165,2022-01-19.1135916,br,1.51,15.713,>15.713,99.990,-0.584,0.377,g
2459598.61289,2022-01-19.1148324,br,1.46,15.735,>15.735,99.990,0.006,0.369,g
2459599.57764,2022-01-20.0796442,bq,1.67,16.338,>16.338,99.990,0.610,0.212,g
2459600.59005,2022-01-21.0921215,br,1.49,16.880,>16.880,99.990,0.193,0.129,g
2459600.59129,2022-01-21.0933659,br,1.47,16.941,>16.941,99.990,0.040,0.122,g
2459600.59251,2022-01-21.0945806,br,1.46,16.906,>16.906,99.990,0.150,0.125,g
2459601.57721,2022-01-22.0793467,bq,1.52,16.525,>16.525,99.990,-0.028,0.178,g
2459601.57846,2022-01-22.0805900,bq,2.23,15.357,>15.357,99.990,0.668,0.523,g
2459601.60635,2022-01-22.1084864,br,1.47,16.720,>16.720,99.990,0.262,0.149,g
2459602.57151,2022-01-23.0737065,bq,1.97,16.527,>16.527,99.990,0.009,0.178,g
2459602.57277,2022-01-23.0749613,bq,1.71,16.601,>16.601,99.990,-0.174,0.166,g
2459602.57401,2022-01-23.0762104,bq,1.63,16.575,>16.575,99.990,0.107,0.170,g
2459604.59498,2022-01-25.0972871,br,1.54,16.833,>16.833,99.990,0.212,0.134,g
2459604.59623,2022-01-25.0985407,br,1.58,16.869,>16.869,99.990,-0.158,0.130,g
2459604.59747,2022-01-25.0997804,br,1.55,17.017,>17.017,99.990,-0.033,0.113,g
2459605.58405,2022-01-26.0864262,br,1.50,17.164,>17.164,99.990,-0.285,0.099,g
2459605.58529,2022-01-26.0876668,br,1.41,17.015,>17.015,99.990,-0.030,0.114,g
2459605.58655,2022-01-26.0889089,br,1.44,16.984,>16.984,99.990,0.296,0.117,g
2459607.57811,2022-01-28.0805917,br,1.45,16.417,>16.417,99.990,-0.265,0.197,g
2459607.57936,2022-01-28.0818437,br,1.50,16.898,>16.898,99.990,0.023,0.126,g
2459607.58061,2022-01-28.0830907,br,1.43,16.344,>16.344,99.990,-0.207,0.211,g
2459609.57032,2022-01-30.0729056,br,2.01,17.043,>17.043,99.990,0.195,0.111,g
2459609.57156,2022-01-30.0741471,br,2.00,16.733,>16.733,99.990,0.444,0.147,g
2459609.57280,2022-01-30.0753821,br,1.63,17.090,>17.090,99.990,0.076,0.106,g
2459672.13886,2022-04-02.6428296,bA,2.14,15.422,>15.422,99.990,0.834,0.493,g
2459673.13538,2022-04-03.6393302,bA,2.02,15.921,>15.921,99.990,-1.109,0.311,g
2459673.13664,2022-04-03.6405957,bA,2.04,15.638,>15.638,99.990,-0.333,0.404,g
2459673.13791,2022-04-03.6418600,bA,2.08,15.547,>15.547,99.990,1.598,0.439,g
2459676.12452,2022-04-06.6284288,bA,1.70,16.284,>16.284,99.990,-0.291,0.223,g
2459676.12578,2022-04-06.6296871,bA,1.73,15.892,>15.892,99.990,0.314,0.319,g
2459676.12705,2022-04-06.6309488,bA,1.70,99.990,99.990,99.990,99.990,99.990,g
2459679.11758,2022-04-09.6214166,bA,1.98,16.829,>16.829,99.990,-0.230,0.135,g
2459679.11883,2022-04-09.6226711,bA,1.98,16.914,>16.914,99.990,-0.229,0.125,g
2459679.12009,2022-04-09.6239326,bA,1.99,16.997,>16.997,99.990,0.180,0.115,g
2459683.10716,2022-04-13.6108972,bA,1.65,16.180,>16.180,99.990,0.224,0.245,g
2459683.10844,2022-04-13.6121729,bA,1.64,16.206,>16.206,99.990,0.285,0.239,g
2459683.10971,2022-04-13.6134502,bA,1.66,16.479,>16.479,99.990,-0.075,0.186,g
2459693.96579,2022-04-24.4691782,br,1.54,16.347,>16.347,99.990,-0.622,0.210,g
2459693.96703,2022-04-24.4704155,br,1.54,16.239,>16.239,99.990,0.229,0.232,g
2459693.96829,2022-04-24.4716857,br,1.49,16.143,>16.143,99.990,-0.267,0.253,g
2459694.10681,2022-04-24.6101898,bA,2.08,16.693,>16.693,99.990,-0.108,0.153,g
2459694.10807,2022-04-24.6114589,bA,2.08,16.781,>16.781,99.990,0.189,0.141,g
2459694.10935,2022-04-24.6127288,bA,2.09,16.851,>16.851,99.990,0.152,0.132,g
2459698.06817,2022-04-28.5713885,bA,1.56,16.968,>16.968,99.990,0.122,0.118,g
2459698.06944,2022-04-28.5726546,bA,1.96,17.218,>17.218,99.990,-0.140,0.094,g
2459698.07069,2022-04-28.5739151,bA,1.62,17.031,>17.031,99.990,-0.026,0.112,g
2459708.08738,2022-05-08.5901228,bA,2.06,17.032,>17.032,99.990,0.257,0.112,g
2459708.08863,2022-05-08.5913766,bA,2.07,17.137,>17.137,99.990,0.035,0.101,g
2459710.05811,2022-05-10.5607629,bA,2.00,17.258,>17.258,99.990,0.243,0.091,g
2459710.05938,2022-05-10.5620320,bA,2.04,17.005,>17.005,99.990,-0.029,0.115,g
2459710.06064,2022-05-10.5632938,bA,2.06,17.044,>17.044,99.990,0.180,0.111,g
2459711.95448,2022-05-12.4570261,bq,1.53,15.999,>15.999,99.990,-0.140,0.289,g
2459711.95578,2022-05-12.4583253,bq,1.49,15.889,>15.889,99.990,-0.442,0.320,g
2459711.95708,2022-05-12.4596314,bq,1.57,15.732,>15.732,99.990,0.167,0.370,g
2459713.06698,2022-05-13.5694628,bA,2.03,16.141,>16.141,99.990,-0.093,0.254,g
2459713.06825,2022-05-13.5707303,bA,2.06,16.258,>16.258,99.990,-0.003,0.228,g
2459713.06952,2022-05-13.5720060,bA,2.05,16.341,>16.341,99.990,-0.129,0.211,g
2459714.89796,2022-05-15.4003524,bq,1.49,15.571,>15.571,99.990,0.234,0.429,g
2459714.89928,2022-05-15.4016645,bq,1.51,15.564,>15.564,99.990,-0.127,0.432,g
2459714.90061,2022-05-15.4029978,bq,1.43,15.494,>15.494,99.990,-1.151,0.461,g
2459717.95844,2022-05-18.4606466,bq,1.94,15.504,>15.504,99.990,-0.340,0.457,g
2459719.91005,2022-05-20.4121491,br,1.50,16.556,>16.556,99.990,-0.355,0.173,g
2459719.91140,2022-05-20.4134918,br,1.56,16.395,>16.395,99.990,0.091,0.201,g
2459719.91271,2022-05-20.4148098,br,1.51,16.403,>16.403,99.990,0.102,0.199,g
2459721.01662,2022-05-21.5186478,bA,1.98,16.333,>16.333,99.990,0.070,0.213,g
2459721.01787,2022-05-21.5199071,bA,2.00,16.422,>16.422,99.990,0.305,0.196,g
2459721.01913,2022-05-21.5211653,bA,1.99,16.411,>16.411,99.990,0.004,0.198,g
2459724.03690,2022-05-24.5387495,bA,1.99,16.886,>16.886,99.990,0.186,0.128,g
2459724.03815,2022-05-24.5400032,bA,2.00,16.854,>16.854,99.990,-0.015,0.132,g
2459724.03941,2022-05-24.5412576,bA,1.99,17.006,>17.006,99.990,0.058,0.114,g
2459724.08075,2022-05-24.5825967,bA,1.99,16.946,>16.946,99.990,0.004,0.121,g
2459724.08202,2022-05-24.5838733,bA,1.99,16.995,>16.995,99.990,0.045,0.116,g
2459724.08330,2022-05-24.5851515,bA,1.99,16.905,>16.905,99.990,0.120,0.126,g
2459726.99428,2022-05-27.4959559,bA,2.01,17.235,>17.235,99.990,0.021,0.093,g
2459726.99553,2022-05-27.4972069,bA,2.01,17.024,>17.024,99.990,-0.040,0.113,g
2459726.99681,2022-05-27.4984744,bA,2.01,17.135,>17.135,99.990,-0.036,0.102,g
2459727.02135,2022-05-27.5230114,bA,2.03,17.176,>17.176,99.990,0.002,0.098,g
2459727.02260,2022-05-27.5242662,bA,2.02,17.210,>17.210,99.990,0.166,0.095,g
2459727.02387,2022-05-27.5255282,bA,2.02,17.122,>17.122,99.990,0.357,0.103,g
2459729.85814,2022-05-30.3596303,bq,1.58,16.666,>16.666,99.990,0.099,0.157,g
2459729.85939,2022-05-30.3608806,bq,1.66,16.694,>16.694,99.990,-0.222,0.153,g
2459729.86063,2022-05-30.3621162,bq,1.59,16.815,>16.815,99.990,0.036,0.137,g
2459730.93075,2022-05-31.4321673,br,1.46,17.218,>17.218,99.990,-0.055,0.094,g
2459730.93202,2022-05-31.4334351,br,1.43,17.274,>17.274,99.990,-0.061,0.089,g
2459730.93325,2022-05-31.4346699,br,1.40,17.252,>17.252,99.990,0.160,0.091,g
2459733.92463,2022-06-03.4258486,br,1.46,17.339,>17.339,99.990,0.080,0.084,g
2459733.92586,2022-06-03.4270821,br,1.45,17.144,>17.144,99.990,-0.013,0.101,g
2459733.92711,2022-06-03.4283288,br,1.43,17.137,>17.137,99.990,0.038,0.101,g
2459734.00144,2022-06-03.5026576,bA,2.02,17.192,>17.192,99.990,-0.064,0.096,g
2459734.00269,2022-06-03.5039063,bA,2.03,17.238,>17.238,99.990,0.165,0.092,g
2459734.00396,2022-06-03.5051680,bA,2.04,17.275,>17.275,99.990,0.032,0.089,g
2459736.94515,2022-06-06.4461649,br,1.57,16.731,>16.731,99.990,0.148,0.147,g
2459736.94639,2022-06-06.4474092,br,1.54,16.726,>16.726,99.990,-0.263,0.148,g
2459736.94763,2022-06-06.4486439,br,1.51,16.643,>16.643,99.990,0.178,0.160,g
2459737.96480,2022-06-07.4657565,bA,2.01,17.070,>17.070,99.990,0.053,0.108,g
2459737.96607,2022-06-07.4670240,bA,2.00,17.069,>17.069,99.990,-0.044,0.108,g
2459737.96734,2022-06-07.4682984,bA,1.99,17.000,>17.000,99.990,-0.023,0.115,g
2459740.96169,2022-06-10.4624300,bA,2.02,16.143,>16.143,99.990,-0.166,0.254,g
2459740.96296,2022-06-10.4637055,bA,2.04,16.053,>16.053,99.990,0.024,0.275,g
2459740.96422,2022-06-10.4649616,bA,2.02,16.284,>16.284,99.990,-0.177,0.223,g
2459740.98475,2022-06-10.4854975,bA,2.02,16.157,>16.157,99.990,0.072,0.250,g
2459740.98601,2022-06-10.4867533,bA,2.02,16.174,>16.174,99.990,-0.257,0.246,g
2459740.98727,2022-06-10.4880126,bA,2.01,16.361,>16.361,99.990,-0.130,0.207,g
2459742.82682,2022-06-12.3274460,bq,1.49,15.798,>15.798,99.990,-0.840,0.348,g
2459742.82805,2022-06-12.3286821,bq,1.52,15.930,>15.930,99.990,-0.011,0.308,g
2459742.82931,2022-06-12.3299333,bq,1.59,15.788,>15.788,99.990,-0.498,0.351,g
2459742.84580,2022-06-12.3464256,bq,1.61,15.800,>15.800,99.990,0.122,0.348,g
2459742.84704,2022-06-12.3476606,bq,1.62,15.828,>15.828,99.990,-0.109,0.339,g
2459742.84827,2022-06-12.3488975,bq,1.63,15.898,>15.898,99.990,0.080,0.318,g
2459746.78176,2022-06-16.2821083,bq,1.46,15.636,>15.636,99.990,0.841,0.404,g
2459746.78300,2022-06-16.2833466,bq,1.53,15.601,>15.601,99.990,-0.345,0.417,g
2459746.78424,2022-06-16.2845905,bq,1.47,15.639,>15.639,99.990,0.163,0.403,g
2459746.85869,2022-06-16.3590317,bq,1.55,16.001,>16.001,99.990,-0.193,0.289,g
2459746.85993,2022-06-16.3602734,bq,1.53,15.937,>15.937,99.990,-0.278,0.307,g
2459746.86117,2022-06-16.3615135,bq,1.50,15.850,>15.850,99.990,-0.036,0.332,g
2459750.92946,2022-06-20.4295344,bA,1.99,16.857,>16.857,99.990,0.027,0.131,g
2459750.93071,2022-06-20.4307879,bA,2.00,16.666,>16.666,99.990,-0.058,0.157,g
2459750.93199,2022-06-20.4320627,bA,2.01,16.919,>16.919,99.990,-0.197,0.124,g
2459750.96412,2022-06-20.4641848,bA,1.99,16.623,>16.623,99.990,0.046,0.163,g
2459750.96538,2022-06-20.4654478,bA,2.00,16.588,>16.588,99.990,0.142,0.168,g
2459750.96664,2022-06-20.4667011,bA,2.00,16.789,>16.789,99.990,0.020,0.140,g
2459753.80954,2022-06-23.3094011,bq,1.45,16.695,>16.695,99.990,0.220,0.152,g
