HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459493.85339,2021-10-06.3504659,bB,2.11,15.751,11.183,0.005,122.204,0.562,g
2459493.85465,2021-10-06.3517334,bB,2.10,15.752,11.180,0.005,122.479,0.546,g
2459493.85592,2021-10-06.3529937,bB,2.12,15.738,11.166,0.004,123.967,0.525,g
2459494.76798,2021-10-07.2651210,br,1.42,15.373,11.163,0.006,124.336,0.696,g
2459494.76922,2021-10-07.2663579,br,1.42,15.382,11.179,0.006,122.592,0.665,g
2459494.77046,2021-10-07.2675983,br,1.44,15.361,11.159,0.006,124.810,0.696,g
2459496.82576,2021-10-09.3230442,bB,2.40,15.705,11.182,0.005,122.284,0.552,g
2459496.82702,2021-10-09.3243026,bB,2.34,15.714,11.184,0.005,122.036,0.549,g
2459496.82828,2021-10-09.3255667,bB,2.41,15.693,11.180,0.005,122.574,0.549,g
2459496.85263,2021-10-09.3499239,bB,2.28,15.721,11.178,0.005,122.692,0.573,g
2459496.85391,2021-10-09.3511924,bB,2.33,15.713,11.177,0.005,122.836,0.580,g
2459496.85516,2021-10-09.3524527,bB,2.25,15.723,11.179,0.005,122.610,0.554,g
2459497.72484,2021-10-10.2221883,br,1.42,15.399,11.146,0.006,126.392,0.680,g
2459497.72608,2021-10-10.2234326,br,1.42,15.401,11.150,0.006,125.935,0.667,g
2459497.72732,2021-10-10.2246663,br,1.43,15.423,11.197,0.005,120.492,0.637,g
2459497.73240,2021-10-10.2297453,br,1.46,15.379,11.119,0.006,129.541,0.720,g
2459497.73363,2021-10-10.2309767,br,1.37,15.370,11.111,0.005,130.569,0.673,g
2459497.73486,2021-10-10.2322069,br,1.43,15.415,11.189,0.006,121.536,0.682,g
2459499.32052,2021-10-11.8179789,bn,1.62,15.187,11.151,0.006,125.699,0.721,g
2459499.32176,2021-10-11.8192196,bn,1.56,15.157,11.148,0.006,126.132,0.752,g
2459499.32299,2021-10-11.8204483,bn,1.53,15.148,11.146,0.006,126.392,0.794,g
2459500.57733,2021-10-13.0748734,bj,1.58,15.167,11.186,0.007,121.833,0.752,g
2459500.57856,2021-10-13.0761107,bj,1.62,15.139,11.159,0.007,124.834,0.755,g
2459500.57979,2021-10-13.0773396,bj,1.58,15.141,11.159,0.007,124.883,0.759,g
2459502.50664,2021-10-15.0043332,bF,1.53,15.243,11.174,0.007,123.177,0.765,g
2459502.50795,2021-10-15.0056403,bF,1.51,15.250,11.188,0.007,121.573,0.752,g
2459502.50925,2021-10-15.0069393,bF,1.46,15.249,11.172,0.006,123.315,0.742,g
2459503.72394,2021-10-16.2217231,br,1.39,15.355,11.212,0.007,118.877,0.707,g
2459503.72518,2021-10-16.2229627,br,1.43,15.268,11.149,0.007,126.085,0.752,g
2459503.72643,2021-10-16.2242142,br,1.44,15.344,11.182,0.007,122.274,0.722,g
2459503.73527,2021-10-16.2330579,br,1.46,15.330,11.199,0.007,120.400,0.711,g
2459503.73652,2021-10-16.2343008,br,1.56,15.281,11.151,0.007,125.748,0.760,g
2459503.73777,2021-10-16.2355508,br,1.60,15.294,11.183,0.007,122.071,0.753,g
2459507.33535,2021-10-19.8334098,bn,1.47,15.009,11.147,0.008,126.350,0.896,g
2459507.33660,2021-10-19.8346633,bn,1.49,15.007,11.155,0.008,125.332,0.966,g
2459507.33786,2021-10-19.8359212,bn,1.58,14.985,11.187,0.008,121.607,0.843,g
2459509.80060,2021-10-22.2988555,bB,2.20,15.645,11.165,0.006,124.242,0.617,g
2459509.80185,2021-10-22.3001079,bB,2.19,15.658,11.159,0.005,124.917,0.640,g
2459509.80312,2021-10-22.3013641,bB,2.25,15.613,11.115,0.005,130.020,0.654,g
2459510.59432,2021-10-23.0926364,bF,1.59,15.178,11.191,0.007,121.252,0.762,g
2459510.59561,2021-10-23.0939314,bF,1.53,15.190,11.217,0.008,118.343,0.792,g
2459510.59691,2021-10-23.0952271,bF,1.56,15.198,11.196,0.006,120.590,0.745,g
2459511.80501,2021-10-24.3034140,bB,2.12,15.710,11.177,0.005,122.796,0.586,g
2459511.80626,2021-10-24.3046673,bB,2.11,15.706,11.179,0.005,122.478,0.537,g
2459511.80752,2021-10-24.3059299,bB,2.11,15.707,11.166,0.005,124.035,0.556,g
2459513.79502,2021-10-26.2935849,bB,2.09,15.744,11.170,0.005,123.621,0.575,g
2459513.79628,2021-10-26.2948547,bB,2.09,15.752,11.175,0.005,123.053,0.568,g
2459513.79756,2021-10-26.2961307,bB,2.10,15.745,11.168,0.004,123.788,0.514,g
2459515.80867,2021-10-28.3073945,bB,2.09,15.964,11.659,0.006,78.839,0.409,g
2459515.80991,2021-10-28.3086467,bB,2.07,15.970,11.657,0.006,78.889,0.406,g
2459515.81116,2021-10-28.3098991,bB,2.10,15.970,11.667,0.006,78.233,0.403,g
2459516.70655,2021-10-29.2053518,br,1.41,15.398,11.185,0.006,121.956,0.672,g
2459516.70779,2021-10-29.2066008,br,1.49,15.387,11.166,0.006,124.021,0.691,g
2459516.70904,2021-10-29.2078436,br,1.47,15.404,11.196,0.007,120.769,0.681,g
2459517.54359,2021-10-30.0424684,bj,1.56,15.140,11.158,0.007,124.965,0.742,g
2459517.54483,2021-10-30.0437101,bj,1.53,15.147,11.172,0.007,123.337,0.755,g
2459517.54607,2021-10-30.0449508,bj,1.58,15.139,11.164,0.007,124.303,0.764,g
2459520.77630,2021-11-02.2754491,bB,2.19,15.754,11.179,0.005,122.556,0.568,g
2459520.77756,2021-11-02.2767131,bB,2.20,15.745,11.169,0.005,123.743,0.561,g
2459520.77883,2021-11-02.2779678,bB,2.19,15.748,11.180,0.005,122.543,0.551,g
2459523.27294,2021-11-04.7722961,bn,1.46,15.219,11.168,0.007,123.866,0.772,g
2459523.27418,2021-11-04.7735309,bn,1.46,15.196,11.138,0.006,127.371,0.745,g
2459523.27541,2021-11-04.7747712,bn,1.46,15.204,11.141,0.006,126.984,0.739,g
2459524.67500,2021-11-06.1744652,br,1.40,15.395,11.171,0.006,123.559,0.706,g
2459524.67624,2021-11-06.1757082,br,1.39,15.381,11.149,0.005,126.036,0.642,g
