###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57396.326761  12.569  0.002 34080   64 c  0 228.11  38.32342  59.75294  8188.13  8528.57 4.04 3.61  83.8 -0.442 19.47 21.38 02a57396o0223c
57396.337230  12.513  0.002 35871   70 c  0 227.48  38.32342  59.75294  4532.94   413.94 4.79 3.69  -8.0 -0.526 19.45 21.36 02a57396o0240c
57396.337844  12.597  0.002 33211   63 c  0 123.70  38.32342  59.75294  7941.67 10290.24 4.08 3.98  80.4 -0.408 19.48 21.42 02a57396o0241c
57409.272767  12.000  0.002 57546  103 o  0 106.74  38.32342  59.75294  8274.98  9874.65 3.70 3.44  80.7 -0.485 18.43 19.27 02a57409o0138o
57409.298400  12.005  0.002 57303  107 o  0  64.61  38.32342  59.75294  7989.28  9274.96 3.68 3.40  85.4 -0.487 18.39 19.22 02a57409o0180o
57409.310761  15.340  0.840  2655 2230 o  0   0.11  38.32342  59.75294    31.54  8749.80 4.05 3.47 -64.3 -0.499 18.35 19.17 02a57409o0200o
57409.311375  11.978  0.002 58732  112 o  0 165.26  38.32342  59.75294  5515.15   567.43 4.20 3.33  -5.9 -0.553 18.34 19.12 02a57409o0201o
57409.313823  12.072  0.003 53848  138 o  0 142.72  38.32342  59.75294  8813.23 10501.42 3.69 3.65 -77.9 -0.457 18.38 19.17 02a57409o0205o
57409.329126  12.000  0.002 57541  114 o  0  43.71  38.32342  59.75294  9087.91  8754.08 3.73 3.32 -89.6 -0.484 18.34 19.13 02a57409o0230o
57413.260147  11.981  0.002 58557  100 o  0 209.15  38.32342  59.75294  8086.88 10068.61 3.75 3.45  79.2 -0.522 18.71 19.89 02a57413o0080o
57413.273075  11.986  0.002 58290   99 o  0 256.74  38.32342  59.75294  7797.20  9483.74 3.71 3.27  86.4 -0.519 18.65 19.75 02a57413o0101o
57413.274304  11.898  0.002 63192  116 o  0 307.73  38.32342  59.75294  4673.38   197.04 4.79 3.10  -2.9 -0.560 18.60 19.67 02a57413o0103o
57413.296406  11.999  0.002 57576  104 o  0 148.39  38.32342  59.75294  8893.41  8938.19 3.75 3.18  88.2 -0.523 18.58 19.61 02a57413o0139o
