HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458247.91692,2018-05-09.4186181,br,1.49,16.568,13.645,0.015,12.655,0.175,g
2458247.91814,2018-05-09.4198370,br,1.49,16.533,13.643,0.015,12.675,0.181,g
2458247.91935,2018-05-09.4210547,br,1.48,16.553,13.662,0.015,12.449,0.177,g
2458248.92118,2018-05-10.4228152,br,1.46,16.591,13.667,0.015,12.402,0.171,g
2458248.92362,2018-05-10.4252538,br,1.46,16.630,13.686,0.015,12.174,0.168,g
2458249.91466,2018-05-11.4162322,br,1.46,16.006,13.704,0.027,11.980,0.299,g
2458249.91588,2018-05-11.4174513,br,1.54,99.990,99.990,99.990,99.990,99.990,g
2458250.91879,2018-05-12.4202924,br,1.49,99.990,99.990,99.990,99.990,99.990,g
2458253.90122,2018-05-15.4025332,br,1.44,16.616,13.647,0.014,12.627,0.168,g
2458253.90244,2018-05-15.4037493,br,1.48,99.990,99.990,99.990,99.990,99.990,g
2458253.90365,2018-05-15.4049671,br,1.48,99.990,99.990,99.990,99.990,99.990,g
2458255.03939,2018-05-16.5406300,bb,2.39,16.172,13.221,0.015,19.746,0.270,V
2458255.04067,2018-05-16.5419140,bb,2.36,16.152,13.219,0.016,19.772,0.276,V
2458255.04195,2018-05-16.5431880,bb,2.38,16.175,13.245,0.016,19.331,0.269,V
2458256.89559,2018-05-18.3967018,br,1.56,16.565,13.623,0.014,12.908,0.175,g
2458256.89680,2018-05-18.3979099,br,1.50,16.561,13.655,0.015,12.532,0.175,g
2458256.89801,2018-05-18.3991164,br,1.54,16.572,13.645,0.015,12.648,0.174,g
2458258.03746,2018-05-19.5384978,bb,2.04,16.204,13.192,0.015,20.278,0.264,V
2458258.03874,2018-05-19.5397780,bb,2.07,16.165,13.203,0.014,20.065,0.271,V
2458258.04001,2018-05-19.5410475,bb,2.05,16.184,13.189,0.014,20.326,0.265,V
2458259.05166,2018-05-20.5526318,bb,2.22,16.208,13.206,0.015,20.020,0.263,V
2458259.05294,2018-05-20.5539057,bb,2.18,16.240,13.208,0.014,19.990,0.255,V
2458259.05422,2018-05-20.5551806,bb,2.18,16.195,13.205,0.014,20.057,0.264,V
2458261.11328,2018-05-22.6141064,bb,1.75,14.883,13.259,0.050,19.062,0.864,V
2458261.12157,2018-05-22.6223966,bb,2.00,15.020,13.143,0.040,21.212,0.764,V
2458261.88386,2018-05-23.3846255,br,1.39,99.990,99.990,99.990,99.990,99.990,g
2458261.88508,2018-05-23.3858571,br,1.45,16.536,13.632,0.015,12.799,0.181,g
2458261.88631,2018-05-23.3870758,br,1.47,99.990,99.990,99.990,99.990,99.990,g
2458262.87635,2018-05-24.3770577,br,1.44,99.990,99.990,99.990,99.990,99.990,g
2458262.87758,2018-05-24.3782765,br,1.44,99.990,99.990,99.990,99.990,99.990,g
2458262.87881,2018-05-24.3795087,br,1.46,99.990,99.990,99.990,99.990,99.990,g
2458264.86406,2018-05-26.3646216,br,1.59,16.385,13.694,0.018,12.094,0.207,g
2458264.86527,2018-05-26.3658424,br,1.57,16.339,13.621,0.018,12.940,0.216,g
2458264.86649,2018-05-26.3670585,br,1.59,16.305,13.674,0.019,12.313,0.222,g
2458265.86687,2018-05-27.3673730,br,1.99,14.742,13.612,0.078,13.036,0.927,g
2458265.86810,2018-05-27.3685997,br,1.71,14.628,13.746,0.098,11.531,1.031,g
2458265.86933,2018-05-27.3698321,br,2.04,14.492,13.619,0.099,12.953,1.167,g
2458266.91999,2018-05-28.4204114,br,1.42,16.337,14.293,0.033,6.965,0.213,g
