HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457206.96624,2015-07-03.4627847,bd,1.65,15.230,11.765,0.011,75.460,0.728,V
2457206.96778,2015-07-03.4643335,bd,1.68,15.285,11.767,0.011,75.386,0.703,V
2457208.82845,2015-07-05.3249560,bd,1.62,15.321,11.772,0.010,75.016,0.711,V
2457208.83045,2015-07-05.3269657,bd,1.66,15.329,11.775,0.010,74.744,0.700,V
2457211.99270,2015-07-08.4891420,bd,1.61,15.392,11.765,0.010,75.455,0.686,V
2457211.99492,2015-07-08.4913589,bd,1.55,15.351,11.775,0.010,74.840,0.697,V
2457215.92863,2015-07-12.4250045,bd,1.59,15.437,11.772,0.009,74.995,0.669,V
2457215.93016,2015-07-12.4265315,bd,1.58,15.397,11.784,0.011,74.207,0.742,V
2457221.97881,2015-07-18.4751140,bd,1.64,15.390,11.770,0.010,75.142,0.680,V
2457221.98035,2015-07-18.4766606,bd,1.71,15.404,11.771,0.010,75.097,0.673,V
2457227.92242,2015-07-24.4186907,bd,1.59,15.435,11.783,0.011,74.209,0.744,V
2457227.92385,2015-07-24.4201172,bd,1.65,15.423,11.776,0.010,74.718,0.687,V
2457231.99041,2015-07-28.4866797,bd,1.71,15.294,11.780,0.011,74.502,0.716,V
2457231.99184,2015-07-28.4881105,bd,2.00,15.294,11.771,0.011,75.030,0.711,V
2457232.84290,2015-07-29.3391760,bd,1.51,14.289,11.753,0.023,76.263,1.650,V
2457232.84435,2015-07-29.3406303,bd,1.49,15.232,11.757,0.011,76.004,0.747,V
2457237.99174,2015-08-03.4880425,bd,1.66,15.348,11.777,0.010,74.656,0.698,V
2457237.99317,2015-08-03.4894697,bd,1.64,15.364,11.770,0.010,75.158,0.683,V
2457240.94937,2015-08-06.4456967,bd,1.57,15.415,11.771,0.010,75.084,0.660,V
2457240.95076,2015-08-06.4470945,bd,1.61,15.399,11.764,0.010,75.620,0.679,V
2457242.84978,2015-08-08.3461375,bd,1.59,15.464,11.765,0.009,75.455,0.651,V
2457242.85120,2015-08-08.3475528,bd,1.62,15.406,11.775,0.010,74.838,0.658,V
2457245.92954,2015-08-11.4259399,bd,1.54,15.401,11.768,0.010,75.324,0.664,V
2457245.93097,2015-08-11.4273721,bd,1.53,15.450,11.789,0.009,73.839,0.663,V
2457248.88911,2015-08-14.3855678,bd,1.58,15.523,12.000,0.011,60.828,0.631,V
2457248.89054,2015-08-14.3869965,bd,1.60,15.474,11.985,0.012,61.653,0.657,V
2457262.90778,2015-08-28.4046076,bd,1.59,15.289,11.771,0.011,75.062,0.724,V
2457262.90904,2015-08-28.4058627,bd,1.54,15.276,11.767,0.011,75.337,0.757,V
2457262.91029,2015-08-28.4071164,bd,1.70,15.233,11.774,0.011,74.851,0.745,V
2457270.90539,2015-09-05.4025093,bd,1.63,15.154,11.768,0.012,75.274,0.781,V
2457270.90629,2015-09-05.4034079,bd,1.55,15.171,11.757,0.011,76.104,0.766,V
2457274.86340,2015-09-09.3606813,bd,1.56,15.426,11.783,0.011,74.265,0.708,V
2457274.86466,2015-09-09.3619439,bd,1.62,15.434,11.794,0.012,73.489,0.765,V
2457274.86592,2015-09-09.3632003,bd,1.70,15.418,11.801,0.012,73.060,0.783,V
2457277.76070,2015-09-12.2581121,bd,1.58,15.431,11.785,0.010,74.160,0.662,V
2457277.76195,2015-09-12.2593637,bd,1.44,15.458,11.784,0.010,74.207,0.713,V
2457277.76321,2015-09-12.2606156,bd,1.47,15.423,11.782,0.010,74.308,0.684,V
2457285.78533,2015-09-20.2831300,bd,1.58,15.218,11.787,0.012,73.999,0.847,V
2457285.78625,2015-09-20.2840483,bd,1.53,15.191,11.770,0.011,75.105,0.797,V
2457285.78718,2015-09-20.2849754,bd,1.70,15.203,11.781,0.012,74.375,0.814,V
2457300.79640,2015-10-05.2950334,bd,1.51,15.418,11.785,0.010,74.100,0.684,V
2457300.79769,2015-10-05.2963142,bd,1.59,15.368,11.791,0.011,73.656,0.716,V
2457300.79894,2015-10-05.2975701,bd,1.60,15.376,11.774,0.011,74.870,0.721,V
2457303.77265,2015-10-08.2714625,bd,1.61,15.399,11.812,0.012,72.301,0.768,V
2457303.77390,2015-10-08.2727121,bd,1.65,15.407,11.783,0.011,74.270,0.727,V
2457303.77516,2015-10-08.2739656,bd,1.65,15.383,11.783,0.010,74.258,0.704,V
2457305.79464,2015-10-10.2935722,bd,1.59,15.426,11.788,0.011,73.869,0.762,V
2457305.79589,2015-10-10.2948254,bd,1.54,15.466,11.791,0.010,73.693,0.705,V
2457305.79713,2015-10-10.2960650,bd,1.65,15.385,11.799,0.011,73.217,0.740,V
2457309.79195,2015-10-14.2911296,bd,1.53,15.414,11.776,0.011,74.724,0.720,V
2457309.79320,2015-10-14.2923813,bd,1.58,15.384,11.781,0.011,74.383,0.739,V
2457309.79445,2015-10-14.2936321,bd,1.58,15.399,11.786,0.011,74.054,0.736,V
2457315.75412,2015-10-20.2536754,bd,1.65,15.354,11.775,0.010,74.796,0.707,V
2457315.75537,2015-10-20.2549238,bd,1.51,15.280,11.786,0.012,74.080,0.794,V
2457315.75663,2015-10-20.2561775,bd,1.52,15.220,11.781,0.011,74.374,0.768,V
2457320.75548,2015-10-25.2553557,bd,1.63,15.385,11.980,0.011,61.916,0.674,V
2457320.75673,2015-10-25.2565974,bd,1.63,15.366,12.003,0.012,60.609,0.673,V
2457320.75799,2015-10-25.2578548,bd,1.60,15.390,11.978,0.011,62.049,0.651,V
2457327.70270,2015-11-01.2030097,bd,1.79,15.373,11.830,0.011,71.103,0.719,V
2457327.70395,2015-11-01.2042543,bd,1.86,15.382,11.828,0.011,71.196,0.733,V
2457327.70520,2015-11-01.2055042,bd,1.74,15.421,11.834,0.011,70.819,0.709,V
2457333.70808,2015-11-07.2087658,bd,1.52,15.439,11.786,0.012,74.049,0.761,V
