###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57392.366598  15.165  0.039  3119  123 c  0   8.34 103.65382  17.86447  8360.39  4791.20 4.55 4.31  66.6 -0.368 19.28 21.34 02a57392o0185c
57392.383550  15.123  0.039  3242  125 c  0   7.31 103.65382  17.86447  8063.23  4204.63 4.27 4.16  88.1 -0.387 19.35 21.38 02a57392o0210c
57392.400853  14.738  0.007  4623   31 c  0 180.96 103.65382  17.86447  8903.00  5356.56 4.29 3.92  75.3 -0.411 19.41 21.43 02a57392o0237c
57392.417452  14.970  0.029  3734  109 c  0   2.36 103.65382  17.86447  9185.38  3598.57 3.84 3.59  66.0 -0.430 19.54 21.49 02a57392o0263c
57400.429622  14.774  0.007  4471   30 c  0  35.90 103.65382  17.86447  2275.98  5706.68 4.05 3.63 -53.8 -0.419 19.59 21.56 02a57400o0370c
57400.447269  14.776  0.007  4462   30 c  0  30.78 103.65382  17.86447  2582.90  6295.26 3.85 3.58 -59.9 -0.422 19.61 21.56 02a57400o0395c
57400.468796  14.787  0.007  4417   29 c  0  36.75 103.65382  17.86447  1757.22  5146.98 4.05 3.65 -44.6 -0.427 19.60 21.54 02a57400o0424c
57400.494409  14.767  0.007  4500   30 c  0  25.25 103.65382  17.86447  1501.22  6910.50 3.90 3.63 -60.0 -0.436 19.58 21.53 02a57400o0462c
57401.429835  14.859  0.007  4135   30 c  0  24.92 103.65382  17.86447  2384.57  5828.52 3.96 3.60 -58.0 -0.416 19.62 21.59 02a57401o0385c
57401.494179  14.836  0.007  4221   30 c  0  27.85 103.65382  17.86447  1483.27  7004.68 4.04 3.68 -60.2 -0.431 19.55 21.51 02a57401o0476c
57415.407369  14.724  0.008  4680   39 o  0  15.70 103.65382  17.86447  1522.16  6493.18 3.91 3.43 -64.8 -0.462 18.92 20.24 02a57415o0345o
57415.427576  14.746  0.009  4588   40 o  0  15.92 103.65382  17.86447  1224.45  5915.40 4.00 3.43 -59.9 -0.471 18.94 20.26 02a57415o0375o
57415.457005  14.731  0.009  4651   40 o  0  12.89 103.65382  17.86447  2391.92  5329.33 3.69 3.32 -60.5 -0.468 18.94 20.22 02a57415o0420o
57415.461835  14.727  0.008  4668   38 o  0  18.77 103.65382  17.86447  2650.94  5252.76 3.71 3.34 -60.4 -0.453 18.92 20.19 02a57415o0427o
57420.399976  14.760  0.006  4529   28 c  0  45.46 103.65382  17.86447  1949.95  6295.69 4.09 3.73 -62.8 -0.401 19.59 21.62 02a57420o0271c
57420.418901  14.764  0.007  4514   29 c  0  37.56 103.65382  17.86447  1653.72  5716.55 4.22 3.84 -57.1 -0.399 19.55 21.58 02a57420o0299c
57420.439480  14.790  0.006  4404   28 c  0  43.90 103.65382  17.86447  2821.12  5132.45 4.04 3.73 -55.2 -0.382 19.57 21.58 02a57420o0330c
57420.458660  14.793  0.006  4395   28 c  0  51.11 103.65382  17.86447  2654.13  5249.74 4.20 3.88 -57.0 -0.373 19.50 21.53 02a57420o0360c
57427.384606  14.799  0.007  4371   31 c  0  22.33 103.65382  17.86447  1760.24  6242.39 4.05 3.65 -54.9 -0.429 19.53 21.45 02a57427o0310c
57427.403624  14.795  0.007  4386   30 c  0  26.94 103.65382  17.86447  1520.25  5669.61 4.08 3.61 -50.8 -0.439 19.55 21.46 02a57427o0339c
57427.414946  14.797  0.007  4376   29 c  0  32.37 103.65382  17.86447  2705.34  5089.86 3.90 3.57 -45.9 -0.418 19.56 21.48 02a57427o0356c
