###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57363.417923  13.949  0.005  9562   44 o  0  14.69  72.34071  34.06658  2826.71  2547.99 4.23 3.50 -30.9 -0.464 19.29 20.93 02a57363o0303o
57363.449014  13.926  0.004  9767   42 o  0  16.58  72.34071  34.06658  8434.50  8558.13 3.57 3.25  87.1 -0.470 19.25 20.91 02a57363o0342o
57363.454958  13.927  0.004  9758   40 o  0  17.19  72.34071  34.06658  7576.88  7370.76 3.66 3.24  87.2 -0.463 19.21 20.89 02a57363o0349o
57363.476255  13.918  0.004  9832   43 o  0  13.03  72.34071  34.06658  7282.67  9123.06 3.54 3.32 -87.8 -0.459 19.26 20.92 02a57363o0377o
57364.395062  13.959  0.005  9467   44 o  0  12.68  72.34071  34.06658  2813.08  2543.86 4.19 3.53 -28.6 -0.458 19.22 20.79 02a57364o0344o
57364.397439  13.952  0.005  9530   45 o  0  14.30  72.34071  34.06658  2531.97  1950.78 4.34 3.48 -27.2 -0.486 19.23 20.80 02a57364o0347o
57364.420097  13.962  0.004  9442   42 o  0  12.66  72.34071  34.06658  3391.73  3136.32 3.94 3.50 -29.3 -0.445 19.22 20.81 02a57364o0378o
57364.433176  13.940  0.005  9637   45 o  0  15.88  72.34071  34.06658  3692.56  1386.70 4.19 3.34 -17.7 -0.510 19.27 20.82 02a57364o0396o
57365.417435  13.963  0.005  9437   45 o  0  11.72  72.34071  34.06658  2828.70  2543.56 4.33 3.59 -28.2 -0.471 19.20 20.79 02a57365o0388o
57365.442331  13.955  0.005  9509   44 o  0  10.31  72.34071  34.06658  8433.69  8554.34 3.62 3.28 -88.8 -0.469 19.16 20.75 02a57365o0423o
57365.453587  13.962  0.005  9443   43 o  0  15.88  72.34071  34.06658  7574.56  7372.58 3.58 3.16  87.4 -0.475 19.17 20.76 02a57365o0439o
57365.478210  14.045  0.005  8754   41 o  0  12.36  72.34071  34.06658  7277.23  9126.64 3.58 3.34 -85.7 -0.461 19.14 20.70 02a57365o0472o
57384.366403  13.968  0.005  9390   51 o  0   5.74  72.34071  34.06658  2755.59  2546.81 4.22 3.68 -33.8 -0.445 18.68 19.87 02a57384o0255o
57384.369221  13.948  0.006  9570   56 o  0   5.37  72.34071  34.06658  2466.61  1951.49 4.23 3.52 -31.2 -0.489 18.71 19.87 02a57384o0259o
57384.401705  13.955  0.005  9506   48 o  0   9.38  72.34071  34.06658  7432.49  7584.71 3.57 3.26  84.4 -0.454 18.66 19.73 02a57384o0306o
57384.412463  13.947  0.005  9575   50 o  0   5.71  72.34071  34.06658  7137.75  9327.98 3.67 3.62  79.7 -0.429 18.63 19.74 02a57384o0323o
57385.368609  13.948  0.005  9570   49 o  0   8.67  72.34071  34.06658  8008.66  8174.41 3.63 3.27  87.3 -0.484 18.77 20.00 02a57385o0297o
57385.372323  13.953  0.005  9525   52 o  0   8.30  72.34071  34.06658  2469.05  1954.12 4.53 3.54 -28.8 -0.516 18.83 20.09 02a57385o0302o
57385.403559  13.942  0.005  9624   47 o  0  10.02  72.34071  34.06658  7432.13  7580.99 3.59 3.12  84.9 -0.484 18.81 20.06 02a57385o0326o
57385.431196  13.933  0.005  9705   46 o  0   8.96  72.34071  34.06658  7130.24  9329.74 3.52 3.31 -88.4 -0.466 18.84 20.10 02a57385o0364o
57395.364315  14.619  0.006  5158   29 c  0   6.53  72.34071  34.06658  7849.99  8009.20 3.82 3.57  83.5 -0.414 19.56 21.49 02a57395o0275c
57395.386385  14.635  0.006  5081   29 c  0   8.28  72.34071  34.06658  8183.12  8616.17 3.76 3.60  82.4 -0.418 19.58 21.49 02a57395o0308c
57395.399741  14.565  0.005  5419   30 c  0   7.95  72.34071  34.06658  7361.02  7439.76 3.72 3.48  84.3 -0.415 19.58 21.49 02a57395o0327c
57395.410094  14.627  0.006  5121   30 c  0   6.21  72.34071  34.06658  7085.90  9193.97 3.76 3.67  70.1 -0.408 19.56 21.48 02a57395o0341c
57402.371010  14.620  0.006  5152   30 c  0   5.30  72.34071  34.06658  7982.92  8176.00 3.86 3.51 -88.8 -0.438 19.49 21.35 02a57402o0292c
57402.377042  14.633  0.006  5092   30 c  0   5.16  72.34071  34.06658  8273.14  8768.97 3.98 3.67 -89.1 -0.416 19.50 21.42 02a57402o0301c
57402.392105  14.627  0.006  5119   30 c  0   4.81  72.34071  34.06658  7413.88  7584.99 3.91 3.55  88.7 -0.428 19.52 21.48 02a57402o0324c
57402.416350  14.630  0.006  5104   29 c  0   4.35  72.34071  34.06658  7120.72  9336.13 3.92 3.75  80.5 -0.414 19.51 21.45 02a57402o0361c
57403.370238  14.608  0.006  5208   32 c  0   5.92  72.34071  34.06658  7985.66  8175.53 3.95 3.54 -86.8 -0.449 19.26 20.92 02a57403o0292c
57403.376248  14.607  0.006  5212   32 c  0   3.61  72.34071  34.06658  8275.05  8768.27 3.95 3.57  86.6 -0.440 19.28 20.94 02a57403o0301c
57403.390628  14.601  0.006  5241   31 c  0   6.56  72.34071  34.06658  7416.17  7584.37 3.84 3.45 -89.7 -0.450 19.29 20.98 02a57403o0323c
57403.417187  14.609  0.006  5204   32 c  0   4.63  72.34071  34.06658  7118.92  9333.15 3.83 3.63  84.4 -0.426 19.47 21.30 02a57403o0361c
57415.345835  13.945  0.005  9593   46 o  0   9.03  72.34071  34.06658  7153.62  8820.66 3.62 3.37  88.5 -0.475 18.81 20.07 02a57415o0253o
57415.360343  13.935  0.005  9684   48 o  0   8.61  72.34071  34.06658  6862.84  8233.94 3.63 3.26 -88.4 -0.481 18.81 20.09 02a57415o0275o
57415.386240  13.945  0.005  9592   50 o  0   8.81  72.34071  34.06658  8001.62  7676.38 3.61 3.13  89.7 -0.477 18.81 20.06 02a57415o0314o
57415.406465  13.938  0.005  9654   49 o  0   8.74  72.34071  34.06658  8259.87  7605.81 3.62 3.06  89.0 -0.474 18.79 20.04 02a57415o0344o
57420.340822  14.643  0.006  5042   30 c  0   4.08  72.34071  34.06658  7571.55  8615.89 4.10 3.85  81.8 -0.392 19.49 21.47 02a57420o0179c
57420.359819  14.625  0.006  5127   31 c  0   5.43  72.34071  34.06658  7280.33  8027.50 3.91 3.63  82.9 -0.409 19.51 21.45 02a57420o0209c
57420.378386  14.650  0.006  5010   30 c  0   3.85  72.34071  34.06658  8437.52  7472.24 4.03 3.69  84.6 -0.408 19.48 21.45 02a57420o0238c
57420.397790  14.636  0.006  5079   30 c  0   2.66  72.34071  34.06658  8258.46  7605.90 4.20 3.86  83.7 -0.397 19.42 21.41 02a57420o0268c
57427.325514  14.654  0.006  4992   31 c  0   5.06  72.34071  34.06658  7392.45  8547.43 3.87 3.54  86.5 -0.447 19.43 21.25 02a57427o0216c
57427.344737  14.638  0.006  5066   31 c  0   5.28  72.34071  34.06658  7135.42  7972.50 3.85 3.56  86.5 -0.438 19.42 21.26 02a57427o0247c
57427.363672  14.656  0.006  4985   30 c  0   6.57  72.34071  34.06658  8323.43  7427.83 3.80 3.40  84.9 -0.439 19.42 21.23 02a57427o0277c
57427.382496  14.648  0.006  5019   30 c  0   5.48  72.34071  34.06658  8308.11  7501.38 3.81 3.40  83.4 -0.445 19.40 21.19 02a57427o0307c
57432.310574  14.629  0.007  5108   35 c  0   4.33  72.34071  34.06658  7519.78  8557.10 3.90 3.56  81.7 -0.456 19.12 20.62 02a57432o0201c
57432.329760  14.617  0.007  5166   36 c  0   3.41  72.34071  34.06658  7262.94  7982.96 3.93 3.56  84.4 -0.445 19.08 20.58 02a57432o0232c
57432.348768  14.628  0.007  5116   34 c  0   4.82  72.34071  34.06658  8435.42  7459.18 3.92 3.36  84.6 -0.436 19.08 20.55 02a57432o0262c
57432.367811  14.638  0.007  5066   34 c  0   4.29  72.34071  34.06658  8276.73  7488.43 3.94 3.33  85.7 -0.442 19.06 20.53 02a57432o0292c
