HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457046.75358,2015-01-24.2480127,ba,2.03,16.034,13.075,0.014,22.572,0.306,V
2457046.75497,2015-01-24.2494059,ba,2.02,16.088,13.031,0.013,23.534,0.290,V
2457046.75637,2015-01-24.2508005,ba,2.02,16.037,13.065,0.014,22.797,0.302,V
2457046.75777,2015-01-24.2521943,ba,2.04,16.049,13.072,0.014,22.655,0.300,V
2457046.75916,2015-01-24.2535859,ba,2.02,16.050,13.031,0.014,23.518,0.302,V
2457046.76055,2015-01-24.2549795,ba,2.02,16.069,13.047,0.013,23.183,0.295,V
2457046.76194,2015-01-24.2563688,ba,2.01,16.000,13.054,0.014,23.025,0.315,V
2457046.76328,2015-01-24.2577111,ba,2.00,16.060,13.064,0.014,22.819,0.296,V
2457046.76467,2015-01-24.2590962,ba,2.02,16.054,13.029,0.013,23.562,0.300,V
2457046.76613,2015-01-24.2605587,ba,2.01,16.071,13.056,0.014,22.983,0.292,V
2457046.76752,2015-01-24.2619505,ba,2.01,16.079,13.044,0.013,23.238,0.292,V
2457046.76892,2015-01-24.2633462,ba,2.02,16.060,13.038,0.013,23.373,0.296,V
2457046.77032,2015-01-24.2647495,ba,2.02,16.096,13.031,0.013,23.528,0.290,V
2457046.77455,2015-01-24.2689812,ba,2.01,16.098,13.056,0.013,22.986,0.288,V
2457046.77596,2015-01-24.2703863,ba,2.01,16.097,13.028,0.013,23.593,0.288,V
2457046.78022,2015-01-24.2746488,ba,2.04,16.076,13.024,0.013,23.675,0.295,V
2457046.78162,2015-01-24.2760493,ba,2.02,16.042,13.059,0.014,22.918,0.304,V
2457046.79729,2015-01-24.2917146,ba,1.71,16.116,13.058,0.014,22.949,0.285,V
2457046.79868,2015-01-24.2931056,ba,1.98,16.125,13.030,0.013,23.542,0.281,V
2457046.81461,2015-01-24.3090401,ba,1.65,16.165,13.081,0.013,22.485,0.271,V
2457046.81601,2015-01-24.3104339,ba,1.73,16.113,13.051,0.013,23.097,0.285,V
2457046.83444,2015-01-24.3288696,ba,1.67,16.186,13.054,0.013,23.035,0.268,V
2457046.83595,2015-01-24.3303844,ba,1.95,16.113,13.044,0.013,23.246,0.285,V
2457046.88929,2015-01-24.3837219,ba,1.70,16.170,13.060,0.012,22.908,0.270,V
2457046.89077,2015-01-24.3852006,ba,1.74,16.135,13.056,0.013,22.984,0.278,V
2457046.92065,2015-01-24.4150807,ba,1.65,16.155,13.031,0.012,23.522,0.274,V
2457046.92204,2015-01-24.4164717,ba,1.70,16.165,13.071,0.013,22.679,0.268,V
2457046.92628,2015-01-24.4207074,ba,1.75,16.147,13.064,0.013,22.819,0.275,V
2457046.92767,2015-01-24.4221006,ba,1.71,16.152,13.057,0.013,22.972,0.274,V
2457046.93464,2015-01-24.4290746,ba,1.71,16.089,13.037,0.013,23.404,0.290,V
2457046.93612,2015-01-24.4305481,ba,1.72,16.151,13.044,0.012,23.253,0.274,V
2457046.94044,2015-01-24.4348681,ba,1.67,16.157,13.046,0.012,23.194,0.273,V
2457046.94184,2015-01-24.4362722,ba,1.60,16.170,13.056,0.012,22.985,0.270,V
2457046.94622,2015-01-24.4406496,ba,1.70,16.211,13.058,0.012,22.963,0.260,V
2457046.94762,2015-01-24.4420520,ba,1.63,16.156,13.027,0.012,23.616,0.275,V
2457046.95188,2015-01-24.4463123,ba,1.68,16.157,13.033,0.012,23.493,0.271,V
2457046.95330,2015-01-24.4477364,ba,1.61,16.145,13.027,0.012,23.617,0.276,V
2457046.95476,2015-01-24.4491856,ba,1.64,16.178,13.043,0.012,23.282,0.267,V
2457046.95615,2015-01-24.4505775,ba,1.67,16.188,13.039,0.013,23.346,0.270,V
2457046.96056,2015-01-24.4549861,ba,1.68,16.181,13.041,0.012,23.307,0.266,V
2457046.96201,2015-01-24.4564431,ba,1.65,16.179,13.042,0.012,23.290,0.268,V
2457046.96343,2015-01-24.4578578,ba,1.66,16.196,13.046,0.013,23.184,0.266,V
2457046.96482,2015-01-24.4592525,ba,1.66,16.167,13.038,0.012,23.378,0.270,V
2457046.96627,2015-01-24.4607039,ba,1.72,16.172,13.044,0.013,23.249,0.272,V
2457046.96768,2015-01-24.4621150,ba,1.74,16.159,13.057,0.013,22.966,0.272,V
2457046.96907,2015-01-24.4635049,ba,1.69,16.170,13.053,0.012,23.067,0.270,V
2457046.97047,2015-01-24.4648962,ba,1.66,16.190,13.055,0.012,23.013,0.263,V
2457046.97186,2015-01-24.4662946,ba,1.67,16.161,13.052,0.012,23.066,0.272,V
2457046.97328,2015-01-24.4677100,ba,1.70,16.141,13.073,0.014,22.633,0.279,V
2457046.97461,2015-01-24.4690476,ba,1.69,16.177,13.063,0.012,22.822,0.269,V
2457046.97600,2015-01-24.4704353,ba,1.63,16.177,13.041,0.012,23.308,0.268,V
2457046.97738,2015-01-24.4718159,ba,1.72,16.171,13.083,0.013,22.426,0.269,V
2457046.97879,2015-01-24.4732230,ba,1.70,16.168,13.052,0.012,23.084,0.271,V
2457046.98014,2015-01-24.4745714,ba,1.72,16.184,13.048,0.012,23.168,0.266,V
2457046.98153,2015-01-24.4759604,ba,1.74,16.157,13.063,0.013,22.852,0.272,V
2457046.98576,2015-01-24.4802081,ba,1.62,16.140,13.040,0.013,23.333,0.276,V
2457046.98717,2015-01-24.4815981,ba,1.63,16.186,13.044,0.012,23.238,0.268,V
2457046.98857,2015-01-24.4830050,ba,1.68,16.155,13.061,0.013,22.888,0.275,V
2457046.98997,2015-01-24.4844068,ba,1.66,16.142,13.032,0.012,23.518,0.274,V
2457046.99131,2015-01-24.4857517,ba,1.67,16.191,13.054,0.012,23.035,0.264,V
2457046.99270,2015-01-24.4871361,ba,1.71,16.113,13.038,0.013,23.371,0.284,V
2457047.71540,2015-01-25.2098577,ba,2.09,15.396,13.008,0.024,24.040,0.540,V
2457047.71680,2015-01-25.2112484,ba,2.07,15.631,13.046,0.020,23.201,0.436,V
2457047.72414,2015-01-25.2185936,ba,2.05,15.897,13.055,0.017,22.998,0.347,V
2457047.72554,2015-01-25.2199864,ba,2.04,15.914,13.060,0.016,22.897,0.338,V
2457047.73000,2015-01-25.2244562,ba,2.03,15.969,13.061,0.015,22.889,0.324,V
2457047.73140,2015-01-25.2258486,ba,2.02,15.940,13.058,0.015,22.947,0.332,V
2457047.73273,2015-01-25.2271761,ba,2.00,15.979,13.047,0.015,23.167,0.321,V
2457047.73413,2015-01-25.2285754,ba,2.01,15.962,13.046,0.015,23.200,0.324,V
2457047.73551,2015-01-25.2299594,ba,1.99,16.027,13.016,0.014,23.840,0.307,V
2457047.73691,2015-01-25.2313584,ba,1.98,16.035,13.054,0.014,23.021,0.306,V
2457047.73830,2015-01-25.2327548,ba,1.99,16.028,13.015,0.014,23.865,0.307,V
2457047.73969,2015-01-25.2341443,ba,1.77,16.048,13.045,0.015,23.220,0.305,V
2457047.74399,2015-01-25.2384405,ba,1.99,16.055,13.045,0.014,23.231,0.301,V
2457047.74538,2015-01-25.2398326,ba,1.81,16.016,13.038,0.014,23.372,0.311,V
2457047.74677,2015-01-25.2412305,ba,1.97,16.040,13.042,0.015,23.270,0.306,V
2457047.74820,2015-01-25.2426483,ba,1.98,16.000,13.031,0.014,23.517,0.313,V
2457047.75260,2015-01-25.2470489,ba,1.97,16.111,13.063,0.014,22.845,0.290,V
2457047.75399,2015-01-25.2484405,ba,1.74,16.048,13.065,0.014,22.792,0.302,V
2457047.75544,2015-01-25.2498932,ba,1.96,16.046,13.036,0.015,23.409,0.304,V
2457047.75685,2015-01-25.2512969,ba,1.68,16.059,13.033,0.013,23.487,0.299,V
2457047.76122,2015-01-25.2556732,ba,1.77,16.045,13.022,0.013,23.711,0.301,V
2457047.76261,2015-01-25.2570672,ba,1.69,16.071,13.063,0.015,22.834,0.297,V
2457047.76396,2015-01-25.2584197,ba,1.71,16.044,13.054,0.014,23.045,0.304,V
2457047.76543,2015-01-25.2598855,ba,1.77,16.099,13.018,0.013,23.791,0.289,V
2457047.76968,2015-01-25.2641355,ba,1.71,16.093,13.051,0.013,23.100,0.290,V
2457047.77116,2015-01-25.2656172,ba,1.59,16.062,13.047,0.015,23.193,0.303,V
2457047.77541,2015-01-25.2698650,ba,1.65,16.165,13.044,0.012,23.246,0.272,V
2457047.77680,2015-01-25.2712572,ba,1.70,16.120,13.031,0.014,23.527,0.286,V
2457047.78403,2015-01-25.2784879,ba,1.67,16.090,13.055,0.013,23.023,0.290,V
2457047.78544,2015-01-25.2798894,ba,1.69,16.051,13.063,0.015,22.837,0.303,V
2457047.78979,2015-01-25.2842420,ba,1.67,16.058,13.058,0.015,22.942,0.300,V
2457047.79120,2015-01-25.2856490,ba,1.70,16.105,13.045,0.014,23.217,0.291,V
2457047.79546,2015-01-25.2899181,ba,1.66,16.095,13.032,0.013,23.497,0.290,V
2457047.79686,2015-01-25.2913180,ba,1.65,16.166,13.039,0.013,23.335,0.274,V
2457047.80123,2015-01-25.2956917,ba,1.61,16.112,13.044,0.014,23.242,0.286,V
2457047.80263,2015-01-25.2970791,ba,1.66,16.050,13.044,0.014,23.254,0.302,V
2457047.81552,2015-01-25.3099787,ba,1.66,16.089,13.045,0.013,23.223,0.291,V
2457047.81692,2015-01-25.3113689,ba,1.65,16.107,13.059,0.013,22.925,0.284,V
2457047.89304,2015-01-25.3874881,ba,1.59,16.152,13.026,0.013,23.626,0.277,V
2457047.89445,2015-01-25.3889072,ba,1.67,16.168,13.025,0.012,23.665,0.271,V
2457047.91568,2015-01-25.4101310,ba,1.65,16.149,13.062,0.013,22.844,0.274,V
2457047.91721,2015-01-25.4116677,ba,1.63,16.215,13.029,0.012,23.555,0.261,V
2457047.92205,2015-01-25.4165028,ba,1.67,16.153,13.026,0.012,23.631,0.275,V
2457047.92389,2015-01-25.4183457,ba,1.68,16.185,13.074,0.012,22.615,0.264,V
2457047.92838,2015-01-25.4228307,ba,1.73,16.187,13.029,0.012,23.557,0.265,V
2457047.93013,2015-01-25.4245826,ba,1.64,16.208,13.034,0.012,23.441,0.259,V
2457047.93362,2015-01-25.4280790,ba,1.96,16.173,13.044,0.012,23.237,0.270,V
2457047.93505,2015-01-25.4295052,ba,1.74,16.148,13.038,0.012,23.378,0.276,V
2457047.94121,2015-01-25.4356677,ba,1.68,16.161,13.030,0.012,23.544,0.271,V
2457047.94261,2015-01-25.4370673,ba,1.69,16.167,13.044,0.012,23.262,0.272,V
2457047.94776,2015-01-25.4422120,ba,1.71,16.205,13.022,0.012,23.713,0.262,V
2457047.94926,2015-01-25.4437200,ba,1.69,16.157,13.052,0.012,23.080,0.272,V
2457047.95356,2015-01-25.4480160,ba,1.67,16.182,13.048,0.012,23.164,0.267,V
2457047.95510,2015-01-25.4495553,ba,1.62,16.183,13.043,0.012,23.278,0.265,V
2457047.96252,2015-01-25.4569758,ba,1.65,16.201,13.025,0.012,23.650,0.262,V
2457047.96391,2015-01-25.4583674,ba,1.67,16.191,13.070,0.012,22.696,0.264,V
2457047.96533,2015-01-25.4597817,ba,1.65,16.182,13.032,0.013,23.499,0.269,V
2457047.96675,2015-01-25.4612097,ba,1.69,16.221,13.058,0.012,22.955,0.257,V
2457047.97103,2015-01-25.4654876,ba,1.65,16.197,13.038,0.012,23.359,0.264,V
2457047.97250,2015-01-25.4669556,ba,1.55,16.158,13.059,0.013,22.943,0.273,V
2457047.97467,2015-01-25.4691309,ba,1.62,16.181,13.046,0.012,23.204,0.267,V
2457047.97607,2015-01-25.4705293,ba,1.58,16.189,13.040,0.012,23.327,0.265,V
2457047.97746,2015-01-25.4719209,ba,1.61,16.174,13.026,0.012,23.642,0.270,V
2457047.97890,2015-01-25.4733616,ba,1.65,16.176,13.049,0.012,23.140,0.267,V
2457047.98031,2015-01-25.4747677,ba,1.58,16.191,13.049,0.012,23.138,0.265,V
2457047.98171,2015-01-25.4761670,ba,1.65,16.188,13.042,0.012,23.304,0.265,V
2457047.98309,2015-01-25.4775471,ba,1.64,16.209,13.059,0.012,22.920,0.260,V
2457047.98449,2015-01-25.4789462,ba,1.69,16.168,13.049,0.012,23.147,0.270,V
2457047.98588,2015-01-25.4803378,ba,1.64,16.185,13.046,0.012,23.200,0.265,V
2457047.98727,2015-01-25.4817282,ba,1.66,16.180,13.052,0.012,23.067,0.267,V
2457047.99158,2015-01-25.4860407,ba,1.63,16.165,13.043,0.012,23.274,0.269,V
2457047.99298,2015-01-25.4874523,ba,1.66,16.153,13.055,0.013,23.015,0.271,V
2457047.99726,2015-01-25.4917239,ba,1.63,16.199,13.053,0.012,23.037,0.263,V
2457047.99866,2015-01-25.4931222,ba,1.60,16.150,13.064,0.013,22.819,0.276,V
2457048.72641,2015-01-26.2208905,ba,2.09,15.965,13.031,0.015,23.526,0.325,V
2457048.72787,2015-01-26.2223428,ba,2.06,15.895,13.070,0.016,22.696,0.343,V
2457048.72944,2015-01-26.2239212,ba,2.08,15.921,13.040,0.015,23.327,0.337,V
2457048.73085,2015-01-26.2253230,ba,2.07,15.909,13.067,0.016,22.757,0.340,V
2457048.74033,2015-01-26.2348061,ba,2.05,15.949,13.074,0.016,22.600,0.331,V
2457048.74200,2015-01-26.2364776,ba,2.05,15.954,13.039,0.016,23.357,0.331,V
2457048.75288,2015-01-26.2473622,ba,2.03,16.037,13.070,0.014,22.707,0.302,V
2457048.75436,2015-01-26.2488424,ba,2.03,15.977,13.043,0.015,23.267,0.323,V
2457048.75577,2015-01-26.2502497,ba,2.04,15.994,13.058,0.015,22.960,0.315,V
2457048.75719,2015-01-26.2516668,ba,2.04,15.958,13.058,0.015,22.953,0.324,V
2457048.75856,2015-01-26.2530380,ba,2.05,15.989,13.031,0.014,23.516,0.317,V
2457048.76008,2015-01-26.2545583,ba,2.04,15.965,13.058,0.015,22.957,0.325,V
2457048.76168,2015-01-26.2561644,ba,2.05,15.988,13.048,0.015,23.158,0.318,V
2457048.76330,2015-01-26.2577763,ba,2.08,15.970,13.034,0.015,23.461,0.323,V
2457048.76770,2015-01-26.2621812,ba,2.09,15.958,13.029,0.015,23.567,0.327,V
2457048.76932,2015-01-26.2637947,ba,2.08,16.053,13.017,0.014,23.841,0.305,V
2457048.77158,2015-01-26.2660585,ba,2.06,16.064,13.023,0.013,23.698,0.297,V
2457048.77306,2015-01-26.2675373,ba,2.09,16.043,13.020,0.014,23.764,0.306,V
2457048.77452,2015-01-26.2689966,ba,2.07,15.987,13.057,0.015,22.979,0.318,V
2457048.77631,2015-01-26.2707872,ba,2.07,16.028,13.021,0.014,23.757,0.308,V
2457048.77803,2015-01-26.2725024,ba,2.05,16.029,13.065,0.015,22.797,0.310,V
2457048.77958,2015-01-26.2740568,ba,2.03,16.019,13.051,0.015,23.098,0.311,V
2457048.78428,2015-01-26.2787642,ba,2.02,16.107,13.003,0.013,24.159,0.288,V
2457048.78569,2015-01-26.2801700,ba,2.03,99.990,99.990,99.990,99.990,99.990,V
2457048.78708,2015-01-26.2815618,ba,2.04,16.045,13.026,0.015,23.650,0.306,V
2457048.78848,2015-01-26.2829556,ba,2.02,16.041,13.039,0.014,23.338,0.303,V
2457048.79279,2015-01-26.2872734,ba,2.04,16.016,13.050,0.014,23.108,0.309,V
2457048.79428,2015-01-26.2887671,ba,2.04,16.070,13.039,0.014,23.349,0.298,V
2457048.79897,2015-01-26.2934513,ba,2.02,16.041,13.052,0.014,23.078,0.304,V
2457048.80045,2015-01-26.2949312,ba,2.02,16.076,13.049,0.014,23.122,0.297,V
2457048.80518,2015-01-26.2996565,ba,2.08,16.065,13.051,0.014,23.094,0.296,V
2457048.80675,2015-01-26.3012273,ba,2.04,16.117,13.061,0.013,22.895,0.283,V
2457048.81135,2015-01-26.3058334,ba,2.04,16.103,13.050,0.013,23.124,0.287,V
2457048.81275,2015-01-26.3072271,ba,2.01,16.032,13.028,0.014,23.583,0.303,V
2457048.82741,2015-01-26.3218925,ba,2.01,16.033,13.045,0.014,23.235,0.303,V
2457048.82887,2015-01-26.3233531,ba,2.03,16.051,13.048,0.014,23.151,0.299,V
2457048.83063,2015-01-26.3251067,ba,2.01,16.063,13.051,0.014,23.089,0.299,V
2457048.83268,2015-01-26.3271645,ba,2.04,16.100,13.034,0.013,23.453,0.289,V
2457049.87873,2015-01-27.3732398,ba,2.02,16.116,13.029,0.013,23.569,0.284,V
2457049.88016,2015-01-27.3746644,ba,2.03,16.108,13.048,0.013,23.172,0.286,V
2457060.94632,2015-02-07.4412464,ba,2.04,15.911,13.018,0.015,23.809,0.339,V
2457060.94776,2015-02-07.4426822,ba,2.06,15.879,13.048,0.016,23.155,0.348,V
2457061.96313,2015-02-08.4580951,ba,1.75,15.930,13.303,0.019,18.316,0.330,V
2457069.85438,2015-02-16.3497650,ba,1.66,16.128,13.053,0.013,23.048,0.280,V
2457069.85596,2015-02-16.3513452,ba,1.63,16.179,13.057,0.012,22.984,0.267,V
2457070.84602,2015-02-17.3414560,ba,1.63,16.115,13.043,0.013,23.256,0.285,V
2457070.84741,2015-02-17.3428494,ba,1.63,16.130,13.037,0.013,23.393,0.279,V
2457071.77716,2015-02-18.2726484,ba,1.72,16.140,13.010,0.012,24.000,0.276,V
2457071.77862,2015-02-18.2741129,ba,1.67,16.129,13.033,0.013,23.482,0.280,V
2457073.73054,2015-02-20.2261495,ba,1.76,16.023,13.046,0.014,23.216,0.309,V
2457073.73193,2015-02-20.2275435,ba,1.98,16.057,13.028,0.013,23.587,0.299,V
2457076.73383,2015-02-23.2296415,ba,2.06,16.023,13.029,0.014,23.557,0.307,V
2457076.73524,2015-02-23.2310425,ba,2.04,16.117,13.063,0.014,22.839,0.285,V
2457077.72240,2015-02-24.2182656,ba,2.08,15.615,13.501,0.031,15.257,0.439,V
2457077.72383,2015-02-24.2196965,ba,2.07,15.906,13.544,0.025,14.664,0.337,V
2457088.88449,2015-03-07.3811855,ba,1.92,13.967,13.037,0.094,23.389,1.998,V
2457088.88591,2015-03-07.3826292,ba,1.58,99.990,99.990,99.990,99.990,99.990,V
2457095.84264,2015-03-14.3398917,ba,2.01,16.089,13.040,0.013,23.328,0.290,V
2457095.84422,2015-03-14.3414834,ba,2.02,16.123,13.067,0.013,22.759,0.281,V
2457096.85289,2015-03-15.3502328,ba,1.72,16.096,13.047,0.013,23.195,0.287,V
2457096.85444,2015-03-15.3517870,ba,1.63,16.075,13.047,0.013,23.179,0.294,V
2457097.78759,2015-03-16.2850175,ba,1.67,16.112,13.030,0.014,23.555,0.287,V
2457097.78913,2015-03-16.2865612,ba,1.56,16.144,13.032,0.012,23.519,0.275,V
2457098.83723,2015-03-17.3347417,ba,1.58,16.147,13.063,0.013,22.842,0.276,V
2457098.83884,2015-03-17.3363560,ba,1.60,16.130,13.040,0.013,23.324,0.279,V
2457099.84332,2015-03-18.3413309,ba,1.67,16.102,13.040,0.013,23.349,0.288,V
2457099.84494,2015-03-18.3429483,ba,1.62,16.146,13.058,0.013,22.955,0.276,V
2457100.78472,2015-03-19.2828026,ba,1.65,16.136,13.045,0.013,23.225,0.278,V
2457100.78633,2015-03-19.2844153,ba,1.68,16.134,13.061,0.013,22.902,0.278,V
2457101.75526,2015-03-20.2534451,ba,1.69,16.118,13.035,0.013,23.434,0.282,V
2457101.75684,2015-03-20.2550214,ba,1.69,16.087,13.036,0.013,23.408,0.292,V
2457103.77903,2015-03-22.2773908,ba,1.75,16.109,13.047,0.013,23.171,0.287,V
2457103.78065,2015-03-22.2790134,ba,1.70,16.093,13.053,0.013,23.056,0.288,V
2457104.76934,2015-03-23.2677901,ba,1.74,16.151,13.040,0.012,23.313,0.275,V
2457104.77093,2015-03-23.2693803,ba,1.80,16.166,13.052,0.013,23.076,0.273,V
2457105.72996,2015-03-24.2285012,ba,2.29,15.907,13.044,0.016,23.229,0.341,V
2457105.73150,2015-03-24.2300381,ba,2.27,15.941,13.056,0.015,22.988,0.330,V
2457105.75898,2015-03-24.2575208,ba,2.07,16.095,13.052,0.013,23.067,0.288,V
2457105.76059,2015-03-24.2591355,ba,2.06,16.105,13.056,0.013,22.981,0.285,V
2457112.72502,2015-03-31.2241949,ba,2.02,15.508,13.091,0.024,22.275,0.485,V
2457112.72654,2015-03-31.2257127,ba,2.01,15.575,13.027,0.021,23.597,0.457,V
2457112.75044,2015-03-31.2496195,ba,1.64,15.802,13.063,0.018,22.832,0.375,V
2457112.75198,2015-03-31.2511599,ba,1.63,15.746,13.055,0.018,23.022,0.394,V
2457115.72488,2015-04-03.2243358,ba,1.72,15.362,13.072,0.027,22.654,0.556,V
2457115.72647,2015-04-03.2259233,ba,1.65,15.479,13.012,0.023,23.954,0.502,V
2457116.74994,2015-04-04.2494862,ba,1.62,15.600,13.059,0.021,22.927,0.449,V
2457116.75152,2015-04-04.2510644,ba,1.68,15.578,13.059,0.022,22.916,0.456,V
2457121.74538,2015-04-09.2453936,ba,1.66,16.117,13.031,0.014,23.537,0.287,V
2457121.74693,2015-04-09.2469471,ba,1.67,16.046,13.054,0.014,23.028,0.299,V
2457122.75803,2015-04-10.2581390,ba,1.65,16.155,13.047,0.012,23.180,0.274,V
2457122.75957,2015-04-10.2596798,ba,1.59,16.064,13.042,0.013,23.301,0.296,V
2457124.76894,2015-04-12.2692359,ba,1.76,16.058,13.011,0.013,23.957,0.300,V
2457124.77055,2015-04-12.2708476,ba,1.68,16.109,13.046,0.013,23.195,0.284,V
