###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57403.241335  17.484  0.113   368   42 c  0   1.00 335.99587  25.74046  2490.71  2761.58 4.43 3.67 -28.6 -0.544 18.62 19.89 02a57403o0086c
57524.614426  16.327  0.028  1070   30 o  0   1.33 335.99587  25.74046  6555.58  9123.39 3.96 3.67  89.7 -0.451 18.74 20.13 02a57524o0629o
57542.576968  17.499  0.046   363   17 c  0   1.21 335.99587  25.74046  6852.09  9543.09 3.91 3.68 -87.3 -0.428 19.64 21.68 02a57542o0661c
57542.596629  17.409  0.042   395   17 c  0   1.44 335.99587  25.74046  6866.90  9586.59 3.96 3.69  89.3 -0.421 19.64 21.69 02a57542o0692c
57542.613878  17.492  0.069   366   25 c  0   1.03 335.99587  25.74046  6814.98  9510.86 3.87 3.64  89.4 -0.430 19.06 20.54 02a57542o0718c
57546.590646  17.846  0.075   264   20 c  0   1.12 335.99587  25.74046  6993.53   240.03 4.64 3.56   7.6 -0.469 19.73 21.77 02a57546o0548c
57546.602816  17.687  0.057   306   17 c  0   1.12 335.99587  25.74046  8981.32  9911.52 4.00 3.59  81.1 -0.429 19.68 21.66 02a57546o0568c
57546.619911  17.781  0.206   280   58 c  0   1.22 335.99587  25.74046  8964.74 10030.38 3.98 3.63  81.8 -0.431 18.38 19.23 02a57546o0594c
57550.549654  18.373  0.352   162   57 c  0   1.01 335.99587  25.74046  7835.72  9115.57 3.76 3.45  78.2 -0.458 18.19 20.06 02a57550o0503c
57550.566520  18.245  0.099   183   18 c  0   0.99 335.99587  25.74046  7849.95  9155.50 4.27 3.85  86.2 -0.412 19.49 21.61 02a57550o0526c
57550.582405  18.405  0.192   158   30 c  0   1.01 335.99587  25.74046  7775.86  9081.87 3.83 3.45  76.1 -0.455 18.88 20.89 02a57550o0549c
57565.537314   3.350  2.988 -79397271018 237257727511 o  0   1.10 335.99587  25.74046  7246.18  8787.73 3.60 3.28  85.5 -0.532 -4.38 -4.19 02a57565o0548o
57565.555084 -15.560  3.363 -2168 7292 o  0   0.95 335.99587  25.74046  7261.60  8828.71 3.65 3.15  87.8 -0.517 14.40 14.48 02a57565o0582o
57565.575565  17.856 10.779   262 2820 o  0   0.94 335.99587  25.74046  7189.98  8754.89 3.64 3.20  86.8 -0.504 15.27 15.40 02a57565o0617o
57565.586405 -14.207  1.322 -7535 9958 o  0   0.73 335.99587  25.74046  7168.84  8869.75 3.64 3.19  87.2 -0.600 14.27 14.32 02a57565o0636o
57565.593616 -14.246  0.993 -7269 7219 o  0   1.15 335.99587  25.74046  3358.87  1737.48 4.39 3.28  -8.9 -0.494 13.06 13.05 02a57565o0647o
57569.537758  17.170  0.547   492  269 o  0   1.19 335.99587  25.74046  7104.55  9017.21 3.67 3.35  87.1 -0.473 16.21 17.66 02a57569o0567o
57569.548655 -18.901  0.810  -100   81 o  0   1.34 335.99587  25.74046  7114.29  9061.12 3.66 3.26  86.2 -0.482 17.28 18.64 02a57569o0588o
57569.576403  16.644  1.868   799 1493 o  0   1.02 335.99587  25.74046  7060.83  8984.01 3.62 3.25  88.4 -0.498 14.50 15.78 02a57569o0634o
57569.585101 -18.110  6.857  -207 1420 o  0   1.13 335.99587  25.74046  7026.59  9103.27 3.52 3.24  79.9 -0.502 13.96 15.04 02a57569o0646o
57569.605816 -14.429  0.806 -6143 4951 o  0   0.91 335.99587  25.74046  3491.55  1502.23 5.60 3.52  -3.4 -0.451 13.72 15.02 02a57569o0673o
57573.538802  17.815  0.057   272   15 c  0   1.29 335.99587  25.74046  9563.38  9575.94 4.10 3.71  83.7 -0.408 19.76 21.90 02a57573o0067c
