hjd,camera,mag,mag_err,flux,flux_err
2458178.60474,be,14.549,0.0305,5.811,0.163
2457112.74061,ba,14.639,0.03198,5.378,0.158
2457827.8143,ba,14.667,0.03251,5.242,0.157
2457021.83126,ba,14.604,0.03135,5.554,0.16
2457362.01332,ba,14.635,0.03191,5.399,0.158
2457076.73934,ba,14.615,0.03154,5.499,0.16
2457073.73595,ba,14.65,0.03219,5.324,0.158
2458077.11061,ba,14.652,0.03222,5.317,0.158
2458212.56247,be,14.662,0.03253,5.238,0.157
2457807.87014,ba,14.666,0.03247,5.254,0.157
2457704.08029,ba,14.634,0.03189,5.405,0.159
2457390.88686,ba,14.684,0.03283,5.162,0.156
2457475.5654,be,14.618,0.03171,5.454,0.159
2458181.5598,be,14.685,0.03297,5.129,0.156
2457100.79418,ba,14.638,0.03196,5.383,0.158
2457317.01087,ba,14.624,0.03171,5.453,0.159
2457981.92613,be,14.62,0.03174,5.446,0.159
2457844.51894,be,14.609,0.03154,5.498,0.16
2458211.56648,be,14.708,0.03343,5.018,0.154
2457097.73904,ba,14.678,0.03272,5.19,0.156
2457388.93532,ba,14.641,0.03202,5.371,0.158
2458023.82558,be,14.735,0.03398,4.898,0.153
2457291.06827,ba,14.604,0.03135,5.557,0.16
2457714.75366,be,14.633,0.03198,5.381,0.158
2457784.93632,ba,14.68,0.03276,5.182,0.156
2458247.47429,be,14.666,0.0326,5.22,0.157
2457364.97236,ba,14.618,0.0316,5.482,0.159
2457471.60896,be,14.594,0.03127,5.577,0.16
2457727.63926,be,14.653,0.03235,5.282,0.157
2458071.70912,be,14.616,0.03167,5.464,0.159
2457478.76005,ba,14.652,0.03222,5.316,0.158
2458068.73314,be,14.651,0.03232,5.29,0.157
2458012.86071,be,14.581,0.03105,5.642,0.161
2457877.46884,be,14.603,0.03144,5.531,0.16
2457039.01548,ba,14.624,0.03169,5.46,0.159
2458231.53267,be,14.615,0.03165,5.467,0.159
2458111.72415,be,14.657,0.03243,5.259,0.157
2457360.02066,ba,14.666,0.03247,5.251,0.157
2457690.74361,be,14.615,0.03165,5.469,0.159
2458369.88617,be,14.644,0.03219,5.323,0.158
2457404.75035,ba,14.635,0.03191,5.398,0.158
2457342.92997,ba,14.624,0.03169,5.457,0.159
2457071.79717,ba,14.666,0.03249,5.248,0.157
2457760.55231,be,14.613,0.03161,5.479,0.159
2457697.03973,ba,14.866,0.03674,4.366,0.148
2458233.50925,be,14.719,0.03365,4.969,0.154
2458172.62214,be,14.607,0.03151,5.51,0.16
2457778.94944,ba,14.674,0.03264,5.207,0.156
2457893.44571,be,14.707,0.03341,5.024,0.154
2457687.7674,be,14.633,0.03198,5.381,0.158
2458188.62996,be,14.632,0.03196,5.385,0.158
2458216.56906,be,14.64,0.03211,5.346,0.158
2458224.55925,be,14.657,0.03243,5.26,0.157
2457055.86991,ba,14.538,0.03022,5.904,0.164
2458109.79135,be,14.624,0.03182,5.425,0.159
2458376.88371,be,14.595,0.03129,5.573,0.16
2458073.7086,be,14.688,0.03303,5.113,0.155
2458030.0493,ba,14.686,0.03285,5.156,0.156
2458183.6504,be,14.635,0.03202,5.369,0.158
2457669.80954,be,14.917,0.03812,4.141,0.145
2458197.63498,be,14.66,0.03249,5.247,0.157
2457863.51684,be,14.604,0.03145,5.527,0.16
2457358.03164,ba,14.6,0.03127,5.577,0.16
2458106.77797,be,14.618,0.03171,5.453,0.159
2457762.73281,be,14.846,0.03641,4.422,0.148
2458345.92945,be,14.63,0.03193,5.392,0.158
2458179.64619,be,14.551,0.03053,5.801,0.163
2458260.5064,be,14.703,0.03333,5.043,0.155
2457800.89656,ba,14.676,0.03266,5.203,0.156
2457756.00798,ba,14.662,0.03241,5.264,0.157
2457011.8344,ba,14.626,0.03174,5.444,0.159
2458153.70516,be,14.647,0.03224,5.308,0.157
2458008.86454,be,14.665,0.03258,5.223,0.157
2457702.03886,ba,14.687,0.03289,5.146,0.156
2457761.76269,be,14.672,0.03272,5.19,0.156
2457111.78291,ba,14.645,0.03209,5.351,0.158
2457270.12765,ba,14.632,0.03185,5.412,0.159
2457632.89924,be,14.675,0.03278,5.175,0.156
2457831.79827,ba,14.64,0.032,5.374,0.158
2457444.6997,be,14.557,0.03063,5.768,0.163
2457526.4666,be,14.607,0.03151,5.507,0.16
2457421.76229,be,14.578,0.03099,5.657,0.161
2458347.92256,be,14.686,0.03299,5.122,0.155
2457466.6329,be,14.612,0.0316,5.486,0.159
2457038.0277,ba,14.619,0.03161,5.482,0.159
2457445.63181,be,14.614,0.03163,5.476,0.159
2457780.85541,ba,14.642,0.03204,5.362,0.158
2457813.55552,be,14.583,0.03108,5.635,0.161
2457101.82476,ba,14.615,0.03154,5.499,0.16
2457836.56997,be,14.702,0.03331,5.05,0.155
2457821.66738,be,14.637,0.03205,5.358,0.158
2457103.79818,ba,14.628,0.03176,5.44,0.159
2457766.91445,ba,14.604,0.03135,5.554,0.16
2457113.77529,ba,14.708,0.03329,5.054,0.155
2457758.83242,ba,14.628,0.03176,5.441,0.159
2457880.49506,be,14.617,0.03169,5.457,0.159
2458185.58319,be,14.819,0.03579,4.531,0.149
