###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57513.591544  14.402  0.007  6297   41 c  0  17.34 293.59962  30.69347  2496.45    91.97 5.08 3.61 -12.4 -0.483 19.47 21.46 02a57513o0715c
57513.598559  14.361  0.005  6538   35 c  0  48.62 293.59962  30.69347  7958.00  9726.83 3.85 3.59  78.4 -0.460 19.56 21.57 02a57513o0726c
57513.608171 -16.462  0.001  -945    1 c  0 10105554.73 293.59962  30.69347  2527.39    32.61 4.95 3.55 -13.0 -0.502 19.48 21.43 02a57513o0741c
57524.529079  14.103  0.007  8292   57 o  0  22.39 293.59962  30.69347  6852.87  9134.35 3.70 3.38  85.6 -0.512 18.79 20.40 02a57524o0488o
57524.531529  14.108  0.006  8255   53 o  0  32.36 293.59962  30.69347  6867.31  9173.00 3.70 3.34  84.9 -0.516 19.01 20.60 02a57524o0493o
57524.544513  14.111  0.006  8237   50 o  0  32.99 293.59962  30.69347  6801.69  9092.99 3.75 3.42  85.5 -0.509 19.02 20.62 02a57524o0516o
57524.569367  14.096  0.014  8348  120 o  0   5.41 293.59962  30.69347  6781.85  9211.68 3.80 3.46  88.0 -0.485 17.55 18.93 02a57524o0559o
57524.580795 -12.485  1.840 -36804 67738 o  0   1.05 293.59962  30.69347  6829.06  9153.86 3.73 3.41  88.3 -0.551 11.89 13.33 02a57524o0578o
57528.511870  14.075  0.008  8510   65 o  0  14.70 293.59962  30.69347  8883.60  7412.43 4.27 3.40  84.2 -0.525 18.40 19.42 02a57528o0550o
57528.530047  14.098  0.008  8334   64 o  0  14.68 293.59962  30.69347  8906.43  7450.46 4.21 3.40  85.5 -0.521 18.45 19.47 02a57528o0583o
57528.538290  14.112  0.008  8226   62 o  0  16.46 293.59962  30.69347  8836.34  7374.58 4.09 3.24  85.0 -0.534 18.47 19.49 02a57528o0598o
57528.561290  14.092  0.007  8376   62 o  0  16.53 293.59962  30.69347  8818.76  7492.63 4.03 3.09  84.7 -0.549 18.55 19.58 02a57528o0640o
57528.567777  14.081  0.006  8465   54 o  0  25.31 293.59962  30.69347  8850.93  7432.38 4.03 3.14  83.7 -0.548 18.56 19.60 02a57528o0652o
57532.516106  14.096  0.007  8350   58 o  0  19.40 293.59962  30.69347  7568.74  6988.10 3.88 3.14  88.0 -0.541 18.54 19.63 02a57532o0504o
57532.533614  14.091  0.007  8389   56 o  0  24.95 293.59962  30.69347  7582.21  7025.13 3.78 3.05  85.9 -0.547 18.55 19.64 02a57532o0537o
57532.546176  14.091  0.007  8385   56 o  0  23.13 293.59962  30.69347  7530.88  6947.39 3.79 3.08  86.9 -0.538 18.54 19.64 02a57532o0560o
57532.555406  14.093  0.006  8373   52 o  0  25.47 293.59962  30.69347  7502.63  7061.21 3.76 3.08  87.1 -0.538 18.56 19.65 02a57532o0575o
57532.569768  14.112  0.007  8228   55 o  0  28.44 293.59962  30.69347  7543.99  7001.96 3.67 3.04  85.4 -0.549 18.59 19.67 02a57532o0602o
57542.497858  14.357  0.006  6564   37 c  0  37.61 293.59962  30.69347  7154.27  9558.21 3.95 3.66  84.8 -0.466 19.49 21.51 02a57542o0518c
57542.501747  14.331  0.006  6723   37 c  0  36.33 293.59962  30.69347  7164.13  9595.92 4.00 3.63  86.1 -0.464 19.47 21.48 02a57542o0525c
57542.526932  14.366  0.007  6509   45 c  0  25.48 293.59962  30.69347  7101.85  9517.75 4.00 3.65  88.5 -0.453 18.96 20.82 02a57542o0571c
57542.535859  14.367  0.005  6507   35 c  0  49.53 293.59962  30.69347  7088.76  9631.96 4.01 3.71  81.5 -0.452 19.45 21.50 02a57542o0588c
57542.551890  14.362  0.006  6536   38 c  0  41.34 293.59962  30.69347  7121.82  9572.40 3.96 3.71  80.1 -0.447 19.41 21.47 02a57542o0616c
57546.505091  14.341  0.006  6662   41 c  0  24.97 293.59962  30.69347  3836.88   309.63 4.73 3.53  -6.7 -0.545 19.56 21.64 02a57546o0394c
57546.506058  14.365  0.005  6516   36 c  0  39.80 293.59962  30.69347  9358.99  9986.66 4.23 3.68  80.4 -0.454 19.64 21.77 02a57546o0396c
57546.515008  14.365  0.005  6518   35 c  0  43.41 293.59962  30.69347  9290.97  9906.50 4.24 3.66  79.9 -0.453 19.64 21.77 02a57546o0413c
57546.527221  14.353  0.006  6591   40 c  0  29.21 293.59962  30.69347  3785.45   228.02 4.90 3.53  -5.3 -0.530 19.57 21.67 02a57546o0435c
57546.528188  14.356  0.005  6570   35 c  0  41.68 293.59962  30.69347  9273.95 10025.74 4.22 3.72  79.3 -0.447 19.66 21.82 02a57546o0437c
57546.535470  14.362  0.007  6536   44 c  0  15.85 293.59962  30.69347  1254.02   583.91 5.53 3.76 -14.9 -0.483 19.53 21.80 02a57546o0450c
57546.538066  14.356  0.006  6570   40 c  0  28.46 293.59962  30.69347  3772.14   343.03 4.89 3.51  -5.1 -0.531 19.58 21.68 02a57546o0455c
57546.554203  14.382  0.006  6416   40 c  0  19.41 293.59962  30.69347  6763.42 10261.76 5.00 4.07   4.2 -0.418 19.39 21.65 02a57546o0485c
57550.457234  14.348  0.006  6619   38 c  0  33.65 293.59962  30.69347  8122.92  9122.83 4.23 3.61  82.1 -0.477 19.52 21.63 02a57550o0348c
57550.466172  14.335  0.005  6697   35 c  0  47.96 293.59962  30.69347  8137.70  9159.60 4.25 3.63  83.1 -0.469 19.51 21.62 02a57550o0365c
57550.480438  14.342  0.005  6654   35 c  0  53.43 293.59962  30.69347  8085.03  9081.57 4.09 3.57  84.9 -0.475 19.54 21.62 02a57550o0391c
57550.496301  14.356  0.006  6571   37 c  0  37.27 293.59962  30.69347  8055.43  9199.56 4.06 3.59  82.0 -0.471 19.52 21.57 02a57550o0419c
57550.514469  14.345  0.005  6639   34 c  0  55.33 293.59962  30.69347  8098.43  9142.87 4.18 3.69  83.3 -0.465 19.54 21.65 02a57550o0452c
57565.471283  14.087  0.007  8415   59 o  0  20.62 293.59962  30.69347  7520.51  8791.74 3.75 3.26  85.2 -0.516 18.48 19.66 02a57565o0423o
57565.479547  14.094  0.007  8366   59 o  0  25.92 293.59962  30.69347  7536.99  8831.32 3.68 3.25  84.4 -0.518 18.43 19.57 02a57565o0437o
57565.487791  14.111  0.008  8231   64 o  0  15.47 293.59962  30.69347  3089.82  1800.55 4.46 3.38 -11.4 -0.534 18.59 19.89 02a57565o0453o
57565.501694  14.126  0.009  8122   72 o  0   8.41 293.59962  30.69347  3104.45  1681.56 6.07 3.58  -4.1 -0.450 18.16 19.56 02a57565o0479o
57565.515399  14.072  0.033  8538  281 o  0   1.71 293.59962  30.69347  3071.47  1741.32 4.28 3.95 -27.7 -0.469 16.18 16.74 02a57565o0506o
57569.450917  14.110  0.222  8239 1831 o  0   0.96 293.59962  30.69347  7384.92  9024.89 3.75 3.30  83.7 -0.504 13.85 15.30 02a57569o0407o
57569.465105  14.094  0.006  8361   50 o  0  40.69 293.59962  30.69347  7402.07  9060.60 3.84 3.41  81.9 -0.501 19.04 20.86 02a57569o0431o
57569.479506  14.120  0.007  8169   58 o  0  15.90 293.59962  30.69347  3220.78  1556.07 5.73 3.62  -5.6 -0.464 18.99 21.02 02a57569o0458o
57569.500503  14.135  0.103  8055  828 o  0   1.09 293.59962  30.69347  3254.81  1440.67 4.47 3.96 -33.5 -0.498 16.49 18.07 02a57569o0497o
57569.521643  15.486  1.255  2320 2911 o  0   1.05 293.59962  30.69347  3206.97  1502.79 4.21 3.38 -16.9 -0.534 14.05 15.42 02a57569o0537o
57599.428028  14.125  0.006  8131   48 o  0  31.52 293.59962  30.69347  2894.03  2415.28 4.15 3.59 -20.9 -0.518 19.17 20.94 02a57599o0096o
57599.435450  14.107  0.006  8266   49 o  0  30.90 293.59962  30.69347  2929.23  2300.58 4.17 3.59 -17.4 -0.515 19.18 20.95 02a57599o0110o
57599.455551  14.115  0.006  8205   49 o  0  35.67 293.59962  30.69347  2881.62  2359.02 4.20 3.57 -18.5 -0.519 19.18 20.94 02a57599o0147o
57606.383927  14.375  0.007  6457   45 c  0   9.93 293.59962  30.69347  2450.22   608.47 6.59 3.94  -4.2 -0.427 19.40 21.83 02a57606o0153c
57606.404361  14.378  0.006  6438   36 c  0  30.61 293.59962  30.69347  7885.59 10257.49 4.28 4.14 -86.4 -0.459 19.56 21.72 02a57606o0180c
57606.417082  14.332  0.006  6716   41 c  0  20.63 293.59962  30.69347  2504.90   649.66 5.30 3.79 -11.9 -0.541 19.56 21.83 02a57606o0194c
57606.433671  14.336  0.007  6693   45 c  0  15.86 293.59962  30.69347  2519.26   531.05 5.32 3.74 -10.4 -0.538 19.55 21.84 02a57606o0216c
57606.442797  14.368  0.007  6496   42 c  0  11.43 293.59962  30.69347  7967.39 10222.67 5.52 5.10 -88.9 -0.379 19.47 21.72 02a57606o0228c
57606.455961  14.396  0.006  6332   38 c  0  22.27 293.59962  30.69347  7917.87 10282.82 4.75 4.27 -86.4 -0.430 19.52 21.71 02a57606o0245c
57610.377277  14.098  0.007  8332   54 o  0  25.08 293.59962  30.69347  2505.74  1696.98 5.15 3.47 -10.4 -0.547 18.98 21.17 02a57610o0270o
57610.387300  14.113  0.007  8216   56 o  0  23.78 293.59962  30.69347  2469.59  1656.97 4.80 3.34 -11.7 -0.565 19.08 21.19 02a57610o0288o
57610.433568  14.100  0.007  8316   55 o  0  26.54 293.59962  30.69347  2538.98  1734.56 4.57 3.32 -12.4 -0.560 19.07 21.11 02a57610o0303o
57610.454617  14.103  0.006  8298   53 o  0  31.52 293.59962  30.69347  2557.78  1617.50 4.57 3.27 -11.0 -0.566 19.07 21.09 02a57610o0342o
57610.458108  14.106  0.007  8270   55 o  0  27.63 293.59962  30.69347  2525.72  1675.12 4.62 3.33 -12.5 -0.560 19.07 21.10 02a57610o0349o
57618.373930  14.098  0.008  8332   71 o  0  13.70 293.59962  30.69347  4300.78  1615.23 3.91 3.22  -9.4 -0.564 18.20 19.41 02a57618o0318o
57618.383874  14.107  0.009  8263   72 o  0  10.49 293.59962  30.69347  4268.36  1574.98 3.94 3.25  -8.8 -0.566 18.20 19.40 02a57618o0336o
57618.405162  14.105  0.010  8283   79 o  0   8.59 293.59962  30.69347  4335.49  1652.25 4.05 3.32  -9.7 -0.546 18.18 19.37 02a57618o0373o
57622.359988  14.110  0.006  8238   53 o  0  27.53 293.59962  30.69347  2693.58  2012.57 4.03 3.43 -14.1 -0.530 18.93 20.80 02a57622o0151o
57622.371064  14.122  0.006  8153   49 o  0  37.71 293.59962  30.69347  3728.95  1963.31 3.76 3.32 -15.0 -0.557 18.91 20.74 02a57622o0170o
57622.392932  14.149  0.037  7952  291 o  0   1.43 293.59962  30.69347  3798.32  2040.92 3.80 3.30 -13.3 -0.515 16.21 17.20 02a57622o0207o
57626.359475  14.365  0.006  6519   36 c  0  36.64 293.59962  30.69347  2707.55  2110.84 4.12 3.63 -17.2 -0.474 19.59 21.75 02a57626o0247c
57626.371245  14.369  0.006  6491   38 c  0  26.55 293.59962  30.69347   710.93  2099.26 4.19 3.67 -27.0 -0.460 19.63 21.75 02a57626o0269c
57626.394034  14.358  0.006  6558   38 c  0  32.42 293.59962  30.69347   781.45  2174.96 4.17 3.70 -26.0 -0.466 19.58 21.68 02a57626o0308c
57626.396646  14.372  0.006  6472   40 c  0  22.15 293.59962  30.69347   798.79  2057.10 4.40 3.87 -24.3 -0.450 19.53 21.67 02a57626o0313c
57626.415657  14.366  0.006  6512   38 c  0  26.46 293.59962  30.69347   765.35  2114.98 4.28 3.76 -25.3 -0.459 19.54 21.64 02a57626o0345c
57633.341781  14.370  0.006  6486   36 c  0  31.96 293.59962  30.69347  1576.40   683.17 4.14 3.97  86.8 -0.425 19.60 21.74 02a57633o0137c
57633.351721  14.344  0.009  6643   62 c  0   8.48 293.59962  30.69347  1557.64   642.57 4.37 4.24 -87.8 -0.397 18.61 20.62 02a57633o0155c
57633.362053  14.377  0.133  6447  856 c  0   1.18 293.59962  30.69347  7057.52 10347.30 3.64 3.52 -12.1 -0.489 17.16 19.00 02a57633o0173c
57633.372884  14.370  0.010  6486   65 c  0   9.02 293.59962  30.69347  1609.78   719.88 4.12 3.97 -87.3 -0.411 18.34 20.17 02a57633o0192c
57633.373400  14.377  0.007  6442   45 c  0  21.15 293.59962  30.69347  7038.94 10307.77 3.77 3.73  42.8 -0.463 19.37 21.37 02a57633o0193c
57633.377080  14.373  0.008  6469   49 c  0  15.24 293.59962  30.69347  7106.63 10387.34 3.90 3.86  23.0 -0.442 19.13 21.15 02a57633o0200c
57633.393883  14.369  0.006  6490   40 c  0  28.22 293.59962  30.69347  7126.92 10270.62 4.12 4.02  47.4 -0.437 19.05 21.21 02a57633o0229c
57633.395493  14.370  0.006  6489   39 c  0  21.91 293.59962  30.69347  1629.75   600.11 4.52 4.29  86.1 -0.410 19.40 21.52 02a57633o0232c
57633.416267  14.353  0.005  6591   36 c  0  51.00 293.59962  30.69347  7076.60 10327.61 3.71 3.62  -3.5 -0.478 19.43 21.39 02a57633o0266c
57637.334820  14.346  0.006  6631   37 c  0  31.77 293.59962  30.69347  1613.29  3561.84 4.09 3.88  73.5 -0.413 19.48 21.49 02a57637o0189c
57637.347275  14.346  0.005  6633   34 c  0  45.46 293.59962  30.69347  1596.55  3523.02 3.96 3.75  74.3 -0.419 19.50 21.44 02a57637o0213c
57637.367409  14.365  0.005  6514   34 c  0  44.78 293.59962  30.69347  1649.23  3598.97 3.97 3.75  72.4 -0.425 19.48 21.42 02a57637o0250c
57637.370497  14.358  0.005  6556   35 c  0  40.14 293.59962  30.69347  1666.86  3481.89 3.97 3.72  73.7 -0.424 19.48 21.40 02a57637o0256c
57637.389253  14.361  0.005  6541   35 c  0  39.52 293.59962  30.69347  1636.72  3539.28 3.95 3.69  73.6 -0.430 19.47 21.37 02a57637o0289c
57641.346505  14.113  0.007  8220   60 o  0  11.64 293.59962  30.69347  8645.63 10316.33 4.74 4.58  38.9 -0.449 18.77 20.49 02a57641o0151o
57641.347003  14.111  0.006  8232   53 o  0  23.24 293.59962  30.69347  3246.34   603.26 4.10 3.97 -47.1 -0.473 18.97 20.55 02a57641o0152o
57661.295282  14.367  0.005  6504   35 c  0  46.15 293.59962  30.69347  4521.08  3533.28 4.02 3.86  85.3 -0.391 19.43 21.46 02a57661o0169c
57661.296274  14.369  0.006  6493   37 c  0  30.15 293.59962  30.69347  4505.04  3494.39 4.00 3.84  87.9 -0.391 19.36 21.36 02a57661o0171c
57661.338406  14.366  0.006  6508   38 c  0  27.81 293.59962  30.69347  4573.63  3454.39 3.92 3.76  87.9 -0.397 19.32 21.23 02a57661o0243c
57661.342493  14.370  0.006  6487   36 c  0  39.63 293.59962  30.69347  4541.39  3511.35 3.91 3.74  88.2 -0.398 19.33 21.24 02a57661o0251c
57669.280427  14.371  0.006  6479   41 c  0  21.24 293.59962  30.69347  3619.43  1322.89 4.09 3.95 -79.0 -0.432 19.16 20.80 02a57669o0140c
57669.293822  14.351  0.006  6599   39 c  0  25.76 293.59962  30.69347  3605.38  1281.95 4.01 3.86 -79.2 -0.446 19.17 20.78 02a57669o0165c
57669.295795  14.359  0.006  6553   38 c  0  28.06 293.59962  30.69347  3672.76  1359.38 3.97 3.84 -80.2 -0.444 19.17 20.77 02a57669o0169c
57669.318190  14.356  0.006  6572   39 c  0  26.37 293.59962  30.69347  3690.24  1240.16 4.07 3.90 -79.1 -0.441 19.12 20.70 02a57669o0212c
57669.334475  14.357  0.006  6562   40 c  0  21.94 293.59962  30.69347  3658.26  1297.08 3.99 3.87 -69.5 -0.445 19.10 20.68 02a57669o0243c
57673.260687  14.109  0.007  8246   55 o  0  22.70 293.59962  30.69347  3310.32  1754.65 3.78 3.59 -79.9 -0.478 18.69 19.80 02a57673o0097o
57673.280000  14.105  0.006  8278   53 o  0  26.06 293.59962  30.69347  3292.14  1711.19 3.73 3.57 -71.7 -0.483 18.68 19.77 02a57673o0134o
57673.290849  14.122  0.007  8152   54 o  0  24.21 293.59962  30.69347  3360.11  1788.38 3.73 3.57 -74.7 -0.476 18.66 19.74 02a57673o0155o
57673.301617  14.108  0.006  8259   52 o  0  24.41 293.59962  30.69347  3377.02  1669.90 3.71 3.56 -68.3 -0.489 18.65 19.69 02a57673o0174o
57673.310736  14.121  0.007  8160   58 o  0  17.54 293.59962  30.69347  1566.47  1257.36 3.88 3.67 -83.2 -0.472 18.63 19.66 02a57673o0189o
57673.322208  14.108  0.006  8254   53 o  0  25.47 293.59962  30.69347  1516.29  1315.87 3.86 3.64 -88.7 -0.479 18.61 19.62 02a57673o0211o
57677.258527  14.110  0.008  8240   66 o  0  12.61 293.59962  30.69347  1972.08  3396.47 3.81 3.63  78.0 -0.463 18.31 19.09 02a57677o0151o
57677.271783  14.124  0.007  8138   59 o  0  16.26 293.59962  30.69347  1955.35  3355.14 3.81 3.64  81.1 -0.462 18.29 19.04 02a57677o0177o
57677.281416  14.109  0.007  8253   62 o  0  13.87 293.59962  30.69347  2005.37  3432.91 3.70 3.50  79.0 -0.477 18.30 19.02 02a57677o0196o
57677.291152  14.100  0.008  8316   65 o  0  12.02 293.59962  30.69347  2039.05  3313.94 3.81 3.62  84.3 -0.465 18.25 18.98 02a57677o0215o
57677.303087  14.096  0.008  8351   64 o  0  15.72 293.59962  30.69347  1987.23  3372.71 3.71 3.50  82.0 -0.479 18.25 18.93 02a57677o0238o
57685.242878  14.365  0.006  6515   40 c  0  22.05 293.59962  30.69347   774.77  2657.29 4.36 4.08  74.3 -0.392 19.25 21.21 02a57685o0102c
57685.252822  14.357  0.006  6567   42 c  0  18.23 293.59962  30.69347   759.34  2616.87 4.57 4.33  74.6 -0.381 19.08 21.08 02a57685o0121c
57685.263569  14.352  0.006  6595   43 c  0  21.49 293.59962  30.69347   827.63  2692.63 4.46 4.23  71.3 -0.386 18.93 20.82 02a57685o0141c
57685.266094  14.356  0.007  6571   48 c  0  12.79 293.59962  30.69347   843.79  2575.69 4.54 4.31  74.4 -0.384 18.90 20.83 02a57685o0146c
57685.287306  14.372  0.008  6476   50 c  0  11.33 293.59962  30.69347   793.28  2633.97 4.68 4.47  73.7 -0.377 18.77 20.71 02a57685o0187c
57689.234892  14.407  0.018  6272  116 c  0   2.45 293.59962  30.69347  1578.73  1435.17 4.36 4.17  86.4 -0.391 17.40 18.90 02a57689o0107c
57689.246383  14.357  0.008  6562   52 c  0  12.21 293.59962  30.69347  1563.21  1395.58 4.29 4.07  84.7 -0.405 18.70 20.37 02a57689o0129c
57689.257645  14.370  0.015  6486   97 c  0   3.29 293.59962  30.69347  1615.73  1471.82 4.13 3.89  86.6 -0.405 17.69 19.13 02a57689o0150c
57689.268272  14.346  0.017  6631  113 c  0   2.37 293.59962  30.69347  1648.69  1353.60 4.65 4.50  88.4 -0.379 17.48 19.05 02a57689o0170c
57689.285083  14.355  0.024  6578  157 c  0   2.10 293.59962  30.69347  1598.95  1410.92 4.05 3.82  88.8 -0.412 17.10 18.45 02a57689o0201c
57693.229992  14.362  0.006  6533   38 c  0  23.56 293.59962  30.69347  3854.62  2253.63 4.13 3.96  87.0 -0.406 19.44 21.37 02a57693o0104c
57693.254127  14.366  0.005  6509   35 c  0  35.87 293.59962  30.69347  3913.48  2288.47 4.12 4.11 -44.0 -0.405 19.36 21.29 02a57693o0124c
57693.263703  14.380  0.006  6429   37 c  0  25.63 293.59962  30.69347  3927.77  2171.39 4.12 4.10  32.0 -0.396 19.38 21.31 02a57693o0141c
