###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57300.502997  -3.548  0.314 95285632306 29915256654 o  0   2.32  88.04496  31.07974  9518.66  7979.35 4.27 3.29 -89.7 -0.530 -2.99 -2.07 02a57300o0889o
57300.551322  -5.181  0.026 428799489327 10982614983 o  0 660.34  88.04496  31.07974  1236.29  6499.24 3.91 3.23 -59.3 -0.484 -2.72 -1.55 02a57300o1037o
57300.569010  -4.751  0.036 288620786231 10411655879 o  0 479.96  88.04496  31.07974  1238.63  6504.65 3.91 3.28 -56.2 -0.484 -2.53 -1.19 02a57300o1075o
57302.499330  15.184  0.013  3064   41 o  0 6963.61  88.04496  31.07974  9505.82  7962.11 4.54 3.50 -85.6 -0.495 18.91 20.44 02a57302o0482o
57302.510093  15.186  0.013  3060   41 o  0 7208.37  88.04496  31.07974  9502.16  7964.49 4.51 3.54 -85.4 -0.487 18.91 20.43 02a57302o0499o
57314.513316  15.274  0.011  2820   32 c  0 8113.92  88.04496  31.07974  9574.53  7990.90 4.44 3.65  86.8 -0.455 19.31 21.23 02a57314o0459c
57314.553867  15.227  0.010  2946   30 c  0 12912.31  88.04496  31.07974  9571.44  8000.25 4.34 3.58  86.6 -0.458 19.41 21.32 02a57314o0516c
57314.583411  15.123  0.010  3243   31 c  0 11418.94  88.04496  31.07974  1330.84  6533.47 4.57 3.66 -54.1 -0.460 19.38 21.29 02a57314o0560c
57314.615656  15.137  0.010  3200   32 c  0 9100.81  88.04496  31.07974  1335.12  6542.75 4.46 3.58 -54.8 -0.468 19.36 21.21 02a57314o0600c
57316.485493  15.225  0.011  2950   32 c  0 7812.05  88.04496  31.07974  9584.74  7983.34 4.76 4.30  80.8 -0.423 19.18 21.14 02a57316o0420c
57316.521717  15.310  0.011  2728   31 c  0 9365.05  88.04496  31.07974  9593.68  7988.37 4.46 3.86  83.9 -0.455 19.28 21.14 02a57316o0473c
57316.547004  15.091  0.010  3339   32 c  0 9016.14  88.04496  31.07974  1351.22  6525.33 4.72 3.94 -44.7 -0.447 19.24 21.13 02a57316o0512c
57316.552787  15.190  0.011  3047   33 c  0 8924.26  88.04496  31.07974  1345.79  6525.26 4.50 3.72 -52.8 -0.466 19.29 21.14 02a57316o0521c
57319.510677  15.440  0.021  2422   51 o  0 3581.33  88.04496  31.07974  9524.83  7996.40 4.50 3.48  85.8 -0.501 18.60 19.87 02a57319o0483o
57319.536622  15.058  0.013  3441   45 o  0 5176.75  88.04496  31.07974  1278.96  6528.42 4.54 3.31 -59.4 -0.474 18.70 20.02 02a57319o0520o
57319.559913  15.046  0.012  3481   42 o  0 7071.21  88.04496  31.07974  1277.69  6533.65 4.52 3.32 -59.5 -0.473 18.87 20.34 02a57319o0554o
57324.479959  15.679  0.039  1942   76 o  0 1272.08  88.04496  31.07974  9545.79  8007.53 4.69 3.38  88.2 -0.510 18.07 18.94 02a57324o0469o
57324.496273  15.662  0.034  1973   68 o  0 1643.27  88.04496  31.07974  9560.88  8006.17 4.62 3.40  88.1 -0.506 18.08 18.97 02a57324o0493o
57324.517943  14.993  0.019  3654   69 o  0 1462.90  88.04496  31.07974  1316.79  6540.12 5.39 3.80 -59.3 -0.463 18.07 19.03 02a57324o0526o
57324.542629  14.961  0.020  3765   75 o  0 1227.59  88.04496  31.07974  1319.80  6546.99 5.28 3.49 -61.7 -0.465 18.05 18.87 02a57324o0564o
57327.576765  14.377  0.010  6444   65 o  0 1712.70  88.04496  31.07974  1205.36  2654.76 6.11 4.00 -35.4 -0.503 18.51 19.62 02a57327o0572o
