###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57386.227640  13.992  0.005  9190   48 o  0  14.50 341.78179  56.29785   727.25  3167.28 4.58 3.48 -38.9 -0.522 19.07 20.70 02a57386o0082o
57386.244401  13.970  0.005  9379   47 o  0  17.58 341.78179  56.29785  9807.74  2097.60 3.99 3.50  41.9 -0.542 19.07 20.74 02a57386o0109o
57386.255546  13.995  0.006  9163   50 o  0  14.30 341.78179  56.29785  9484.46  3833.74 3.69 3.20  70.7 -0.545 19.07 20.70 02a57386o0127o
57387.215493  13.979  0.005  9301   42 o  0  14.31 341.78179  56.29785   417.46  2605.17 4.81 3.53 -35.8 -0.525 19.12 20.51 02a57387o0059o
57387.224125  13.979  0.005  9302   43 o  0  11.73 341.78179  56.29785 10414.35  2725.49 3.91 3.50  68.8 -0.537 19.14 20.59 02a57387o0073o
57387.225976  13.997  0.005  9143   41 o  0  11.99 341.78179  56.29785   723.71  3170.71 4.68 3.58 -38.7 -0.522 19.16 20.58 02a57387o0076o
57387.246266  13.992  0.004  9188   41 o  0  14.22 341.78179  56.29785  9803.07  2100.25 3.95 3.62  41.0 -0.533 19.18 20.69 02a57387o0109o
57387.257316  14.007  0.004  9060   39 o  0  16.19 341.78179  56.29785  9483.76  3833.80 3.77 3.30  80.0 -0.521 19.17 20.60 02a57387o0127o
57396.242032  14.162  0.005  7859   38 c  0  10.18 341.78179  56.29785  9893.81  1998.49 4.02 3.67  53.7 -0.489 19.38 21.23 02a57396o0085c
57396.254945  14.165  0.005  7837   40 c  0   6.08 341.78179  56.29785  9599.00  3749.60 4.03 3.52  75.9 -0.473 19.35 21.22 02a57396o0106c
57512.583985  14.182  0.005  7716   38 c  0   7.91 341.78179  56.29785  9543.89  7796.63 4.76 4.15  78.7 -0.431 19.24 21.19 02a57512o0730c
57515.559350  14.169  0.006  7805   50 c  0   6.01 341.78179  56.29785 10059.63  6137.94 4.32 3.43  80.2 -0.493 18.90 20.62 02a57515o0685c
57515.570200  14.180  0.017  7728  130 c  0   1.44 341.78179  56.29785 10072.43  6177.59 4.27 3.34  79.9 -0.487 17.70 19.38 02a57515o0707c
