hjd mag magerr
2455428.8883514 20.1746 0.0558
2455432.0109053 19.9788 0.0715
2455448.8368617 17.9720 0.0091
2455448.8492594 18.0977 0.0098
2455796.9188145 20.0834 0.0354
2455796.9295957 20.0465 0.0364
2455806.8446374 20.0793 0.0375
2456149.9854610 20.3715 0.0463
2456149.9976943 20.3809 0.0503
2456170.9604907 20.7205 0.1777
2456170.9711190 20.2356 0.1083
2456513.0124703 21.2809 0.1188
2456530.8822475 20.6750 0.0942
