55693.18343 12.77464 0.02060
55700.11031 12.74246 0.02025
55944.27480 12.77676 0.02063
56714.24303 12.78643 0.02074
56724.20944 12.77491 0.02061
56726.21777 12.74125 0.02024
56728.20088 12.73665 0.02019
56733.19771 12.75739 0.02041
56746.15838 12.78052 0.02067
56750.26432 13.03744 0.02399
56751.25919 12.74736 0.02031
56755.29986 12.78412 0.02071
56756.25882 12.75979 0.02044
56768.10641 12.75046 0.02034
56783.04745 12.78208 0.02069
56806.01774 12.75508 0.02039
56821.96935 12.77016 0.02055
56822.96631 12.78427 0.02071
56824.96660 12.76820 0.02053
56825.96671 12.78994 0.02077
56827.96672 12.74119 0.02024
56828.96686 12.77355 0.02059
56829.96706 12.80009 0.02089
56830.96727 12.78167 0.02068
