hjd mag magerr
2460252.816338 17.854 0.045
2460252.819878 17.351 0.031
2460252.826912 17.241 0.030
2460252.844950 17.151 0.025
2460253.850950 17.150 0.027
2460253.854125 17.094 0.029
2460253.860179 17.083 0.028
2460253.869953 17.186 0.031
2460254.803590 17.216 0.035
2460254.808826 17.245 0.030
2460254.811994 17.369 0.038
2460254.832474 17.406 0.041
2460256.802765 17.548 0.039
2460256.805751 17.590 0.040
2460256.813277 17.543 0.034
2460256.823370 17.664 0.048
2460257.841528 17.518 0.037
2460257.844407 17.699 0.043
2460257.849849 17.781 0.042
2460257.859984 17.692 0.042
2460258.837697 17.678 0.042
2460258.849193 17.693 0.044
2460258.865712 17.773 0.046
2460258.878909 20.100 0.317
2460260.810484 17.899 0.050
2460260.826938 17.952 0.057
2460260.841857 19.004 0.124
2460260.854593 17.899 0.054
2460261.790029 18.245 0.073
2460261.811714 17.929 0.056
2460261.821846 18.194 0.085
2460261.825894 19.100 0.171
2460264.790009 20.205 0.363
2460264.799891 20.201 0.326
2460281.804420 19.904 0.311
2460281.807601 19.605 0.223
2460282.793867 19.961 0.315
2460286.806161 19.850 0.285
