hjd mag magerr
2459051.018128 20.318 0.322
2459055.041121 19.931 0.281
2459055.049457 20.159 0.297
2459055.083198 20.113 0.254
2459058.965422 19.553 0.168
2459058.968650 19.467 0.147
2459058.972344 19.627 0.208
2459058.997532 19.579 0.198
2459060.975019 19.878 0.377
2459070.928127 19.723 0.246
2459070.930903 19.580 0.241
2459074.988910 20.083 0.236
2459075.003715 20.259 0.312
2459075.005095 20.215 0.286
2459086.911076 20.081 0.231
2459086.912918 20.302 0.340
2459086.920752 20.131 0.298
2459090.926058 19.555 0.188
2459092.992222 19.425 0.375
2459096.879624 19.490 0.306
2459098.911604 19.816 0.297
2459098.954869 19.612 0.282
2459100.928840 19.723 0.298
2459102.933032 20.202 0.339
2459106.910137 19.926 0.241
2459106.913421 20.090 0.228
2459106.918961 20.156 0.225
2459106.942001 19.716 0.211
2459118.873924 19.899 0.284
2459118.882684 19.720 0.211
2459120.924429 19.717 0.306
2459120.930863 19.650 0.349
2459121.887517 18.206 0.081
2459121.900512 17.999 0.088
2459121.906044 18.028 0.076
2459121.915097 17.895 0.084
2459122.906385 19.101 0.245
2459122.909629 18.362 0.106
2459122.917021 17.763 0.057
2459122.932706 17.726 0.072
2459123.946278 18.300 0.217
2459123.953268 18.077 0.189
2459123.956948 18.279 0.214
2459123.991721 18.157 0.269
2459125.882759 19.750 0.360
2459125.918348 19.516 0.297
2459129.963913 19.981 0.337
2459130.887180 20.143 0.314
2459130.890401 20.430 0.350
2459130.911251 20.308 0.338
2459143.798359 20.206 0.358
2459144.800311 20.253 0.368
2459146.863292 20.322 0.352
2459170.791169 20.281 0.330
2459170.799982 20.034 0.312
2459178.780566 19.774 0.282
2459180.781296 19.478 0.326
2459182.753259 19.606 0.331
2459184.756070 18.749 0.307
2459187.859158 19.155 0.375
2459190.736839 19.913 0.229
2459190.742390 19.690 0.187
2459343.095122 20.131 0.321
2459351.043221 20.063 0.340
2459359.095013 20.027 0.278
2459359.103607 20.134 0.304
2459363.113326 19.786 0.328
2459369.073043 19.430 0.253
2459373.076368 19.899 0.283
2459373.085715 19.967 0.313
2459373.102168 19.581 0.217
2459377.083377 20.134 0.330
2459377.108512 20.149 0.363
2459385.014923 19.761 0.275
2459385.030115 20.129 0.291
2459385.040433 20.165 0.268
2459385.049620 20.047 0.270
2459387.074803 17.485 0.034
2459387.078960 17.392 0.032
2459387.102983 17.619 0.046
2459387.105773 18.002 0.054
2459389.037494 18.587 0.124
2459389.042998 18.604 0.129
2459389.046198 18.555 0.125
2459389.054461 20.153 0.231
2459389.056761 18.520 0.121
2459391.047313 19.206 0.255
2459395.052862 19.676 0.241
2459399.039522 20.226 0.297
2459399.047361 20.226 0.345
2459403.045221 19.784 0.188
2459403.052134 20.210 0.299
2459410.981168 20.200 0.280
2459410.984460 20.094 0.357
2459415.021280 19.933 0.306
2459415.026812 19.583 0.300
2459422.884835 19.865 0.333
2459422.928354 19.504 0.293
2459424.961269 19.210 0.301
2459424.991399 19.626 0.297
2459424.993229 19.759 0.319
2459427.052653 19.532 0.191
2459427.055472 20.111 0.249
2459427.060589 20.123 0.308
2459428.885073 19.610 0.264
2459428.897763 19.486 0.241
2459432.885152 20.229 0.343
2459432.891594 19.415 0.158
2459432.898391 19.621 0.217
2459436.905285 20.007 0.283
2459440.905933 20.237 0.317
2459440.909203 20.071 0.316
2459444.903441 19.935 0.269
2459446.923249 19.682 0.274
2459451.085933 19.712 0.375
2459451.096563 19.614 0.319
2459452.899964 19.260 0.264
2459454.981026 19.779 0.208
2459454.990338 20.257 0.378
2459455.023762 19.425 0.180
2459458.892750 19.999 0.205
2459458.904653 20.012 0.199
2459462.875579 20.348 0.269
2459462.878340 20.605 0.333
2459462.882023 20.105 0.249
2459462.894974 20.057 0.258
2459466.946367 19.823 0.298
2459472.941087 20.022 0.374
2459478.994718 19.051 0.364
2459479.942856 18.995 0.184
2459486.916905 19.584 0.247
2459489.028246 19.855 0.354
2459489.042140 19.870 0.372
2459490.914715 19.634 0.270
2459492.886419 19.329 0.196
2459494.847837 20.049 0.351
2459494.857975 19.994 0.335
2459500.875338 19.846 0.270
2459500.884529 19.808 0.254
2459504.847462 19.849 0.362
2459504.850667 19.685 0.339
2459506.891330 18.958 0.316
2459506.904269 19.109 0.291
2459507.926210 17.569 0.115
2459507.929976 17.666 0.118
2459507.935472 17.658 0.110
2459507.948099 17.631 0.112
2459508.890857 17.012 0.050
2459508.894537 16.720 0.035
2459508.900963 16.728 0.043
2459508.917948 16.612 0.035
2459509.853283 16.885 0.038
2459509.875131 17.009 0.043
2459509.875591 16.803 0.040
2459509.894337 16.937 0.043
2459509.898024 16.733 0.038
2459509.898484 16.649 0.036
2459510.813243 16.953 0.046
2459510.816473 16.964 0.042
2459510.816935 17.001 0.042
2459510.822016 17.104 0.049
2459510.833087 17.166 0.044
2459510.833548 17.091 0.050
2459511.848213 17.023 0.032
2459511.851424 17.073 0.031
2459511.877144 17.219 0.042
2459511.882680 17.220 0.038
2459512.814637 17.435 0.035
2459512.817838 18.548 0.111
2459512.824252 17.382 0.035
2459512.834795 17.131 0.030
2459513.889260 17.450 0.044
2459513.892977 17.137 0.034
2459513.905631 17.135 0.035
2459513.913463 17.326 0.041
2459514.826147 16.894 0.026
2459514.829371 16.749 0.023
2459514.836314 16.683 0.023
2459514.847404 16.973 0.027
2459518.804038 18.525 0.106
2459518.807259 18.004 0.072
2459518.813270 18.127 0.082
2459518.823439 18.067 0.068
2459522.825896 19.811 0.375
2459522.849490 19.899 0.370
2459526.779630 19.853 0.356
2459526.785167 19.849 0.299
2459526.795307 19.755 0.322
2459530.815449 19.484 0.328
2459530.818686 19.515 0.244
2459530.825146 19.330 0.287
2459541.753387 19.798 0.351
2459542.766093 19.937 0.358
2459542.772092 19.647 0.241
2459542.786849 20.021 0.317
2459543.780617 19.786 0.261
2459543.811067 20.101 0.356
2459544.746362 19.780 0.268
2459544.751870 19.638 0.211
2459544.766149 20.203 0.304
2459546.815971 19.732 0.330
2459562.814630 19.177 0.355
2459574.712898 19.946 0.336
2459588.743399 19.698 0.285
2459602.735211 19.848 0.378
2459710.110753 19.544 0.307
2459734.067429 19.869 0.310
2459738.080559 19.631 0.260
2459738.085627 19.729 0.292
2459752.012429 19.823 0.345
2459752.015950 19.522 0.259
2459762.013212 19.701 0.321
2459766.021597 20.051 0.360
2459766.034317 19.988 0.362
2459770.029318 19.432 0.205
2459770.033881 19.929 0.310
2459771.048163 20.046 0.315
2459772.012536 16.974 0.105
2459772.017970 17.251 0.112
2459772.021147 17.722 0.188
2459772.040881 17.412 0.186
2459773.940625 17.383 0.088
2459773.948831 17.004 0.057
2459773.970846 16.677 0.039
2459773.983491 17.154 0.052
2459778.055395 17.501 0.052
2459778.061332 17.603 0.070
2459778.065449 17.775 0.078
2459778.076630 17.701 0.068
2459778.123277 17.634 0.128
2459779.058246 17.258 0.046
2459779.080942 17.516 0.048
2459779.109714 17.309 0.050
2459779.126439 17.013 0.060
2459780.078789 17.671 0.053
2459780.080145 17.762 0.058
2459780.081953 17.816 0.057
2459780.083310 17.724 0.046
2459780.089357 18.191 0.107
2459780.090719 17.822 0.055
2459780.106443 17.872 0.055
2459780.108732 17.922 0.051
2459780.127260 17.847 0.131
2459784.005120 18.910 0.118
2459784.007852 19.139 0.135
2459784.011473 19.198 0.139
2459784.016915 19.103 0.141
2459786.028217 19.622 0.276
2459788.036194 19.799 0.284
2459788.068485 19.822 0.303
2459788.993386 19.727 0.249
2459793.975239 19.563 0.264
2459793.990756 19.971 0.377
2459799.945934 19.269 0.273
2459799.956802 19.550 0.332
2459801.010855 19.626 0.364
2459801.014499 19.624 0.368
2459801.020523 19.632 0.320
2459804.034151 18.914 0.300
2459806.001990 19.692 0.364
2459808.004515 19.174 0.209
2459809.030964 19.585 0.325
2459809.916487 19.957 0.361
2459809.942519 19.473 0.254
2459811.986135 19.757 0.218
2459811.990220 19.803 0.333
2459811.996104 20.045 0.361
2459812.031364 19.990 0.345
2459812.965093 19.941 0.321
2459812.967973 19.712 0.228
2459812.977920 19.833 0.310
2459812.984802 19.778 0.252
2459817.974675 19.904 0.343
2459819.950791 19.547 0.221
2459819.954029 19.644 0.267
2459820.926275 19.542 0.263
2459821.984139 20.031 0.320
2459823.952974 19.791 0.311
2459823.959737 19.629 0.261
2459823.993282 19.637 0.290
2459825.966796 19.730 0.269
2459836.906419 19.147 0.198
2459836.912543 19.299 0.248
2459836.922482 19.649 0.353
2459839.849583 19.778 0.323
2459839.900147 19.863 0.269
2459839.905225 20.293 0.357
2459839.922041 19.740 0.253
2459841.936612 20.350 0.367
2459841.960334 19.912 0.243
2459842.917426 19.655 0.265
2459849.904597 20.055 0.223
2459849.939514 20.118 0.335
2459851.894350 19.616 0.220
2459851.897585 19.784 0.271
2459851.904825 19.789 0.244
2459855.848170 20.201 0.329
2459855.851817 19.947 0.292
2459855.883658 20.277 0.326
2459855.889201 20.094 0.273
2459857.969727 19.627 0.358
2459859.892431 14.850 0.117
2459862.916796 17.094 0.225
2459863.840258 16.687 0.076
2459863.871077 19.500 0.368
2459863.874311 19.201 0.243
2459864.909108 19.596 0.325
2459866.976171 19.390 0.231
2459867.866931 19.500 0.262
2459867.870562 19.981 0.362
2459867.877391 19.701 0.296
2459867.888292 19.522 0.294
2459867.889626 19.601 0.232
2459867.909786 19.307 0.195
2459868.868167 19.605 0.208
2459868.871413 19.995 0.298
2459869.822940 18.056 0.044
2459869.825713 18.186 0.051
2459869.832190 18.114 0.046
2459869.866852 19.257 0.134
2459871.750917 19.911 0.268
2459871.755536 19.456 0.163
2459871.761543 18.641 0.089
2459872.874955 19.888 0.279
2459872.878682 19.604 0.177
2459872.897566 20.063 0.287
2459872.912873 19.302 0.162
2459875.829383 19.748 0.219
2459875.832616 19.709 0.223
2459875.839080 19.851 0.271
2459875.863294 20.021 0.299
2459876.794033 19.638 0.231
2459876.796832 19.842 0.256
2459876.809606 20.034 0.305
2459876.824209 20.307 0.371
2459877.811223 19.942 0.252
2459877.830636 20.355 0.362
2459879.795069 19.479 0.205
2459881.842650 19.652 0.220
2459881.846346 20.082 0.264
2459881.859872 19.971 0.305
2459883.807128 20.027 0.367
2459883.832696 20.174 0.319
2459883.838155 20.079 0.355
2459885.785347 19.579 0.327
2459889.811045 18.582 0.311
2459893.824759 19.507 0.258
2459895.749945 19.699 0.249
2459896.813334 19.612 0.240
2459897.706854 19.759 0.256
2459897.708662 19.795 0.221
2459897.712278 19.852 0.266
2459897.717701 19.934 0.311
2459899.802707 20.245 0.354
2459907.793988 19.834 0.273
2460087.093088 19.903 0.268
2460087.093994 19.686 0.295
2460087.099687 19.724 0.255
2460087.102069 19.841 0.258
2460087.106518 19.875 0.328
2460095.102306 20.108 0.375
2460096.065363 20.219 0.365
2460096.113288 19.827 0.333
2460100.102859 19.222 0.366
2460107.056873 19.890 0.379
2460132.030565 19.525 0.286
2460135.045420 19.378 0.209
2460135.049053 19.335 0.265
2460139.052694 19.554 0.319
2460157.973949 19.359 0.306
2460159.044786 19.327 0.293
2460159.962119 19.324 0.256
2460161.963438 19.650 0.334
2460163.043543 19.755 0.358
2460179.849561 19.898 0.356
2460179.858162 19.466 0.222
2460183.966239 19.372 0.247
2460186.934342 16.011 0.039
2460186.964996 18.472 0.151
2460187.926086 15.698 0.039
2460191.942110 20.036 0.290
2460212.880814 17.852 0.064
2460212.884439 17.803 0.052
2460212.890529 17.867 0.063
2460212.904133 19.356 0.266
2460213.874539 18.473 0.147
2460213.879979 18.806 0.170
2460213.883142 18.886 0.166
2460213.893093 19.017 0.174
2460214.883418 19.451 0.329
2460239.861123 19.586 0.277
2460240.845531 19.982 0.303
2460244.854200 19.164 0.309
2460250.855155 19.655 0.256
2460251.906887 17.659 0.047
2460251.910666 18.524 0.101
2460251.920311 17.377 0.044
2460251.930341 17.526 0.049
2460266.789625 19.853 0.338
2460266.794871 19.300 0.175
2460267.825838 19.749 0.336
2460268.809410 19.551 0.335
2460272.849016 19.523 0.361
2460284.720977 19.786 0.281
2460284.756709 19.805 0.293
2460289.793501 20.052 0.350
2460289.796418 19.877 0.346
2460306.765271 19.199 0.365
2460306.768452 18.932 0.323
