55944.25948 14.01442 0.02102
55969.31601 14.00378 0.02089
55982.21527 14.00469 0.02090
56319.29375 13.98432 0.02067
56321.31865 13.98875 0.02072
56323.30871 14.32796 0.02563
56324.30742 14.00950 0.02096
56325.31343 13.99159 0.02075
56714.22772 14.01582 0.02104
56715.25867 14.11958 0.02237
56717.24389 14.05639 0.02154
56721.33839 14.16643 0.02303
56724.19409 14.31413 0.02538
56725.21296 14.01130 0.02098
56726.20242 14.00243 0.02088
56727.18892 14.04156 0.02135
56728.18515 14.01869 0.02107
56730.18331 14.09924 0.02210
56742.13604 13.98872 0.02072
56746.12306 14.00803 0.02094
56750.24873 14.01780 0.02106
56751.24368 13.98059 0.02062
56754.25410 13.95740 0.02036
56755.28441 13.98591 0.02068
56756.24308 14.14966 0.02279
56783.03196 14.03936 0.02133
