HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459748.49060,2022-06-17.9884372,bi,2.06,15.819,12.532,0.014,35.251,0.429,g
2459748.49184,2022-06-17.9896820,bi,2.03,15.754,12.519,0.013,35.694,0.420,g
2459748.49309,2022-06-17.9909226,bi,2.00,15.722,12.547,0.017,34.760,0.522,g
2459749.67512,2022-06-19.1730093,bF,1.99,15.880,12.520,0.012,35.632,0.392,g
2459749.67641,2022-06-19.1742940,bF,2.00,15.901,12.514,0.012,35.824,0.372,g
2459749.67770,2022-06-19.1755843,bF,2.05,15.744,12.504,0.013,36.165,0.442,g
2459750.63573,2022-06-20.1336555,bE,1.51,14.805,12.644,0.032,31.788,0.940,g
2459751.58215,2022-06-21.0801214,bE,1.97,15.747,12.535,0.013,35.165,0.437,g
2459751.58346,2022-06-21.0814293,bE,1.44,15.291,12.439,0.020,38.410,0.711,g
2459751.58476,2022-06-21.0827282,bE,1.98,15.711,12.529,0.015,35.324,0.470,g
2459751.67212,2022-06-21.1700913,bF,1.35,99.990,99.990,99.990,99.990,99.990,g
2459755.57484,2022-06-25.0729888,bE,1.48,15.281,12.526,0.018,35.433,0.598,g
2459755.57614,2022-06-25.0742878,bE,1.48,15.039,12.525,0.023,35.482,0.745,g
2459755.57743,2022-06-25.0755805,bE,1.47,15.001,12.575,0.024,33.903,0.754,g
2459755.59488,2022-06-25.0930349,bj,1.69,14.930,12.523,0.025,35.566,0.815,g
2459755.59612,2022-06-25.0942813,bj,1.96,15.108,12.524,0.021,35.512,0.695,g
2459755.59736,2022-06-25.0955173,bj,1.66,14.914,12.546,0.026,34.800,0.812,g
2459755.62947,2022-06-25.1276243,bj,1.66,15.092,12.550,0.022,34.697,0.710,g
2459755.63072,2022-06-25.1288763,bj,1.57,14.819,12.528,0.027,35.389,0.898,g
2459755.63197,2022-06-25.1301287,bj,1.54,14.831,12.564,0.029,34.237,0.911,g
2459756.60335,2022-06-26.1015483,bi,1.41,15.669,12.516,0.014,35.791,0.450,g
2459756.60461,2022-06-26.1027997,bi,1.44,15.666,12.521,0.014,35.631,0.472,g
2459756.60586,2022-06-26.1040636,bi,1.41,15.474,12.504,0.015,36.153,0.507,g
2459757.33361,2022-06-26.8318333,bn,1.92,15.727,12.540,0.013,35.023,0.409,g
2459757.33485,2022-06-26.8330798,bn,1.92,15.662,12.521,0.013,35.632,0.427,g
2459757.33610,2022-06-26.8343320,bn,1.94,15.742,12.467,0.012,37.442,0.419,g
2459757.46273,2022-06-26.9609710,bj,1.60,14.265,12.516,0.047,35.781,1.512,g
2459757.46398,2022-06-26.9622238,bj,1.62,14.708,12.596,0.031,33.217,0.954,g
2459757.46524,2022-06-26.9634724,bj,1.57,14.263,12.471,0.044,37.279,1.511,g
2459757.55819,2022-06-27.0564341,bj,1.80,99.990,99.990,99.990,99.990,99.990,g
2459757.55943,2022-06-27.0576756,bj,1.87,99.990,99.990,99.990,99.990,99.990,g
2459757.56067,2022-06-27.0589173,bj,2.00,99.990,99.990,99.990,99.990,99.990,g
2459757.58118,2022-06-27.0794179,bi,2.42,99.990,99.990,99.990,99.990,99.990,g
2459757.58242,2022-06-27.0806561,bi,2.46,99.990,99.990,99.990,99.990,99.990,g
2459757.58367,2022-06-27.0819087,bi,2.48,99.990,99.990,99.990,99.990,99.990,g
2459757.58494,2022-06-27.0831821,bj,1.64,99.990,99.990,99.990,99.990,99.990,g
2459757.58619,2022-06-27.0844354,bj,1.50,99.990,99.990,99.990,99.990,99.990,g
2459757.58745,2022-06-27.0856873,bj,1.60,99.990,99.990,99.990,99.990,99.990,g
2459759.27980,2022-06-28.7781229,bm,1.52,15.703,12.574,0.014,33.888,0.450,g
2459759.28104,2022-06-28.7793601,bm,1.49,15.576,12.553,0.015,34.600,0.483,g
2459759.28227,2022-06-28.7806008,bm,1.49,15.623,12.565,0.015,34.205,0.462,g
2459759.32574,2022-06-28.8240635,bm,1.50,15.586,12.563,0.015,34.256,0.479,g
2459759.32698,2022-06-28.8253017,bm,1.55,15.605,12.575,0.015,33.883,0.472,g
2459759.32822,2022-06-28.8265437,bm,1.49,15.633,12.549,0.015,34.715,0.464,g
2459759.40192,2022-06-28.9002556,bn,1.94,15.633,12.501,0.013,36.288,0.443,g
2459759.40316,2022-06-28.9014908,bn,1.56,15.654,12.542,0.013,34.926,0.438,g
2459759.40440,2022-06-28.9027291,bn,2.39,14.904,12.493,0.026,36.546,0.861,g
2459760.53653,2022-06-30.0349097,bF,2.11,15.943,12.486,0.011,36.796,0.387,g
2459760.53782,2022-06-30.0361975,bF,2.12,15.906,12.503,0.013,36.198,0.435,g
2459760.53911,2022-06-30.0374917,bF,2.10,15.924,12.520,0.012,35.651,0.404,g
2459760.55122,2022-06-30.0495993,bi,1.89,15.867,12.537,0.012,35.073,0.380,g
2459760.55247,2022-06-30.0508434,bi,1.39,15.890,12.537,0.012,35.102,0.389,g
2459760.55469,2022-06-30.0530733,bF,2.05,15.955,12.495,0.011,36.456,0.365,g
