HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457420.66751,2016-02-02.1671520,be,1.45,15.892,13.103,0.018,22.004,0.350,V
2457420.66880,2016-02-02.1684403,be,1.53,15.817,13.093,0.019,22.208,0.373,V
2457420.67009,2016-02-02.1697269,be,1.59,15.889,13.070,0.017,22.690,0.349,V
2457423.80935,2016-02-05.3088121,be,1.54,15.640,13.125,0.022,21.575,0.433,V
2457423.81028,2016-02-05.3097409,be,1.62,15.628,13.131,0.022,21.453,0.439,V
2457423.81121,2016-02-05.3106774,be,1.59,15.692,13.102,0.020,22.028,0.414,V
2457427.72507,2016-02-09.2243160,bf,1.48,16.084,13.529,0.022,14.866,0.290,V
2457427.72636,2016-02-09.2256020,bf,1.52,16.004,13.548,0.024,14.622,0.314,V
2457427.72763,2016-02-09.2268780,bf,1.50,16.027,13.553,0.023,14.551,0.305,V
2457427.74717,2016-02-09.2464174,be,1.61,16.043,13.856,0.029,11.006,0.297,V
2457427.74848,2016-02-09.2477218,be,1.54,15.940,13.874,0.033,10.829,0.325,V
2457427.74977,2016-02-09.2490089,be,1.58,15.982,13.860,0.031,10.964,0.314,V
2457436.79112,2016-02-18.2898694,be,2.13,15.797,13.092,0.019,22.244,0.379,V
2457436.79239,2016-02-18.2911464,be,2.09,15.805,13.066,0.019,22.773,0.377,V
2457436.79368,2016-02-18.2924357,be,2.08,15.685,13.105,0.021,21.974,0.419,V
2457436.81858,2016-02-18.3173329,bf,1.63,15.846,13.123,0.019,21.626,0.368,V
2457437.65353,2016-02-19.1522350,be,1.62,15.754,13.109,0.020,21.888,0.395,V
2457437.65484,2016-02-19.1535486,be,1.55,15.840,13.125,0.019,21.574,0.365,V
2457437.65614,2016-02-19.1548476,be,1.54,15.750,13.085,0.020,22.367,0.395,V
2457437.68505,2016-02-19.1837606,bf,1.50,15.734,13.091,0.020,22.264,0.406,V
2457437.68634,2016-02-19.1850466,bf,1.51,15.729,13.124,0.021,21.599,0.405,V
2457437.68763,2016-02-19.1863375,bf,1.59,15.714,13.139,0.021,21.297,0.410,V
2457440.76623,2016-02-22.2647796,bf,1.62,15.598,13.201,0.025,20.108,0.456,V
2457440.76752,2016-02-22.2660664,bf,1.55,15.438,13.214,0.028,19.863,0.520,V
2457440.76882,2016-02-22.2673716,bf,1.70,15.442,13.252,0.030,19.186,0.521,V
2457440.77642,2016-02-22.2749679,be,1.49,15.379,13.229,0.030,19.598,0.548,V
2457440.77771,2016-02-22.2762543,be,1.48,15.527,13.267,0.027,18.925,0.479,V
2457440.77899,2016-02-22.2775361,be,1.52,15.540,13.290,0.028,18.525,0.474,V
2457445.84174,2016-02-27.3400303,bf,1.56,15.574,13.139,0.024,21.304,0.470,V
2457445.84301,2016-02-27.3413056,bf,1.66,15.763,13.129,0.020,21.509,0.400,V
2457445.84430,2016-02-27.3425935,bf,1.63,15.704,13.137,0.022,21.332,0.418,V
2457445.84562,2016-02-27.3439138,be,1.54,15.631,13.107,0.022,21.943,0.441,V
2457445.84691,2016-02-27.3452048,be,1.58,15.637,13.133,0.023,21.417,0.439,V
2457445.84820,2016-02-27.3464950,be,1.51,15.622,13.115,0.023,21.763,0.447,V
2457447.79872,2016-02-29.2969244,be,1.58,15.817,13.093,0.018,22.215,0.371,V
2457447.80001,2016-02-29.2982142,be,1.63,15.804,13.092,0.018,22.230,0.374,V
2457447.80130,2016-02-29.2995039,be,1.63,15.791,13.083,0.019,22.417,0.383,V
2457448.62435,2016-03-01.1225127,be,1.52,15.892,13.096,0.018,22.172,0.351,V
2457448.62564,2016-03-01.1238006,be,1.46,15.806,13.111,0.019,21.855,0.379,V
2457448.62693,2016-03-01.1250887,be,1.59,15.794,13.121,0.020,21.640,0.382,V
2457448.85377,2016-03-01.3519230,bf,1.49,15.817,13.112,0.019,21.824,0.382,V
2457448.85506,2016-03-01.3532093,bf,1.46,15.734,13.125,0.021,21.579,0.408,V
2457448.85635,2016-03-01.3544958,bf,1.58,15.742,13.148,0.021,21.120,0.402,V
2457449.71000,2016-03-02.2081108,bf,1.56,15.888,13.120,0.018,21.661,0.361,V
2457449.71130,2016-03-02.2094158,bf,1.58,15.812,13.131,0.020,21.451,0.381,V
2457449.71259,2016-03-02.2107025,bf,1.55,15.597,13.135,0.024,21.388,0.463,V
2457452.77901,2016-03-05.2769831,be,2.00,15.747,13.097,0.019,22.155,0.393,V
2457452.78030,2016-03-05.2782700,be,2.01,15.799,13.115,0.018,21.771,0.377,V
2457452.78161,2016-03-05.2795785,be,2.00,15.751,13.105,0.019,21.990,0.391,V
2457452.83260,2016-03-05.3305625,bf,1.70,15.803,13.113,0.019,21.809,0.391,V
2457452.83388,2016-03-05.3318548,bf,1.67,15.848,13.135,0.019,21.369,0.373,V
2457452.83518,2016-03-05.3331526,bf,1.66,15.735,13.147,0.021,21.148,0.414,V
2457457.62051,2016-03-10.1182767,bf,1.50,15.828,13.106,0.019,21.944,0.375,V
2457457.62181,2016-03-10.1195747,bf,1.50,15.842,13.135,0.019,21.363,0.369,V
2457457.62310,2016-03-10.1208631,bf,1.48,15.946,13.118,0.017,21.710,0.344,V
2457457.62842,2016-03-10.1261790,be,1.50,15.847,13.086,0.018,22.352,0.364,V
2457457.62971,2016-03-10.1274685,be,1.59,15.786,13.127,0.020,21.544,0.384,V
2457457.63099,2016-03-10.1287567,be,1.52,15.876,13.105,0.018,21.982,0.356,V
2457458.66483,2016-03-11.1625526,be,1.49,15.787,13.119,0.020,21.693,0.383,V
2457458.66612,2016-03-11.1638377,be,1.56,15.922,13.110,0.017,21.868,0.341,V
2457458.66742,2016-03-11.1651357,be,1.64,15.837,13.113,0.019,21.805,0.366,V
2457458.67915,2016-03-11.1768706,bf,1.53,15.899,13.138,0.018,21.313,0.364,V
